contrast_id,base_id,rq0_id,language,score_stratum,variant_i,variant_j,contrast_type,preference_target_variant
rq3g_cuda_000__c1,rq3g_cuda_000,dorn_cuda_108,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_000__c2,rq3g_cuda_000,dorn_cuda_108,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_000__c3,rq3g_cuda_000,dorn_cuda_108,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_000__c4,rq3g_cuda_000,dorn_cuda_108,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_000__c5,rq3g_cuda_000,dorn_cuda_108,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_000__c6,rq3g_cuda_000,dorn_cuda_108,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_001__c1,rq3g_cuda_001,dorn_cuda_069,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_001__c2,rq3g_cuda_001,dorn_cuda_069,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_001__c3,rq3g_cuda_001,dorn_cuda_069,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_001__c4,rq3g_cuda_001,dorn_cuda_069,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_001__c5,rq3g_cuda_001,dorn_cuda_069,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_001__c6,rq3g_cuda_001,dorn_cuda_069,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_002__c1,rq3g_cuda_002,dorn_cuda_078,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_002__c2,rq3g_cuda_002,dorn_cuda_078,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_002__c3,rq3g_cuda_002,dorn_cuda_078,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_002__c4,rq3g_cuda_002,dorn_cuda_078,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_002__c5,rq3g_cuda_002,dorn_cuda_078,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_002__c6,rq3g_cuda_002,dorn_cuda_078,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_003__c1,rq3g_cuda_003,dorn_cuda_016,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_003__c2,rq3g_cuda_003,dorn_cuda_016,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_003__c3,rq3g_cuda_003,dorn_cuda_016,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_003__c4,rq3g_cuda_003,dorn_cuda_016,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_003__c5,rq3g_cuda_003,dorn_cuda_016,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_003__c6,rq3g_cuda_003,dorn_cuda_016,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_004__c1,rq3g_cuda_004,dorn_cuda_050,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_004__c2,rq3g_cuda_004,dorn_cuda_050,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_004__c3,rq3g_cuda_004,dorn_cuda_050,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_004__c4,rq3g_cuda_004,dorn_cuda_050,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_004__c5,rq3g_cuda_004,dorn_cuda_050,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_004__c6,rq3g_cuda_004,dorn_cuda_050,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_005__c1,rq3g_cuda_005,dorn_cuda_025,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_005__c2,rq3g_cuda_005,dorn_cuda_025,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_005__c3,rq3g_cuda_005,dorn_cuda_025,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_005__c4,rq3g_cuda_005,dorn_cuda_025,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_005__c5,rq3g_cuda_005,dorn_cuda_025,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_005__c6,rq3g_cuda_005,dorn_cuda_025,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_006__c1,rq3g_cuda_006,dorn_cuda_093,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_006__c2,rq3g_cuda_006,dorn_cuda_093,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_006__c3,rq3g_cuda_006,dorn_cuda_093,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_006__c4,rq3g_cuda_006,dorn_cuda_093,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_006__c5,rq3g_cuda_006,dorn_cuda_093,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_006__c6,rq3g_cuda_006,dorn_cuda_093,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_007__c1,rq3g_cuda_007,dorn_cuda_084,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_007__c2,rq3g_cuda_007,dorn_cuda_084,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_007__c3,rq3g_cuda_007,dorn_cuda_084,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_007__c4,rq3g_cuda_007,dorn_cuda_084,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_007__c5,rq3g_cuda_007,dorn_cuda_084,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_007__c6,rq3g_cuda_007,dorn_cuda_084,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_008__c1,rq3g_cuda_008,dorn_cuda_092,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_008__c2,rq3g_cuda_008,dorn_cuda_092,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_008__c3,rq3g_cuda_008,dorn_cuda_092,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_008__c4,rq3g_cuda_008,dorn_cuda_092,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_008__c5,rq3g_cuda_008,dorn_cuda_092,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_008__c6,rq3g_cuda_008,dorn_cuda_092,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_009__c1,rq3g_cuda_009,dorn_cuda_047,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_009__c2,rq3g_cuda_009,dorn_cuda_047,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_009__c3,rq3g_cuda_009,dorn_cuda_047,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_009__c4,rq3g_cuda_009,dorn_cuda_047,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_009__c5,rq3g_cuda_009,dorn_cuda_047,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_009__c6,rq3g_cuda_009,dorn_cuda_047,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_010__c1,rq3g_cuda_010,dorn_cuda_114,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_010__c2,rq3g_cuda_010,dorn_cuda_114,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_010__c3,rq3g_cuda_010,dorn_cuda_114,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_010__c4,rq3g_cuda_010,dorn_cuda_114,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_010__c5,rq3g_cuda_010,dorn_cuda_114,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_010__c6,rq3g_cuda_010,dorn_cuda_114,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_011__c1,rq3g_cuda_011,dorn_cuda_098,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_011__c2,rq3g_cuda_011,dorn_cuda_098,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_011__c3,rq3g_cuda_011,dorn_cuda_098,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_011__c4,rq3g_cuda_011,dorn_cuda_098,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_011__c5,rq3g_cuda_011,dorn_cuda_098,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_011__c6,rq3g_cuda_011,dorn_cuda_098,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_012__c1,rq3g_cuda_012,dorn_cuda_115,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_012__c2,rq3g_cuda_012,dorn_cuda_115,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_012__c3,rq3g_cuda_012,dorn_cuda_115,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_012__c4,rq3g_cuda_012,dorn_cuda_115,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_012__c5,rq3g_cuda_012,dorn_cuda_115,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_012__c6,rq3g_cuda_012,dorn_cuda_115,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_013__c1,rq3g_cuda_013,dorn_cuda_055,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_013__c2,rq3g_cuda_013,dorn_cuda_055,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_013__c3,rq3g_cuda_013,dorn_cuda_055,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_013__c4,rq3g_cuda_013,dorn_cuda_055,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_013__c5,rq3g_cuda_013,dorn_cuda_055,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_013__c6,rq3g_cuda_013,dorn_cuda_055,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_014__c1,rq3g_cuda_014,dorn_cuda_064,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_014__c2,rq3g_cuda_014,dorn_cuda_064,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_014__c3,rq3g_cuda_014,dorn_cuda_064,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_014__c4,rq3g_cuda_014,dorn_cuda_064,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_014__c5,rq3g_cuda_014,dorn_cuda_064,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_014__c6,rq3g_cuda_014,dorn_cuda_064,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_015__c1,rq3g_cuda_015,dorn_cuda_056,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_015__c2,rq3g_cuda_015,dorn_cuda_056,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_015__c3,rq3g_cuda_015,dorn_cuda_056,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_015__c4,rq3g_cuda_015,dorn_cuda_056,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_015__c5,rq3g_cuda_015,dorn_cuda_056,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_015__c6,rq3g_cuda_015,dorn_cuda_056,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_016__c1,rq3g_cuda_016,dorn_cuda_072,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_016__c2,rq3g_cuda_016,dorn_cuda_072,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_016__c3,rq3g_cuda_016,dorn_cuda_072,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_016__c4,rq3g_cuda_016,dorn_cuda_072,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_016__c5,rq3g_cuda_016,dorn_cuda_072,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
