base_id,rq0_id,language,score_stratum,variant,semantic_integrity,visual_quality,source_sha256,image_path,image_width,image_height,source_lines,visual_rows,continuation_rows,char_width,glyph_height,row_height,background,remove_indent,remove_blank_lines,pixel_std,nonblank,image_sha256
rq3g_cuda_000,dorn_cuda_108,cuda,low,golden,gold,clean,a8d741ac114cf65000c900f25cc8e142be3f5443c71b5ef0399eb2df969493c1,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_000.png,1028,1406,49,66,17,12,15,21,#272822,False,False,49.78236439846459,True,aac307e2f8586b0a18c84a9af8f79316acb725b72536ecf9903ac0937832a70d
rq3g_cuda_000,dorn_cuda_108,cuda,low,ugly_gold,gold,ugly,a8d741ac114cf65000c900f25cc8e142be3f5443c71b5ef0399eb2df969493c1,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_000.png,676,1081,49,71,27,11,13,15,#ffffff,True,True,76.94417407804211,True,5c14c733e4e971197c10ab173caafff323e446c6c7d7fbbf362a35db4b8a985e
rq3g_cuda_000,dorn_cuda_108,cuda,low,beautiful_trash,trash,clean,6cb111e0ca07e0eed1ff2808c232567ace520fb7c50c095515dbe8e3ad0a5ab5,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_000.png,1028,2267,49,107,58,12,15,21,#272822,False,False,61.54737019859914,True,2faa2e5b0b27cd86484b1b3e376b44d0ff586eb52860f5b093aefdf6e7146db1
rq3g_cuda_000,dorn_cuda_108,cuda,low,ugly_trash,trash,ugly,6cb111e0ca07e0eed1ff2808c232567ace520fb7c50c095515dbe8e3ad0a5ab5,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_000.png,676,1846,49,122,78,11,13,15,#ffffff,True,True,89.93722421692736,True,bb56c850ce7f2b410eff808245eb4bdcf6e92c9ecd8c4dcaacb8db656860c425
rq3g_cuda_001,dorn_cuda_069,cuda,low,golden,gold,clean,dd28095b334c56f923f58a873e231807bc42438b7a0044ddb4fabdc7494403cc,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_001.png,1028,1154,50,54,4,12,15,21,#272822,False,False,50.75572237052028,True,fddac9aacd0d081ceb580a3adf23ab7de90ee1f8c806c4051363a72f3844ec84
rq3g_cuda_001,dorn_cuda_069,cuda,low,ugly_gold,gold,ugly,dd28095b334c56f923f58a873e231807bc42438b7a0044ddb4fabdc7494403cc,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_001.png,676,871,50,57,9,11,13,15,#ffffff,True,True,75.5851701005968,True,88ba003dea9491449f3e749d6607476e4bd9210ba93dcf788f3103cc68b63375
rq3g_cuda_001,dorn_cuda_069,cuda,low,beautiful_trash,trash,clean,363eab40c854caa7607ed20607ac60da8732674f37076d8a329233888375e7e6,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_001.png,1028,1469,50,69,19,12,15,21,#272822,False,False,58.74370707450092,True,cb86f7351a0eabdb95378193d91f30512e8f29b7032fdb8033fd841a25c81acc
rq3g_cuda_001,dorn_cuda_069,cuda,low,ugly_trash,trash,ugly,363eab40c854caa7607ed20607ac60da8732674f37076d8a329233888375e7e6,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_001.png,676,1216,50,80,32,11,13,15,#ffffff,True,True,84.960508340619,True,6f5f64ce2ff3def9d094f90023c3449ee675d54bdc468e26d27f99eb5ba7a270
rq3g_cuda_002,dorn_cuda_078,cuda,low,golden,gold,clean,c04bb9412caa097ac3197eaca732189e50ce9e99c0ba13e4c0ff73cff3d9e904,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_002.png,1028,965,30,45,15,12,15,21,#272822,False,False,53.249423819256684,True,9527b85d2765060cc01cdd3b83141a261950f412746498d42d5128843d4548bd
rq3g_cuda_002,dorn_cuda_078,cuda,low,ugly_gold,gold,ugly,c04bb9412caa097ac3197eaca732189e50ce9e99c0ba13e4c0ff73cff3d9e904,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_002.png,676,781,30,51,25,11,13,15,#ffffff,True,True,82.77347577751421,True,0f4a6d91976f28f0d648775a7e109cd167aab1df85ce94de0a343dff78b1cf66
rq3g_cuda_002,dorn_cuda_078,cuda,low,beautiful_trash,trash,clean,21cb946e6420f6fa965430eb0340d9a5da214e16f31261f947518bf91d61cbda,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_002.png,1028,1175,30,55,25,12,15,21,#272822,False,False,59.322912481842145,True,2f97f9d2e8969966cd0ce2f6846b77c18c57931e17f517101178973aa4b4e4b6
rq3g_cuda_002,dorn_cuda_078,cuda,low,ugly_trash,trash,ugly,21cb946e6420f6fa965430eb0340d9a5da214e16f31261f947518bf91d61cbda,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_002.png,676,946,30,62,36,11,13,15,#ffffff,True,True,88.94211527676526,True,efa37b9662f08852049ba639fd94082875f9a62fc2d8d98282b1de52fc481da9
rq3g_cuda_003,dorn_cuda_016,cuda,low,golden,gold,clean,61284a8956c1df35bf7fcedd16506ad6c37d4246de131746361503c3b3af9154,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_003.png,1028,734,30,34,4,12,15,21,#272822,False,False,52.032224415854216,True,7999c781da6df94f4b448cc598582d9d4f4953ad90545dca8cf301dcab406531
rq3g_cuda_003,dorn_cuda_016,cuda,low,ugly_gold,gold,ugly,61284a8956c1df35bf7fcedd16506ad6c37d4246de131746361503c3b3af9154,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_003.png,676,526,30,34,6,11,13,15,#ffffff,True,True,79.09738404014436,True,883807a36085ccea19a5cf7bf5867dc7a279f1c8adb8bacb2bf6ac3288201861
rq3g_cuda_003,dorn_cuda_016,cuda,low,beautiful_trash,trash,clean,9860955a01191aee622f4a35bfb7903d588dfaf97857f78343b4635d2af1da9b,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_003.png,1028,1154,30,54,24,12,15,21,#272822,False,False,60.10550799039054,True,9148d887d3bd1ddbd1d46e28d7580c6314a5bc721776a50a7581c43f7e6782f1
rq3g_cuda_003,dorn_cuda_016,cuda,low,ugly_trash,trash,ugly,9860955a01191aee622f4a35bfb7903d588dfaf97857f78343b4635d2af1da9b,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_003.png,676,901,30,59,31,11,13,15,#ffffff,True,True,88.70419851510646,True,c4de5534e3d3e8cb0e270f6da23b5efaffee61412009d20e944236fd46672e5e
rq3g_cuda_004,dorn_cuda_050,cuda,low,golden,gold,clean,1d3c018a1f22a8cbd0879184b89a9655fcc823a353a6f8ddfdd4c3b934a75161,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_004.png,1028,650,30,30,0,12,15,21,#272822,False,False,47.72989376861356,True,6e28ddcd9fcc74c9647f3b6f4c4eff4f6437b1dcc72b1eabb643182b45ae5d34
rq3g_cuda_004,dorn_cuda_050,cuda,low,ugly_gold,gold,ugly,1d3c018a1f22a8cbd0879184b89a9655fcc823a353a6f8ddfdd4c3b934a75161,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_004.png,676,466,30,30,0,11,13,15,#ffffff,True,True,74.38933496553649,True,a1817967f0e7557ad6647fde7cd0747e7a58527fbde434274041e55d50867e43
rq3g_cuda_004,dorn_cuda_050,cuda,low,beautiful_trash,trash,clean,e7b38b88fa3656957d62c882a8a153ff293064aa7999d543c2f078daf2eb5c05,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_004.png,1028,1280,30,60,30,12,15,21,#272822,False,False,57.95174789357916,True,555d278a20e1e34dfea80c38c3060c2d5dbac3e9ccf5a0d55fde9b2aa17edbd8
rq3g_cuda_004,dorn_cuda_050,cuda,low,ugly_trash,trash,ugly,e7b38b88fa3656957d62c882a8a153ff293064aa7999d543c2f078daf2eb5c05,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_004.png,676,916,30,60,30,11,13,15,#ffffff,True,True,89.04404968317488,True,c71d1ef318f4cd96ae9ce43072fa99f4cabd68746cfacd0cc9f99dc7b1fa8797
