run,model,language,condition_a,condition_b,factor_class,metric,n_pairs,flip_pairs,flip_rate,ci_low,ci_high,exact_p_greater_than_0_5,holm_p_within_model_language_metric,holm_reject_greater_than_0_5
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs20__wrap80__lnon,wrap_only,fixed_order_AB,1000,100,0.1,0.08210533435557998,0.12028793651869264,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs20__wrap80__lnon,wrap_only,fixed_order_BA,1000,107,0.107,0.08852043664251635,0.12782864411706796,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs20__wrap80__lnon,wrap_only,strict_valid_both,182,2,0.01098901098901099,0.0013336018174609316,0.03913037115025147,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap60__lnon,font_only,fixed_order_AB,1000,60,0.06,0.04609503542248434,0.07656049040393477,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap60__lnon,font_only,fixed_order_BA,1000,56,0.056,0.04257554968661719,0.07210774628325274,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap60__lnon,font_only,strict_valid_both,225,1,0.0044444444444444444,0.00011251726049946535,0.02451274736060034,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap80__lnon,compound,fixed_order_AB,1000,89,0.089,0.0720824645397599,0.1083810000600025,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap80__lnon,compound,fixed_order_BA,1000,127,0.127,0.10698432694945338,0.14924003033485816,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap80__lnon,compound,strict_valid_both,183,2,0.01092896174863388,0.0013262991988929852,0.03891959658344575,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,mono_light__fs20__wrap60__lnon,theme_only,fixed_order_AB,1000,40,0.04,0.028727625285890793,0.054072696819368486,1.0,1.0,False
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,mono_light__fs20__wrap60__lnon,theme_only,fixed_order_BA,1000,42,0.042,0.03043470626314001,0.05635029157574473,1.0,1.0,False
