model,language,metric,condition_pairs,median_flip_rate,max_flip_rate,max_n_pairs,max_condition_a,max_condition_b,holm_significant_greater_than_0_5
OpenGVLab/InternVL3-8B,cuda,fixed_order_AB,66,0.092,0.142,1000,mono_light__fs24__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,0
OpenGVLab/InternVL3-8B,cuda,fixed_order_BA,66,0.1185,0.169,1000,mono_light__fs24__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,0
OpenGVLab/InternVL3-8B,cuda,strict_valid_both,66,0.010899263483012591,0.03864734299516908,207,friendly_light__fs24__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
OpenGVLab/InternVL3-8B,java,fixed_order_AB,66,0.2535,0.303,1000,mono_light__fs20__wrap60__lnon,mono_light__fs20__wrap80__lnon,0
OpenGVLab/InternVL3-8B,java,fixed_order_BA,66,0.166,0.213,1000,friendly_light__fs20__wrap60__lnon,mono_light__fs24__wrap80__lnon,0
OpenGVLab/InternVL3-8B,java,strict_valid_both,66,0.07147270205522632,0.11082474226804123,388,mono_light__fs20__wrap60__lnon,mono_light__fs24__wrap80__lnon,0
OpenGVLab/InternVL3-8B,python,fixed_order_AB,66,0.1255,0.174,1000,friendly_light__fs20__wrap60__lnon,mono_light__fs20__wrap80__lnon,0
OpenGVLab/InternVL3-8B,python,fixed_order_BA,66,0.1525,0.175,1000,mono_light__fs24__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,0
OpenGVLab/InternVL3-8B,python,strict_valid_both,66,0.02474742320644964,0.06439393939393939,264,mono_light__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,cuda,fixed_order_AB,66,0.1085,0.144,1000,mono_light__fs20__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,cuda,fixed_order_BA,66,0.097,0.132,1000,mono_light__fs20__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,cuda,strict_valid_both,66,0.006507867790995332,0.01603206412825651,499,mono_light__fs20__wrap60__lnon,mono_light__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,java,fixed_order_AB,66,0.1495,0.2,1000,mono_light__fs20__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,java,fixed_order_BA,66,0.1105,0.152,1000,friendly_light__fs20__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,java,strict_valid_both,66,0.02081032445415859,0.04815864022662889,353,friendly_light__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,python,fixed_order_AB,66,0.12,0.159,1000,mono_light__fs20__wrap60__lnon,monokai_dark__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,python,fixed_order_BA,66,0.1015,0.127,1000,friendly_light__fs20__wrap60__lnon,friendly_light__fs24__wrap80__lnon,0
Qwen/Qwen2.5-VL-7B-Instruct,python,strict_valid_both,66,0.005714332361896832,0.02786377708978328,323,friendly_light__fs24__wrap60__lnon,mono_light__fs20__wrap80__lnon,0
