experiment,model,language,baseline,condition,n,baseline_only_correct,condition_only_correct,accuracy_delta,delta_cluster_robust_se,delta_ci_low,delta_ci_high,delta_ci_method,mcnemar_exact_p,holm_p,holm_reject_0_05
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_1,1000,48,75,0.027,0.016843624431813874,-0.006012897255474128,0.060012897255474124,two-way snippet-cluster robust normal interval,0.01869342540925406,0.05608027622776218,False
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_2,1000,62,125,0.063,0.02264497127399364,0.01861667187202836,0.10738332812797163,two-way snippet-cluster robust normal interval,4.760736467101293e-06,1.904294586840517e-05,True
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_4,1000,50,284,0.234,0.02812691550810364,0.17887225860791575,0.28912774139208425,two-way snippet-cluster robust normal interval,7.355997252751074e-41,3.677998626375537e-40,True
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,no_blank_lines,1000,44,67,0.023,0.01642353445516524,-0.009189536030976525,0.055189536030976524,two-way snippet-cluster robust normal interval,0.03630649114131781,0.07261298228263562,False
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,no_indent,1000,50,71,0.021,0.014173201332091557,-0.0067789641565345685,0.04877896415653457,two-way snippet-cluster robust normal interval,0.06859363812061445,0.07261298228263562,False
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_1,1000,32,57,0.025,0.009387291941768952,0.006601245881769784,0.043398754118230215,two-way snippet-cluster robust normal interval,0.010546897231105523,0.04218758892442209,True
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_2,1000,34,112,0.078,0.013138997526447762,0.052248038055201534,0.10375196194479847,two-way snippet-cluster robust normal interval,6.421318473021572e-11,3.210659236510786e-10,True
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_4,1000,144,165,0.021,0.021796940014598372,-0.02172121740179277,0.06372121740179278,two-way snippet-cluster robust normal interval,0.25518333588412223,0.25518333588412223,False
perturbation,OpenGVLab/InternVL3-8B,java,baseline,no_blank_lines,1000,40,62,0.022,0.011072075505522899,0.00029913077506700525,0.04370086922493299,two-way snippet-cluster robust normal interval,0.037066767438560584,0.10563306053942687,False
perturbation,OpenGVLab/InternVL3-8B,java,baseline,no_indent,1000,63,90,0.027,0.013310566704689808,0.0009117686449899888,0.05308823135501001,two-way snippet-cluster robust normal interval,0.035211020179808955,0.10563306053942687,False
