model,language,condition,n_pairs,n_parsed,n_valid,n_correct,valid_accuracy,valid_ci_low,valid_ci_high,effective_accuracy,effective_ci_low,effective_ci_high,strict_swap_error,debiased_accuracy_D,first_position_rate,n_boundaries,n_exact_ties,share_abs_b_gt_abs_c,median_abs_b,median_abs_c
Gemma-3-12B,cuda,gaussian_sigma_4,1000,1000,698,492,0.7048710601719198,0.6699876549395226,0.737511783011274,0.492,0.4611041586281342,0.5229570695076347,0.30200000000000005,0.661,0.392,26,15,0.293,1.5,3.75
Gemma-3-12B,cuda,mono_light__fs20__wrap80__lnon,1000,1000,818,549,0.6711491442542787,0.6382201178319837,0.7024781969035463,0.549,0.5180304041955376,0.5795945734728781,0.18200000000000005,0.64,0.494,13,4,0.175,1.0,6.5
Gemma-3-12B,cuda,monokai_dark__fs20__wrap60__lnon,1000,1000,768,535,0.6966145833333334,0.6631889782015284,0.7280830849258261,0.535,0.5040112456567101,0.5657208812493011,0.23199999999999998,0.66,0.5,24,7,0.222,1.125,5.875
Gemma-3-12B,cuda,monokai_dark__fs20__wrap80__lnon,1000,1000,813,542,0.6666666666666666,0.6335458011079164,0.6982199253664146,0.542,0.5110177730722398,0.5726607792149736,0.18700000000000006,0.635,0.5105,10,4,0.182,1.0,6.125
Gemma-3-12B,cuda,monokai_dark__fs24__wrap80__lnon,1000,1000,808,550,0.6806930693069307,0.6477571638266376,0.7119189734627395,0.55,0.5190327082257413,0.5805846159257033,0.19199999999999995,0.659,0.484,11,5,0.189,1.0,6.375
Gemma-3-12B,cuda,no_blank_lines,1000,1000,784,537,0.6849489795918368,0.6515970844881884,0.7164972786011772,0.537,0.5060124890263216,0.5677043308457475,0.21599999999999997,0.665,0.492,12,5,0.213,1.25,5.875
Gemma-3-12B,cuda,no_indent,1000,1000,780,521,0.6679487179487179,0.6341461825414098,0.7001050835171428,0.521,0.49001642660541767,0.5518228495381892,0.21999999999999997,0.642,0.494,9,3,0.215,1.25,5.75
Gemma-3-12B,java,gaussian_sigma_4,1000,1000,604,340,0.5629139072847682,0.5230815154031017,0.6019510879133152,0.34,0.31130188230514194,0.36992268041023574,0.396,0.556,0.319,20,15,0.394,2.25,3.25
Gemma-3-12B,java,mono_light__fs20__wrap80__lnon,1000,1000,831,522,0.628158844765343,0.5947800084303506,0.6603582549482868,0.522,0.4910152521271681,0.5528163704994674,0.16900000000000004,0.605,0.5405,16,2,0.157,1.375,6.6875
Gemma-3-12B,java,monokai_dark__fs20__wrap60__lnon,1000,1000,812,495,0.6096059113300493,0.5756107812348789,0.6425688639345398,0.495,0.4640902748007247,0.525947992784131,0.18799999999999994,0.6,0.524,12,3,0.18,1.25,6.75
Gemma-3-12B,java,monokai_dark__fs20__wrap80__lnon,1000,1000,822,510,0.6204379562043796,0.5867758610226279,0.6529796003739761,0.51,0.47903749580454597,0.5408859690257428,0.17800000000000005,0.613,0.545,10,4,0.172,1.125,6.75
Gemma-3-12B,java,monokai_dark__fs24__wrap80__lnon,1000,1000,799,500,0.6257822277847309,0.5917010175563472,0.6586597451965529,0.5,0.4690696003681042,0.5309303996318958,0.20099999999999996,0.618,0.5475,17,1,0.187,1.375,6.75
Gemma-3-12B,java,no_blank_lines,1000,1000,788,497,0.6307106598984772,0.5964560019647066,0.6636970851277527,0.497,0.4660816352651897,0.5279413252857236,0.21199999999999997,0.594,0.546,10,7,0.206,1.375,6.75
Gemma-3-12B,java,no_indent,1000,1000,805,489,0.6074534161490683,0.5732866257528033,0.640599542065841,0.489,0.4581191521232714,0.5199650365634109,0.19499999999999995,0.587,0.5335,7,6,0.192,1.3125,6.25
Gemma-3-12B,python,gaussian_sigma_4,1000,1000,708,449,0.634180790960452,0.5980661446556493,0.6688472215801028,0.449,0.4184254667345993,0.47996486263092736,0.29200000000000004,0.597,0.4,33,7,0.287,1.75,3.75
Gemma-3-12B,python,mono_light__fs20__wrap80__lnon,1000,1000,737,446,0.6051560379918589,0.5694074264847195,0.6398141257846908,0.446,0.4154564661655095,0.47695682375093046,0.263,0.589,0.6015,17,5,0.253,1.625,5.25
Gemma-3-12B,python,monokai_dark__fs20__wrap60__lnon,1000,1000,717,442,0.6164574616457462,0.5803348373922236,0.6513388516783444,0.442,0.411499555136933,0.4729443488473914,0.28300000000000003,0.592,0.5965,15,7,0.274,1.625,5.25
Gemma-3-12B,python,monokai_dark__fs20__wrap80__lnon,1000,1000,725,458,0.6317241379310344,0.5960057454322857,0.6660539901774977,0.458,0.4273392207850265,0.48898222692776017,0.275,0.607,0.6065,18,8,0.265,1.625,5.625
Gemma-3-12B,python,monokai_dark__fs24__wrap80__lnon,1000,1000,719,426,0.5924895688456189,0.5561737887062271,0.6278222983707201,0.426,0.39569209510456627,0.4568742651512959,0.281,0.581,0.6135,15,8,0.274,1.5,5.375
Gemma-3-12B,python,no_blank_lines,1000,1000,724,430,0.5939226519337016,0.5577456174552508,0.6291082617128277,0.43,0.3996409199186558,0.4608948262693219,0.276,0.57,0.592,19,0,0.259,1.5,5.375
Gemma-3-12B,python,no_indent,1000,1000,675,426,0.6311111111111111,0.5940651028420413,0.6666732443819045,0.426,0.39569209510456627,0.4568742651512959,0.32499999999999996,0.61,0.6255,15,8,0.312,1.75,5.3125
