model,language,median_within_condition_swap_error,swap_error_range,median_rendering_flip_rate,flip_rate_range,median_flip_rate_valid_both,order_exceeds_rendering
InternVL3.5-8B,cuda,0.2935,25.7% - 35.5%,0.1325,8.1% - 18.2%,0.0381879391100702,True
InternVL3.5-8B,java,0.3025,27.9% - 37.7%,0.1592208440905835,9.2% - 24.9%,0.0569903506090905,True
InternVL3.5-8B,python,0.377,33.8% - 43.6%,0.1410575575575575,8.3% - 19.3%,0.0314083411779151,True
Gemma-3-12B,cuda,0.1895,18.2% - 23.2%,0.1825,14.1% - 20.6%,0.0768313794569641,True
Gemma-3-12B,java,0.183,16.9% - 20.1%,0.1565,8.4% - 21.8%,0.0583910309343835,True
Gemma-3-12B,python,0.278,26.3% - 28.3%,0.1925,14.6% - 25.1%,0.0874484017206668,True
Gemma4-12B,cuda,0.1605,14.5% - 17.2%,0.1245622811405702,9.9% - 16.3%,0.0314960629921259,True
Gemma4-12B,java,0.125,12.0% - 12.7%,0.1000500250125062,8.5% - 20.5%,0.0296662546353522,True
Gemma4-12B,python,0.1655,15.6% - 17.2%,0.127254509018036,10.1% - 23.6%,0.0377358490566037,True
Qwen2.5-VL-7B,cuda,0.3865,29.7% - 47.0%,0.101,6.3% - 14.4%,0.006507867790995332,True
Qwen2.5-VL-7B,java,0.493,36.5% - 54.0%,0.12,6.5% - 20.0%,0.02081032445415859,True
Qwen2.5-VL-7B,python,0.5705,44.4% - 60.6%,0.107,5.5% - 15.9%,0.005714332361896832,True
InternVL3-8B,cuda,0.693,65.4% - 74.4%,0.098,4.0% - 16.9%,0.010899263483012591,True
InternVL3-8B,java,0.414,32.2% - 50.5%,0.1685,5.3% - 30.3%,0.07147270205522632,True
InternVL3-8B,python,0.5995,54.3% - 63.7%,0.1325,5.9% - 17.5%,0.02474742320644964,True
