model,bin,effective,valid
Qwen/Qwen3-VL-8B-Instruct,1.0,0.04329004329004329,0.47619047619047616
Qwen/Qwen3-VL-8B-Instruct,2.0,0.14193548387096774,0.49624060150375937
Qwen/Qwen3-VL-8B-Instruct,3.0,0.27705627705627706,0.5589519650655022
Qwen/Qwen3-VL-8B-Instruct,4.0,0.35587188612099646,0.5607476635514018
Qwen/Qwen3-VL-8B-Instruct,5.0,0.43194600674915634,0.5525179856115108
Qwen/Qwen3-VL-8B-Instruct,6.0,0.5193370165745856,0.5662650602409639
Qwen/Qwen3-VL-8B-Instruct,7.0,0.5900216919739696,0.5958378970427163
Qwen/Qwen3-VL-8B-Instruct,8.0,0.6529477196885428,0.6529477196885428
Qwen/Qwen3-VL-8B-Instruct,9.0,0.7014755959137344,0.7014755959137344
Qwen/Qwen3-VL-8B-Instruct,10.0,0.7633069082672707,0.7633069082672707
OpenGVLab/InternVL3_5-8B-HF,1.0,0.03630705394190872,0.625
OpenGVLab/InternVL3_5-8B-HF,2.0,0.0886339937434828,0.4941860465116279
OpenGVLab/InternVL3_5-8B-HF,3.0,0.2054958183990442,0.5676567656765676
OpenGVLab/InternVL3_5-8B-HF,4.0,0.32685714285714285,0.562992125984252
OpenGVLab/InternVL3_5-8B-HF,5.0,0.44680851063829785,0.59375
OpenGVLab/InternVL3_5-8B-HF,6.0,0.542795232936078,0.620049504950495
OpenGVLab/InternVL3_5-8B-HF,7.0,0.6360619469026548,0.6670533642691415
OpenGVLab/InternVL3_5-8B-HF,8.0,0.675990675990676,0.6791569086651054
OpenGVLab/InternVL3_5-8B-HF,9.0,0.7335562987736901,0.7335562987736901
OpenGVLab/InternVL3_5-8B-HF,10.0,0.7469066366704162,0.7469066366704162
OpenGVLab/InternVL3_5-8B-HF,,,
google/gemma-4-12B-it,1.0,0.061027837259100645,0.5588235294117647
google/gemma-4-12B-it,2.0,0.27167630057803466,0.5042918454935622
google/gemma-4-12B-it,3.0,0.4687842278203724,0.5156626506024097
google/gemma-4-12B-it,4.0,0.566304347826087,0.5763274336283186
google/gemma-4-12B-it,5.0,0.6164383561643836,0.6171428571428571
google/gemma-4-12B-it,6.0,0.6662995594713657,0.6662995594713657
google/gemma-4-12B-it,7.0,0.6562847608453838,0.6562847608453838
google/gemma-4-12B-it,8.0,0.7465909090909091,0.7465909090909091
google/gemma-4-12B-it,9.0,0.7912946428571429,0.7912946428571429
google/gemma-4-12B-it,10.0,0.8652561247216035,0.8652561247216035
google/gemma-4-12B-it,,,
