model,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
OpenGVLab/InternVL3-8B,semantic_and_visual_aligned,golden,beautiful_trash,300,275,25,275,0,0.9166666666666666,1.0,0.9862235019249258,0.9999999999999999,0.9166666666666666,0.08333333333333333,0.057080874056394275,0.12012160196406074,3.2944368572595385e-83,300,298,0.9933333333333333,2.0625,0.78125,1.3177747429038154e-82
OpenGVLab/InternVL3-8B,semantic_and_visual_aligned,golden,ugly_trash,300,297,3,297,0,0.99,1.0,0.9872309526893243,0.9999999999999999,0.99,0.01,0.003406618437715286,0.02898349336233983,7.854549544476363e-90,300,298,0.9933333333333333,3.125,0.625,4.7127297266858175e-89
OpenGVLab/InternVL3-8B,semantic_only_under_ugly,ugly_gold,ugly_trash,300,294,6,293,0,0.98,0.9965986394557823,0.9809880311241003,0.9993993238001492,0.9766666666666667,0.02,0.009197631557703617,0.042939620817860576,1.8536736924964215e-86,300,299,0.9966666666666667,2.6875,0.5625,9.268368462482108e-86
OpenGVLab/InternVL3-8B,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,300,248,52,246,0,0.8266666666666667,0.9919354838709677,0.9710778853059633,0.9977856256607635,0.82,0.17333333333333334,0.13470060049746765,0.22022614070256905,1.365293959555334e-70,298,293,0.9832214765100671,1.5,0.625,4.095881878666002e-70
OpenGVLab/InternVL3-8B,visual_only_gold,golden,ugly_gold,300,181,119,172,0,0.6033333333333334,0.9502762430939227,0.9082141594687667,0.9736226375353001,0.5733333333333334,0.39666666666666667,0.34295083194304077,0.452995382110032,3.230230795246438e-40,294,257,0.8741496598639455,0.5,0.375,3.230230795246438e-40
OpenGVLab/InternVL3-8B,visual_only_trash,beautiful_trash,ugly_trash,300,190,110,181,0,0.6333333333333333,0.9526315789473684,0.9124410209451347,0.9748820576492244,0.6033333333333334,0.36666666666666664,0.3141415065082282,0.4225632858183173,9.833279451261019e-43,296,274,0.9256756756756757,0.75,0.6875,1.9666558902522038e-42
Qwen/Qwen2.5-VL-7B-Instruct,semantic_and_visual_aligned,golden,beautiful_trash,300,295,5,295,0,0.9833333333333333,1.0,0.9871454956890737,1.0,0.9833333333333333,0.016666666666666666,0.00713947735063333,0.0384153948330945,3.141819817790545e-89,300,300,1.0,3.375,0.5625,1.885091890674327e-88
Qwen/Qwen2.5-VL-7B-Instruct,semantic_and_visual_aligned,golden,ugly_trash,300,293,7,293,0,0.9766666666666667,1.0,0.9870588871380849,0.9999999999999999,0.9766666666666667,0.023333333333333334,0.011347660299125234,0.04737197226827532,1.256727927116218e-88,300,300,1.0,3.75,0.5625,6.28363963558109e-88
Qwen/Qwen2.5-VL-7B-Instruct,semantic_only_under_ugly,ugly_gold,ugly_trash,300,282,18,282,0,0.94,1.0,0.9865608759606008,1.0,0.94,0.06,0.038286369524692054,0.09283944515290843,2.5737787947340145e-85,300,300,1.0,3.3125,1.03125,1.0295115178936058e-84
Qwen/Qwen2.5-VL-7B-Instruct,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,300,275,25,275,0,0.9166666666666666,1.0,0.9862235019249258,0.9999999999999999,0.9166666666666666,0.08333333333333333,0.057080874056394275,0.12012160196406074,3.2944368572595385e-83,300,300,1.0,3.0625,1.0625,9.883310571778616e-83
Qwen/Qwen2.5-VL-7B-Instruct,visual_only_gold,golden,ugly_gold,300,170,130,168,0,0.5666666666666667,0.9882352941176471,0.9581253033716599,0.9967677418553589,0.56,0.43333333333333335,0.3784513181454693,0.48990107801780347,1.9425653912950078e-47,300,286,0.9533333333333334,0.75,0.625,3.8851307825900156e-47
Qwen/Qwen2.5-VL-7B-Instruct,visual_only_trash,beautiful_trash,ugly_trash,300,25,275,25,0,0.08333333333333333,1.0,0.8668077490609515,0.9999999999999999,0.08333333333333333,0.9166666666666666,0.8798783980359391,0.9429191259436057,5.960464477539063e-08,297,284,0.9562289562289562,0.5625,1.75,5.960464477539063e-08
