model_key,model_name,language,total_pairs,valid_pairs,correct_and_valid,strict_swap_error,swap_err_ci_low,swap_err_ci_high,valid_accuracy,valid_acc_ci_low,valid_acc_ci_high,effective_accuracy,eff_acc_ci_low,eff_acc_ci_high,parse_failures
gemma,gemma-3-27b-it,ALL,900,468,294,0.48,0.43157664569587234,0.5285724017127287,0.6282051282051282,0.5652112503070499,0.6918918918918919,0.32666666666666666,0.2827763496143959,0.3707579135740898,0
gemma,gemma-3-27b-it,cuda,300,144,97,0.52,0.4347826086956522,0.6074766355140186,0.6736111111111112,0.576271186440678,0.7719298245614035,0.3233333333333333,0.24770642201834864,0.40146123645211235,0
gemma,gemma-3-27b-it,java,300,155,108,0.4833333333333333,0.4032258064516129,0.5625,0.6967741935483871,0.5932203389830508,0.796875,0.36,0.28440366972477066,0.4359022556390977,0
gemma,gemma-3-27b-it,python,300,169,89,0.43666666666666665,0.34782608695652173,0.5229393083980239,0.5266272189349113,0.4117647058823529,0.6461538461538462,0.2966666666666667,0.21951219512195122,0.3730188343994314,0
mistral,Mistral-Small-3.1-24B-Instruct-2503,ALL,900,468,307,0.48,0.4306348147177783,0.5273784621635653,0.655982905982906,0.595625345367471,0.7159090909090909,0.3411111111111111,0.2985065108132805,0.384180790960452,0
mistral,Mistral-Small-3.1-24B-Instruct-2503,cuda,300,181,129,0.3966666666666666,0.31355932203389836,0.48305084745762716,0.712707182320442,0.6181818181818182,0.8103448275862069,0.43,0.35106382978723405,0.5089285714285714,0
mistral,Mistral-Small-3.1-24B-Instruct-2503,java,300,182,111,0.3933333333333333,0.31999999999999995,0.4672131147540983,0.6098901098901099,0.5147058823529411,0.7027027027027027,0.37,0.3,0.4387773454705623,0
mistral,Mistral-Small-3.1-24B-Instruct-2503,python,300,105,67,0.65,0.5816326530612245,0.7155963302752293,0.638095238095238,0.5116279069767442,0.7631578947368421,0.22333333333333333,0.1648238747553816,0.2846167883211678,0
qwen,Qwen2.5-VL-32B-Instruct,ALL,900,710,518,0.21111111111111114,0.17543859649122806,0.24728405411655877,0.7295774647887324,0.6837905138339921,0.773972602739726,0.5755555555555556,0.5308961992157897,0.6195984315207634,0
qwen,Qwen2.5-VL-32B-Instruct,cuda,300,244,190,0.18666666666666665,0.12173913043478257,0.25,0.7786885245901639,0.7047619047619048,0.8529479222881812,0.6333333333333333,0.556390977443609,0.7142857142857143,0
qwen,Qwen2.5-VL-32B-Instruct,java,300,226,152,0.2466666666666667,0.18253968253968256,0.3119266055045872,0.672566371681416,0.5875,0.7558139534883721,0.5066666666666667,0.4298245614035088,0.5833333333333334,0
qwen,Qwen2.5-VL-32B-Instruct,python,300,240,176,0.19999999999999996,0.141165577342048,0.26168224299065423,0.7333333333333333,0.6585365853658537,0.8072289156626506,0.5866666666666667,0.5135135135135135,0.6575373318524003,0
