model_key,model_name,metric,numerator,denominator,estimate,ci_95_low,ci_95_high
qwen,Qwen2.5-VL-32B-Instruct,num_pairs,300,300,300.0,,
qwen,Qwen2.5-VL-32B-Instruct,num_calls,600,600,600.0,,
qwen,Qwen2.5-VL-32B-Instruct,valid_pairs,226,300,0.753333,,
qwen,Qwen2.5-VL-32B-Instruct,strict_swap_error,74,300,0.246667,0.161094,0.340909
qwen,Qwen2.5-VL-32B-Instruct,correct_and_valid_pairs,152,300,0.506667,,
qwen,Qwen2.5-VL-32B-Instruct,valid_accuracy,152,226,0.672566,0.556954,0.781818
qwen,Qwen2.5-VL-32B-Instruct,effective_accuracy,152,300,0.506667,0.402516,0.609124
qwen,Qwen2.5-VL-32B-Instruct,call_parse_failure_rate,0,600,0.0,,
qwen,Qwen2.5-VL-32B-Instruct,pair_parse_failure_rate,0,300,0.0,0.0,0.0
gemma,gemma-3-27b-it,num_pairs,300,300,300.0,,
gemma,gemma-3-27b-it,num_calls,600,600,600.0,,
gemma,gemma-3-27b-it,valid_pairs,155,300,0.516667,,
gemma,gemma-3-27b-it,strict_swap_error,145,300,0.483333,0.379698,0.590014
gemma,gemma-3-27b-it,correct_and_valid_pairs,108,300,0.36,,
gemma,gemma-3-27b-it,valid_accuracy,108,155,0.696774,0.55,0.826353
gemma,gemma-3-27b-it,effective_accuracy,108,300,0.36,0.259256,0.465047
gemma,gemma-3-27b-it,call_parse_failure_rate,0,600,0.0,,
gemma,gemma-3-27b-it,pair_parse_failure_rate,0,300,0.0,0.0,0.0
mistral,Mistral-Small-3.1-24B-Instruct-2503,num_pairs,300,300,300.0,,
mistral,Mistral-Small-3.1-24B-Instruct-2503,num_calls,600,600,600.0,,
mistral,Mistral-Small-3.1-24B-Instruct-2503,valid_pairs,182,300,0.606667,,
mistral,Mistral-Small-3.1-24B-Instruct-2503,strict_swap_error,118,300,0.393333,0.29248,0.496352
mistral,Mistral-Small-3.1-24B-Instruct-2503,correct_and_valid_pairs,111,300,0.37,,
mistral,Mistral-Small-3.1-24B-Instruct-2503,valid_accuracy,111,182,0.60989,0.475,0.738889
mistral,Mistral-Small-3.1-24B-Instruct-2503,effective_accuracy,111,300,0.37,0.274998,0.472414
mistral,Mistral-Small-3.1-24B-Instruct-2503,call_parse_failure_rate,0,600,0.0,,
mistral,Mistral-Small-3.1-24B-Instruct-2503,pair_parse_failure_rate,0,300,0.0,0.0,0.0
