system,kind,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,notes,easy_effective_accuracy,easy_valid_accuracy,easy_n,medium_effective_accuracy,medium_valid_accuracy,medium_n,hard_effective_accuracy,hard_valid_accuracy,hard_n,input_available_at_deployment,uses_raw_source,ocr_engine,delta_vs_oracle_rf,delta_vs_best_ocr_rf
Oracle source gradient_boosting_regressor,oracle_source_classical,gradient_boosting_regressor,3000,3000,1860,0.62,0.62,,,Upper bound for screenshot-only deployment; uses raw source features.,0.706,0.706,1000,0.597,0.597,1000,0.557,0.557,1000,source text,yes,,-0.0033333333333332993,0.10133333333333328
Oracle source linear_regression,oracle_source_classical,linear_regression,3000,3000,1790,0.5966666666666667,0.5966666666666667,,,Upper bound for screenshot-only deployment; uses raw source features.,0.671,0.671,1000,0.586,0.586,1000,0.533,0.533,1000,source text,yes,,-0.026666666666666616,0.07799999999999996
Oracle source random_forest_regressor,oracle_source_classical,random_forest_regressor,3000,3000,1870,0.6233333333333333,0.6233333333333333,,,Upper bound for screenshot-only deployment; uses raw source features.,0.72,0.72,1000,0.608,0.608,1000,0.542,0.542,1000,source text,yes,,0.0,0.10466666666666657
Oracle source svr,oracle_source_classical,svr,3000,3000,1838,0.6126666666666667,0.6126666666666667,,,Upper bound for screenshot-only deployment; uses raw source features.,0.692,0.692,1000,0.615,0.615,1000,0.531,0.531,1000,source text,yes,,-0.010666666666666602,0.09399999999999997
OCR(easyocr)+gradient_boosting_regressor,ocr_classical,gradient_boosting_regressor,3000,3000,1493,0.49766666666666665,0.49766666666666665,,,Train on source features; predict held-out snippet scores from OCR text features.,0.503,0.503,1000,0.493,0.493,1000,0.497,0.497,1000,screenshot image -> OCR text,no for prediction,easyocr,-0.12566666666666665,-0.021000000000000074
OCR(easyocr)+linear_regression,ocr_classical,linear_regression,3000,3000,1449,0.483,0.483,,,Train on source features; predict held-out snippet scores from OCR text features.,0.495,0.495,1000,0.481,0.481,1000,0.473,0.473,1000,screenshot image -> OCR text,no for prediction,easyocr,-0.1403333333333333,-0.035666666666666735
OCR(easyocr)+random_forest_regressor,ocr_classical,random_forest_regressor,3000,3000,1447,0.48233333333333334,0.48233333333333334,,,Train on source features; predict held-out snippet scores from OCR text features.,0.49,0.49,1000,0.485,0.485,1000,0.472,0.472,1000,screenshot image -> OCR text,no for prediction,easyocr,-0.14099999999999996,-0.036333333333333384
OCR(easyocr)+svr,ocr_classical,svr,3000,3000,1504,0.5013333333333333,0.5013333333333333,,,Train on source features; predict held-out snippet scores from OCR text features.,0.51,0.51,1000,0.488,0.488,1000,0.506,0.506,1000,screenshot image -> OCR text,no for prediction,easyocr,-0.122,-0.017333333333333423
OCR(easyocr_preprocessed)+gradient_boosting_regressor,ocr_classical,gradient_boosting_regressor,3000,3000,1526,0.5086666666666667,0.5086666666666667,,,Train on source features; predict held-out snippet scores from OCR text features.,0.517,0.517,1000,0.517,0.517,1000,0.492,0.492,1000,screenshot image -> OCR text,no for prediction,easyocr_preprocessed,-0.11466666666666658,-0.010000000000000009
OCR(easyocr_preprocessed)+linear_regression,ocr_classical,linear_regression,3000,3000,1473,0.491,0.491,,,Train on source features; predict held-out snippet scores from OCR text features.,0.486,0.486,1000,0.512,0.512,1000,0.475,0.475,1000,screenshot image -> OCR text,no for prediction,easyocr_preprocessed,-0.1323333333333333,-0.027666666666666728
OCR(easyocr_preprocessed)+random_forest_regressor,ocr_classical,random_forest_regressor,3000,3000,1552,0.5173333333333333,0.5173333333333333,,,Train on source features; predict held-out snippet scores from OCR text features.,0.521,0.521,1000,0.533,0.533,1000,0.498,0.498,1000,screenshot image -> OCR text,no for prediction,easyocr_preprocessed,-0.10599999999999998,-0.0013333333333334085
OCR(easyocr_preprocessed)+svr,ocr_classical,svr,3000,3000,1531,0.5103333333333333,0.5103333333333333,,,Train on source features; predict held-out snippet scores from OCR text features.,0.532,0.532,1000,0.485,0.485,1000,0.514,0.514,1000,screenshot image -> OCR text,no for prediction,easyocr_preprocessed,-0.11299999999999999,-0.008333333333333415
OCR(rapidocr)+gradient_boosting_regressor,ocr_classical,gradient_boosting_regressor,3000,3000,1567,0.5223333333333333,0.5223333333333333,,,Train on source features; predict held-out snippet scores from OCR text features.,0.543,0.543,1000,0.527,0.527,1000,0.497,0.497,1000,screenshot image -> OCR text,no for prediction,rapidocr,-0.10099999999999998,0.003666666666666596
OCR(rapidocr)+linear_regression,ocr_classical,linear_regression,3000,3000,1531,0.5103333333333333,0.5103333333333333,,,Train on source features; predict held-out snippet scores from OCR text features.,0.527,0.527,1000,0.507,0.507,1000,0.497,0.497,1000,screenshot image -> OCR text,no for prediction,rapidocr,-0.11299999999999999,-0.008333333333333415
OCR(rapidocr)+random_forest_regressor,ocr_classical,random_forest_regressor,3000,3000,1556,0.5186666666666667,0.5186666666666667,,,Train on source features; predict held-out snippet scores from OCR text features.,0.538,0.538,1000,0.519,0.519,1000,0.499,0.499,1000,screenshot image -> OCR text,no for prediction,rapidocr,-0.10466666666666657,0.0
OCR(rapidocr)+svr,ocr_classical,svr,3000,3000,1589,0.5296666666666666,0.5296666666666666,,,Train on source features; predict held-out snippet scores from OCR text features.,0.552,0.552,1000,0.525,0.525,1000,0.512,0.512,1000,screenshot image -> OCR text,no for prediction,rapidocr,-0.09366666666666668,0.010999999999999899
Direct VLM OpenGVLab/InternVL3-8B / image_only / clean,direct_vlm,OpenGVLab/InternVL3-8B / image_only / clean,3000,1356,752,0.25066666666666665,0.5545722713864307,0.548,0.0,Clean full-factorial image-only strict-swap output reused.,0.285,0.6263736263736264,1000,0.223,0.5259433962264151,1000,0.244,0.5115303983228512,1000,screenshot image,no,,-0.37266666666666665,-0.26800000000000007
Direct VLM Qwen/Qwen2.5-VL-7B-Instruct / image_only / clean,direct_vlm,Qwen/Qwen2.5-VL-7B-Instruct / image_only / clean,3000,1867,1160,0.38666666666666666,0.6213176218532405,0.3776666666666667,0.0,Clean full-factorial image-only strict-swap output reused.,0.445,0.6931464174454829,1000,0.381,0.6195121951219512,1000,0.334,0.5475409836065573,1000,screenshot image,no,,-0.23666666666666664,-0.13200000000000006
