scope,model,setting,target,feature_set,source_feature_count,visual_feature_count,control_feature_count,raw_input_columns_excluding_target,total_target_rows,evaluated_rows,excluded_cross_fold_rows,unique_snippets,evaluable_folds,fold_train_test_n,auc,balanced_accuracy,seed,split_rule
java,gradient_boosting,qwen_text_plus_image,rf_failure,source_plus_visual,164,104,3,272,3000,571,2429,313,5,0:1874/113;1:1886/109;2:1957/120;3:1922/120;4:1932/109,0.8559973045822102,0.7501145552560646,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
java,gradient_boosting,qwen_text_plus_image,vlm_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1130,200,930,313,5,0:712/44;1:673/41;2:730/35;3:729/44;4:746/36,0.6558908045977012,0.604064039408867,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
java,gradient_boosting,qwen_text_plus_image,vlm_correct_given_rf_wrong_and_valid,source_plus_visual,164,104,3,272,856,155,701,313,5,0:526/34;1:496/32;2:566/32;3:566/31;4:569/26,0.6913145539906101,0.6339704896042924,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_pooled,gradient_boosting,qwen_text_plus_image,rf_failure,source_plus_visual,164,104,3,272,6000,1155,4845,239,5,0:3819/248;1:3814/223;2:3795/230;3:3839/239;4:3888/215,0.9179586563307494,0.8077610222868217,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_pooled,gradient_boosting,qwen_text_plus_image,vlm_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.7282044420658282,0.6818704843457319,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_pooled,gradient_boosting,qwen_text_plus_image,vlm_correct_given_rf_wrong_and_valid,source_plus_visual,164,104,3,272,1399,283,1116,239,5,0:903/51;1:852/71;2:882/64;3:910/50;4:933/47,0.8109211252068395,0.7334528405956977,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,combined_labeled_image_only,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6392442947998503,0.547979797979798,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,combined_labeled_image_only,effective_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6199027310138421,0.5474747474747474,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6994878706199459,0.65277628032345,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,effective_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6914285714285714,0.6347708894878705,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,image_only,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.880962401795735,0.7309027777777778,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,image_only,effective_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.8884680134680135,0.7428977272727273,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,text_plus_image,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.754910764395555,0.6842659108766416,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,OpenGVLab/InternVL3-8B,text_plus_image,effective_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.7645919856325065,0.6695616792008081,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6630635624538064,0.584950110864745,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,effective_rescue_given_rf_wrong,source_plus_visual,164,104,3,272,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.7099039172209904,0.6280025868440502,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
python_cuda_all_8_conditions,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,effective_rescue_given_rf_wrong,source_only,164,0,3,168,1914,387,1527,239,5,0:1201/85;1:1195/87;2:1228/74;3:1261/69;4:1244/72,0.6983440170940172,0.666786858974359,42,test: both endpoints in fold; train: neither endpoint in fold; crossing edges excluded
