protocol_pair_id,language,benchmark,difficulty,snippet_i,snippet_j,available,unavailable_reason,k1_agreement,panel_agreement,k1_tie_probability,panel_tie_probability,panel_size_i,panel_size_j
rq1_0000,java,Buse,easy,rq0_0000,rq0_0025,True,,0.6965712724540674,1.0,0.227101973908886,0.0,121.0,121.0
rq1_0001,java,Buse,easy,rq0_0000,rq0_0033,True,,0.7552762789426952,1.0,0.20790929581312753,0.0,121.0,121.0
rq1_0002,java,cross-dataset,easy,rq0_0000,rq0_0128,True,,0.7855320885623915,1.0,0.17290752644288,0.0,121.0,243.0
rq1_0003,java,cross-dataset,easy,rq0_0000,rq0_0166,True,,0.6806013283983167,1.0,0.2110733661207727,0.0,121.0,163.0
rq1_0004,java,cross-dataset,easy,rq0_0000,rq0_0207,True,,0.7617079889807162,0.9998,0.2231404958677686,0.0,121.0,9.0
rq1_0005,java,cross-dataset,easy,rq0_0000,rq0_0242,True,,0.7617079889807162,0.9997,0.2231404958677686,0.0,121.0,9.0
rq1_0006,java,cross-dataset,easy,rq0_0000,rq0_0279,True,,0.7961432506887053,1.0,0.21671258034894397,0.0,121.0,9.0
rq1_0007,java,cross-dataset,easy,rq0_0001,rq0_0127,True,,0.7313377679231338,1.0,0.22072162870389034,0.0,121.0,246.0
rq1_0008,java,cross-dataset,easy,rq0_0001,rq0_0153,True,,0.7486410041101339,1.0,0.19476731338666195,0.0,121.0,187.0
rq1_0009,java,cross-dataset,easy,rq0_0001,rq0_0211,True,,0.8232323232323232,0.9991,0.1184573002754821,0.0,121.0,9.0
rq1_0010,java,cross-dataset,easy,rq0_0001,rq0_0276,True,,0.7548209366391184,0.9991,0.2369146005509642,0.0,121.0,9.0
rq1_0011,java,cross-dataset,easy,rq0_0001,rq0_0311,True,,0.7162534435261708,0.9959,0.25895316804407714,0.0,121.0,9.0
rq1_0012,java,Buse,easy,rq0_0002,rq0_0082,True,,0.7830749265760536,1.0,0.16829451540195342,0.0,121.0,121.0
rq1_0013,java,cross-dataset,easy,rq0_0002,rq0_0107,True,,0.692793388429752,1.0,0.22763636363636364,0.0,121.0,250.0
