model,language,benchmark,difficulty,n_total,n_valid,valid_accuracy,ceiling_k1,ceiling_panel,valid_accuracy_over_panel_ceiling
OpenGVLab/InternVL3-8B,cuda,Dorn,easy,1000,483,0.5527950310559007,0.758950202329012,1.0,0.5527950310559007
OpenGVLab/InternVL3-8B,cuda,Dorn,hard,1000,387,0.5193798449612403,0.5539244583061429,0.9619338499999999,0.5399330161437197
OpenGVLab/InternVL3-8B,cuda,Dorn,medium,1000,420,0.5595238095238095,0.613092063862134,0.9996559500000001,0.5597163799443293
OpenGVLab/InternVL3-8B,java,Buse,easy,106,81,0.4691358024691358,0.778684632068384,1.0,0.4691358024691358
OpenGVLab/InternVL3-8B,java,Buse,hard,99,74,0.527027027027027,0.5585276989552654,0.9366717171717173,0.5626592725767214
OpenGVLab/InternVL3-8B,java,Buse,medium,94,67,0.4925373134328358,0.619745337706557,0.9983856382978721,0.49333373251697904
OpenGVLab/InternVL3-8B,java,Dorn,easy,79,42,0.5,0.6922444518757117,0.9999987012987013,0.5000006493514927
OpenGVLab/InternVL3-8B,java,Dorn,hard,96,46,0.2826086956521739,0.5388969532153975,0.9101873626373624,0.3104950774456875
OpenGVLab/InternVL3-8B,java,Dorn,medium,100,45,0.5777777777777777,0.58748065972788,0.9973357142857144,0.5793212551217807
OpenGVLab/InternVL3-8B,java,Scalabrino,easy,159,85,0.4470588235294118,0.8038667598416027,0.9837647798742136,0.4544367034430464
OpenGVLab/InternVL3-8B,java,Scalabrino,hard,81,46,0.45652173913043476,0.5688919372046943,0.7054382716049382,0.6471462600006164
OpenGVLab/InternVL3-8B,java,Scalabrino,medium,190,97,0.4639175257731959,0.6303118908382067,0.8476050000000002,0.5473275001600932
OpenGVLab/InternVL3-8B,python,Dorn,easy,1000,458,0.45633187772925765,0.7267348056139338,1.0,0.45633187772925765
OpenGVLab/InternVL3-8B,python,Dorn,hard,1000,401,0.49875311720698257,0.5564328690772092,0.96533875,0.5166612416698103
OpenGVLab/InternVL3-8B,python,Dorn,medium,1000,435,0.4896551724137931,0.6168848800001483,0.9997440000000001,0.4897805562361895
Qwen/Qwen2.5-VL-7B-Instruct,cuda,Dorn,easy,1000,716,0.8798882681564246,0.758950202329012,1.0,0.8798882681564246
Qwen/Qwen2.5-VL-7B-Instruct,cuda,Dorn,hard,1000,584,0.6027397260273972,0.5539244583061429,0.9619338499999999,0.6265916580723272
Qwen/Qwen2.5-VL-7B-Instruct,cuda,Dorn,medium,1000,560,0.7357142857142858,0.613092063862134,0.9996559500000001,0.7359674953310543
Qwen/Qwen2.5-VL-7B-Instruct,java,Buse,easy,106,64,0.859375,0.778684632068384,1.0,0.859375
Qwen/Qwen2.5-VL-7B-Instruct,java,Buse,hard,99,54,0.6296296296296297,0.5585276989552654,0.9366717171717173,0.6721988270669664
Qwen/Qwen2.5-VL-7B-Instruct,java,Buse,medium,94,55,0.6727272727272727,0.619745337706557,0.9983856382978721,0.6738150539446782
Qwen/Qwen2.5-VL-7B-Instruct,java,Dorn,easy,79,59,0.4067796610169492,0.6922444518757117,0.9999987012987013,0.4067801893029093
