model,language,pair_id,order,verdict_mismatch,margin_original,margin_repeat,abs_margin_original,logit_A_original,logit_A_repeat,logit_B_original,logit_B_repeat,max_logit_diff,c,b,tie_c,boundary
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0000,AB,False,-1.75,-1.5,1.75,23.375,23.625,25.125,25.125,0.25,-0.875,-0.875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0000,BA,False,0.0,0.0,0.0,25.125,25.5,25.125,25.5,0.375,-0.875,-0.875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0001,AB,False,0.25,0.5,0.25,25.5,25.75,25.25,25.25,0.25,1.0,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0001,BA,False,-1.75,-1.875,1.75,23.375,23.125,25.125,25.0,0.25,1.0,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0002,AB,False,-2.125,-2.125,2.125,22.75,22.75,24.875,24.875,0.0,-0.9375,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0002,BA,False,-0.25,-0.25,0.25,25.0,24.875,25.25,25.125,0.125,-0.9375,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0003,AB,False,-0.5,-0.5,0.5,25.125,25.125,25.625,25.625,0.0,0.5,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0003,BA,False,-1.5,-1.5,1.5,23.375,23.375,24.875,24.875,0.0,0.5,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0004,AB,False,0.125,0.25,0.125,25.875,25.75,25.75,25.5,0.25,1.25,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0004,BA,False,-2.375,-2.625,2.375,22.5,22.375,24.875,25.0,0.125,1.25,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0005,AB,False,1.375,1.125,1.375,26.375,26.125,25.0,25.0,0.25,1.5,-0.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0005,BA,False,-1.625,-1.5,1.625,23.375,23.25,25.0,24.75,0.25,1.5,-0.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0006,AB,False,1.25,1.25,1.25,26.25,26.25,25.0,25.0,0.0,1.5625,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0006,BA,False,-1.875,-1.75,1.875,22.625,22.875,24.5,24.625,0.25,1.5625,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0007,AB,False,-1.75,-1.75,1.75,23.0,23.25,24.75,25.0,0.25,-1.0625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0007,BA,False,0.375,0.125,0.375,25.875,25.75,25.5,25.625,0.125,-1.0625,-0.6875,False,False
