run,model,language,condition,n_pairs,strict_swap_pairs,strict_swap_error,strict_swap_ci_low,strict_swap_ci_high,repeat_run_available,repeat_run_flip_rate
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,744,0.744,0.7157571698989935,0.7707982136155871,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,689,0.689,0.6592838186237888,0.7175986946117591,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,692,0.692,0.662351338002505,0.7205133700994173,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,678,0.678,0.6480481447866293,0.7068996236579649,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,710,0.71,0.6807865098815257,0.7379712849550527,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,675,0.675,0.6449870685625703,0.7039784889386835,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,702,0.702,0.6725866614539602,0.7302186685854952,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,654,0.654,0.6235968736506604,0.6834931233720001,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,695,0.695,0.6654202687626467,0.7234266304683378,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,694,0.694,0.6643971343161432,0.7224557016271423,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,703,0.703,0.6736110731678129,0.7311883166205182,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,688,0.688,0.6582616238554309,0.7166268236127108,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1000,503,0.503,0.4715408750196658,0.534441416228923,False,
grounded_protocol_3lang_20260721,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1000,366,0.366,0.33607574878480273,0.39671585879636684,False,
