model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
gemma,overall,all,1,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,946,51,65,35,0.5384615384615384,0.03699788583509514,0.5021141649048626,895,0.5384615384615384,0.03910614525139665,0.5307262569832403,0.0,0.625,1.25
gemma,overall,all,2,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,221,123,0.5565610859728507,0.13743016759776536,0.5541899441340782,895,0.5565610859728507,0.13743016759776536,0.5541899441340782,1.25,2.0,2.625
gemma,overall,all,3,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,559,306,0.5474060822898033,0.3418994413407821,0.5620111731843576,895,0.5474060822898033,0.3418994413407821,0.5620111731843576,2.625,3.25,3.875
gemma,overall,all,4,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,826,458,0.5544794188861986,0.511731843575419,0.5541899441340782,895,0.5544794188861986,0.511731843575419,0.5541899441340782,3.875,4.625,5.125
gemma,overall,all,5,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,894,563,0.6297539149888143,0.6290502793296089,0.6301675977653631,895,0.6297539149888143,0.6290502793296089,0.6301675977653631,5.125,5.625,6.125
gemma,overall,all,6,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,547,0.6111731843575419,0.6111731843575419,0.6111731843575419,895,0.6111731843575419,0.6111731843575419,0.6111731843575419,6.125,6.625,7.0
gemma,overall,all,7,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,581,0.6491620111731844,0.6491620111731844,0.6491620111731844,895,0.6491620111731844,0.6491620111731844,0.6491620111731844,7.0,7.375,7.75
gemma,overall,all,8,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,610,0.6815642458100558,0.6815642458100558,0.6815642458100558,895,0.6815642458100558,0.6815642458100558,0.6815642458100558,7.75,8.0,8.375
gemma,overall,all,9,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,646,0.7217877094972067,0.7217877094972067,0.7217877094972067,895,0.7217877094972067,0.7217877094972067,0.7217877094972067,8.375,8.75,9.125
gemma,overall,all,10,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,894,0,894,663,0.7416107382550335,0.7416107382550335,0.7416107382550335,894,0.7416107382550335,0.7416107382550335,0.7416107382550335,9.125,9.625,12.375
gemma,language,cuda,1,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,266,9,28,13,0.4642857142857143,0.04887218045112782,0.46616541353383456,257,0.4642857142857143,0.05058365758754864,0.48249027237354086,0.0,0.625,1.25
gemma,language,cuda,2,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,271,0,92,52,0.5652173913043478,0.1918819188191882,0.5387453874538746,271,0.5652173913043478,0.1918819188191882,0.5387453874538746,1.375,2.0,2.625
gemma,language,cuda,3,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,322,0,223,126,0.5650224215246636,0.391304347826087,0.577639751552795,322,0.5650224215246636,0.391304347826087,0.577639751552795,2.625,3.25,3.875
gemma,language,cuda,4,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,308,0,291,151,0.5189003436426117,0.4902597402597403,0.5324675324675324,308,0.5189003436426117,0.4902597402597403,0.5324675324675324,4.0,4.625,5.125
gemma,language,cuda,5,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,353,0,353,213,0.603399433427762,0.603399433427762,0.603399433427762,353,0.603399433427762,0.603399433427762,0.603399433427762,5.25,5.75,6.125
gemma,language,cuda,6,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,306,0,306,189,0.6176470588235294,0.6176470588235294,0.6176470588235294,306,0.6176470588235294,0.6176470588235294,0.6176470588235294,6.125,6.5,7.0
gemma,language,cuda,7,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,293,0,293,195,0.6655290102389079,0.6655290102389079,0.6655290102389079,293,0.6655290102389079,0.6655290102389079,0.6655290102389079,7.0,7.25,7.625
gemma,language,cuda,8,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,316,0,316,222,0.7025316455696202,0.7025316455696202,0.7025316455696202,316,0.7025316455696202,0.7025316455696202,0.7025316455696202,7.75,8.0,8.375
gemma,language,cuda,9,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,277,0,277,214,0.7725631768953068,0.7725631768953068,0.7725631768953068,277,0.7725631768953068,0.7725631768953068,0.7725631768953068,8.375,8.75,9.125
gemma,language,cuda,10,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,288,0,288,235,0.8159722222222222,0.8159722222222222,0.8159722222222222,288,0.8159722222222222,0.8159722222222222,0.8159722222222222,9.125,9.625,11.5
gemma,language,java,1,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,290,18,22,13,0.5909090909090909,0.04482758620689655,0.506896551724138,272,0.5909090909090909,0.04779411764705882,0.5404411764705882,0.0,0.625,1.25
gemma,language,java,2,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,268,0,70,36,0.5142857142857142,0.13432835820895522,0.5671641791044776,268,0.5142857142857142,0.13432835820895522,0.5671641791044776,1.375,2.0,2.625
gemma,language,java,3,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,237,0,157,88,0.5605095541401274,0.37130801687763715,0.540084388185654,237,0.5605095541401274,0.37130801687763715,0.540084388185654,2.75,3.25,3.875
gemma,language,java,4,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,281,0,264,143,0.5416666666666666,0.5088967971530249,0.5409252669039146,281,0.5416666666666666,0.5088967971530249,0.5409252669039146,4.0,4.625,5.125
gemma,language,java,5,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,259,0,259,154,0.5945945945945946,0.5945945945945946,0.5945945945945946,259,0.5945945945945946,0.5945945945945946,0.5945945945945946,5.25,5.75,6.125
gemma,language,java,6,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,313,0,313,189,0.6038338658146964,0.6038338658146964,0.6038338658146964,313,0.6038338658146964,0.6038338658146964,0.6038338658146964,6.25,6.625,7.0
gemma,language,java,7,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,300,0,300,192,0.64,0.64,0.64,300,0.64,0.64,0.64,7.125,7.375,7.75
gemma,language,java,8,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,303,0,303,199,0.6567656765676567,0.6567656765676567,0.6567656765676567,303,0.6567656765676567,0.6567656765676567,0.6567656765676567,7.75,8.125,8.375
