model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
gemma,overall,all,1,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,946,51,65,35,0.5384615384615384,0.03699788583509514,0.5021141649048626,895,0.5384615384615384,0.03910614525139665,0.5307262569832403,0.0,0.625,1.25
gemma,overall,all,2,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,221,123,0.5565610859728507,0.13743016759776536,0.5541899441340782,895,0.5565610859728507,0.13743016759776536,0.5541899441340782,1.25,2.0,2.625
gemma,overall,all,3,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,559,306,0.5474060822898033,0.3418994413407821,0.5620111731843576,895,0.5474060822898033,0.3418994413407821,0.5620111731843576,2.625,3.25,3.875
gemma,overall,all,4,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,826,458,0.5544794188861986,0.511731843575419,0.5541899441340782,895,0.5544794188861986,0.511731843575419,0.5541899441340782,3.875,4.625,5.125
gemma,overall,all,5,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,894,563,0.6297539149888143,0.6290502793296089,0.6301675977653631,895,0.6297539149888143,0.6290502793296089,0.6301675977653631,5.125,5.625,6.125
gemma,overall,all,6,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,547,0.6111731843575419,0.6111731843575419,0.6111731843575419,895,0.6111731843575419,0.6111731843575419,0.6111731843575419,6.125,6.625,7.0
gemma,overall,all,7,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,581,0.6491620111731844,0.6491620111731844,0.6491620111731844,895,0.6491620111731844,0.6491620111731844,0.6491620111731844,7.0,7.375,7.75
gemma,overall,all,8,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,610,0.6815642458100558,0.6815642458100558,0.6815642458100558,895,0.6815642458100558,0.6815642458100558,0.6815642458100558,7.75,8.0,8.375
gemma,overall,all,9,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,895,0,895,646,0.7217877094972067,0.7217877094972067,0.7217877094972067,895,0.7217877094972067,0.7217877094972067,0.7217877094972067,8.375,8.75,9.125
gemma,overall,all,10,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,894,0,894,663,0.7416107382550335,0.7416107382550335,0.7416107382550335,894,0.7416107382550335,0.7416107382550335,0.7416107382550335,9.125,9.625,12.375
internvl,overall,all,1,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,1105,227,50,23,0.46,0.02081447963800905,0.3927601809954751,878,0.46,0.02619589977220957,0.49430523917995445,0.0,0.0625,0.125
internvl,overall,all,2,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,112,56,0.5,0.06385404789053592,0.5381984036488028,877,0.5,0.06385404789053592,0.5381984036488028,0.125,0.1875,0.25
internvl,overall,all,3,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,178,97,0.5449438202247191,0.11060433295324971,0.5518814139110604,877,0.5449438202247191,0.11060433295324971,0.5518814139110604,0.25,0.3125,0.375
internvl,overall,all,4,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,878,0,277,114,0.41155234657039713,0.12984054669703873,0.5353075170842825,878,0.41155234657039713,0.12984054669703873,0.5353075170842825,0.375,0.4375,0.5625
internvl,overall,all,5,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,386,220,0.5699481865284974,0.2508551881413911,0.5769669327251995,877,0.5699481865284974,0.2508551881413911,0.5769669327251995,0.5625,0.625,0.6875
internvl,overall,all,6,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,486,251,0.5164609053497943,0.2862029646522235,0.548460661345496,877,0.5164609053497943,0.2862029646522235,0.548460661345496,0.6875,0.8125,0.875
internvl,overall,all,7,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,878,0,594,317,0.5336700336700336,0.36104783599088835,0.5501138952164009,878,0.5336700336700336,0.36104783599088835,0.5501138952164009,0.875,1.0,1.125
internvl,overall,all,8,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,733,381,0.519781718963165,0.43443557582668185,0.5267958950969214,877,0.519781718963165,0.43443557582668185,0.5267958950969214,1.125,1.3125,1.4375
internvl,overall,all,9,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,820,393,0.4792682926829268,0.44811858608893956,0.48004561003420754,877,0.4792682926829268,0.44811858608893956,0.48004561003420754,1.4375,1.6875,1.9375
internvl,overall,all,10,rq1_model_battery_3lang_20260723,OpenGVLab/InternVL3-8B,877,0,870,374,0.4298850574712644,0.4264538198403649,0.4298745724059293,877,0.4298850574712644,0.4264538198403649,0.4298745724059293,1.9375,2.25,4.1875
ministral,overall,all,1,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,932,35,33,20,0.6060606060606061,0.02145922746781116,0.453862660944206,897,0.6060606060606061,0.022296544035674472,0.47157190635451507,0.0,0.3125,0.5625
ministral,overall,all,2,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,124,58,0.46774193548387094,0.06473214285714286,0.5401785714285714,896,0.46774193548387094,0.06473214285714286,0.5401785714285714,0.5625,0.875,1.1875
ministral,overall,all,3,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,265,130,0.49056603773584906,0.14492753623188406,0.5317725752508361,897,0.49056603773584906,0.14492753623188406,0.5317725752508361,1.1875,1.5,1.8125
ministral,overall,all,4,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,466,248,0.5321888412017167,0.2767857142857143,0.5435267857142857,896,0.5321888412017167,0.2767857142857143,0.5435267857142857,1.8125,2.125,2.5
ministral,overall,all,5,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,678,345,0.5088495575221239,0.38461538461538464,0.5384615384615384,897,0.5088495575221239,0.38461538461538464,0.5384615384615384,2.5,2.875,3.25
ministral,overall,all,6,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,854,469,0.5491803278688525,0.5234375,0.5524553571428571,896,0.5491803278688525,0.5234375,0.5524553571428571,3.25,3.625,4.0
