run,model_key,model,scope,language,n_pairs,median_abs_b,median_abs_c,abs_c_gt_abs_b_pairs,abs_c_gt_abs_b_rate,strict_valid_pairs,strict_valid_rate,boundary_pairs,nonboundary_identity_violations,conservative_boundary_inclusive_mismatches
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,overall,all,9000,1.25,6.125,7003,0.7781111111111111,7039,0.7821111111111111,109,0,36
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,overall,all,9000,0.6875,0.6875,4440,0.49333333333333335,4506,0.5006666666666667,753,0,66
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,overall,all,9000,1.375,3.203125,5973,0.6636666666666666,6004,0.6671111111111111,88,0,31
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,overall,all,9000,0.125,0.25,4432,0.49244444444444446,6265,0.6961111111111111,3982,0,1833
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,overall,all,9000,0.6875,0.6875,4270,0.47444444444444445,4880,0.5422222222222223,645,0,610
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,cuda,3000,1.125,6.125,2451,0.817,2467,0.8223333333333334,36,0,16
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,java,3000,1.1875,6.625,2425,0.8083333333333333,2437,0.8123333333333334,31,0,12
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,python,3000,1.625,5.5,2127,0.709,2135,0.7116666666666667,42,0,8
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,cuda,3000,0.6875,0.5625,1278,0.426,1290,0.43,236,0,12
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,java,3000,0.5625,0.8125,1880,0.6266666666666667,1922,0.6406666666666667,249,0,42
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,python,3000,0.8125,0.6875,1282,0.42733333333333334,1294,0.43133333333333335,268,0,12
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,cuda,3000,1.4375,3.0625,1908,0.636,1914,0.638,28,0,6
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,java,3000,1.1875,3.3125,2144,0.7146666666666667,2164,0.7213333333333334,32,0,20
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,python,3000,1.5625,3.25,1921,0.6403333333333333,1926,0.642,28,0,5
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,cuda,3000,0.125,0.25,1360,0.4533333333333333,2130,0.71,1367,0,770
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,java,3000,0.125,0.25,1504,0.5013333333333333,2088,0.696,1368,0,584
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,language,python,3000,0.125,0.25,1568,0.5226666666666666,2047,0.6823333333333333,1247,0,479
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,cuda,3000,0.5,0.6875,1654,0.5513333333333333,1860,0.62,226,0,206
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,java,3000,0.6875,0.625,1360,0.4533333333333333,1575,0.525,224,0,215
rq1_model_battery_3lang_20260723,qwen,Qwen/Qwen2.5-VL-7B-Instruct,language,python,3000,0.8125,0.6875,1256,0.4186666666666667,1445,0.4816666666666667,195,0,189
