model,language,condition,n_pairs,median_abs_b,median_abs_c,strict_valid_rate,boundary_rate
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,1.125,0.5625,0.256,0.062
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,0.875,0.5625,0.311,0.078
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,1.0625,0.5625,0.308,0.052
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,0.875,0.5625,0.322,0.08
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,1.0,0.5,0.29,0.056
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,0.8125,0.5625,0.325,0.097
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,1.0,0.5,0.298,0.052
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,0.8125,0.5,0.346,0.081
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,1.125,0.59375,0.305,0.057
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,0.875,0.5625,0.306,0.073
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,1.0625,0.5625,0.297,0.052
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,0.9375,0.5625,0.312,0.072
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1000,0.5625,0.625,0.497,0.098
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1000,0.4375,0.6875,0.634,0.094
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,1000,0.5625,0.625,0.532,0.065
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,1000,0.4375,0.75,0.657,0.085
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,1000,0.5625,0.5625,0.495,0.08
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,1000,0.375,0.75,0.678,0.094
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,1000,0.5625,0.5625,0.513,0.089
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,1000,0.375,0.6875,0.673,0.092
OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,1000,0.625,0.625,0.512,0.083
OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,1000,0.53125,0.8125,0.633,0.083
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1000,0.625,0.6875,0.539,0.066
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1000,0.5,0.8125,0.668,0.085
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1000,1.0625,0.75,0.363,0.062
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1000,0.75,0.6875,0.413,0.087
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1000,1.0,0.75,0.373,0.073
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1000,0.8125,0.625,0.403,0.085
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1000,1.0,0.6875,0.37,0.072
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1000,0.6875,0.625,0.434,0.088
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1000,0.9375,0.6875,0.398,0.066
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,1000,0.75,0.625,0.407,0.095
OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,1000,1.0625,0.75,0.384,0.061
