run,scope,model_key,model,language,difficulty,n_pairs,n_calls,first_position_choices,first_position_rate,pair_cluster_bootstrap_ci_low,pair_cluster_bootstrap_ci_high,bootstrap_reps
rq1_model_battery_3lang_20260723,language,gemma,google/gemma-3-12b-it,cuda,all,3000,6000,3085,0.5141666666666667,0.5066666666666667,0.5216666666666666,10000
rq1_model_battery_3lang_20260723,language,gemma,google/gemma-3-12b-it,java,all,3000,6000,3323,0.5538333333333333,0.5463333333333333,0.5615,10000
rq1_model_battery_3lang_20260723,language,gemma,google/gemma-3-12b-it,python,all,3000,6000,3663,0.6105,0.6018333333333333,0.6193333333333333,10000
rq1_model_battery_3lang_20260723,language,internvl,OpenGVLab/InternVL3-8B,cuda,all,3000,6000,4670,0.7783333333333333,0.7691666666666667,0.7873374999999999,10000
rq1_model_battery_3lang_20260723,language,internvl,OpenGVLab/InternVL3-8B,java,all,3000,6000,3944,0.6573333333333333,0.6483333333333333,0.6665,10000
rq1_model_battery_3lang_20260723,language,internvl,OpenGVLab/InternVL3-8B,python,all,3000,6000,4688,0.7813333333333333,0.7725,0.7901666666666667,10000
rq1_model_battery_3lang_20260723,language,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,all,3000,6000,3792,0.632,0.6225,0.6416666666666667,10000
rq1_model_battery_3lang_20260723,language,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,all,3000,6000,3306,0.551,0.5416666666666666,0.5603333333333333,10000
rq1_model_battery_3lang_20260723,language,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,all,3000,6000,3880,0.6466666666666666,0.6375,0.6556666666666666,10000
rq1_model_battery_3lang_20260723,language,phi,microsoft/Phi-4-multimodal-instruct,cuda,all,3000,6000,3398,0.5663333333333334,0.557,0.5755,10000
rq1_model_battery_3lang_20260723,language,phi,microsoft/Phi-4-multimodal-instruct,java,all,3000,6000,3756,0.626,0.6171666666666666,0.6346666666666667,10000
rq1_model_battery_3lang_20260723,language,phi,microsoft/Phi-4-multimodal-instruct,python,all,3000,6000,3751,0.6251666666666666,0.6163333333333333,0.6341666666666667,10000
rq1_model_battery_3lang_20260723,language,qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,all,3000,6000,1922,0.32033333333333336,0.31149583333333336,0.3295,10000
rq1_model_battery_3lang_20260723,language,qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,all,3000,6000,1619,0.2698333333333333,0.26066666666666666,0.279,10000
rq1_model_battery_3lang_20260723,language,qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,all,3000,6000,1475,0.24583333333333332,0.23683333333333334,0.25466666666666665,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,cuda,easy,1000,2000,1014,0.507,0.4945,0.52,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,cuda,hard,1000,2000,1039,0.5195,0.5065,0.5325,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,cuda,medium,1000,2000,1032,0.516,0.503,0.529,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,java,easy,1000,2000,1112,0.556,0.5435,0.569,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,java,hard,1000,2000,1111,0.5555,0.5425,0.5685,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,java,medium,1000,2000,1100,0.55,0.5365,0.563,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,python,easy,1000,2000,1185,0.5925,0.5785,0.607,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,python,hard,1000,2000,1261,0.6305,0.615,0.6465,10000
rq1_model_battery_3lang_20260723,language_difficulty,gemma,google/gemma-3-12b-it,python,medium,1000,2000,1217,0.6085,0.594,0.623,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,cuda,easy,1000,2000,1513,0.7565,0.7405,0.772,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,cuda,hard,1000,2000,1589,0.7945,0.778,0.81,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,cuda,medium,1000,2000,1568,0.784,0.7685,0.7995,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,java,easy,1000,2000,1311,0.6555,0.6395,0.6715,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,java,hard,1000,2000,1308,0.654,0.6385,0.6695,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,java,medium,1000,2000,1325,0.6625,0.6469875,0.6785,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,python,easy,1000,2000,1538,0.769,0.7539875,0.7845124999999998,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,python,hard,1000,2000,1591,0.7955,0.7795,0.811,10000
rq1_model_battery_3lang_20260723,language_difficulty,internvl,OpenGVLab/InternVL3-8B,python,medium,1000,2000,1559,0.7795,0.7635,0.7955,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,easy,1000,2000,1285,0.6425,0.627,0.658,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,hard,1000,2000,1261,0.6305,0.613,0.648,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,medium,1000,2000,1246,0.623,0.6064875000000001,0.6395,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,easy,1000,2000,1090,0.545,0.529,0.561,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,hard,1000,2000,1107,0.5535,0.5375,0.569,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,medium,1000,2000,1109,0.5545,0.5385,0.571,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,easy,1000,2000,1331,0.6655,0.6495,0.682,10000
