model_key,model,concurrency_group,scope,scope_value,pairs,valid_pairs,valid_coverage,correct_valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,spearman_valid_only,spearman_coverage,ab_accuracy,ba_accuracy,debiased_accuracy,content_ties,mean_abs_content_margin,median_abs_content_margin,mean_abs_position_margin,first_position_choice_rate,recovery,aligned_descriptive
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,overall,all,9000,4880,0.5422222222222223,3473,0.7116803278688525,0.3858888888888889,0.4577777777777777,0.4584535518905046,0.5422222222222223,0.6231111111111111,0.6064444444444445,0.6415555555555555,238,0.7894930555555556,0.6875,0.6927013888888889,0.2786666666666667,0.25566666666666665,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,cuda,3000,1860,0.62,1394,0.7494623655913979,0.4646666666666667,0.38,0.5506584123957613,0.62,0.6653333333333333,0.644,0.6716666666666666,76,0.8182708333333333,0.6875,0.5592708333333334,0.3203333333333333,0.20699999999999996,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,java,3000,1575,0.525,982,0.6234920634920635,0.3273333333333333,0.475,0.2738210284803,0.525,0.5726666666666667,0.557,0.5853333333333334,85,0.733875,0.625,0.6845416666666667,0.2698333333333333,0.25800000000000006,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,python,3000,1445,0.4816666666666667,1097,0.7591695501730104,0.3656666666666666,0.5183333333333333,0.5310662886182494,0.4816666666666667,0.6313333333333333,0.6183333333333333,0.6676666666666666,77,0.8163333333333334,0.6875,0.8342916666666667,0.2458333333333333,0.30200000000000005,True
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,overall,all,9000,4506,0.5006666666666667,2226,0.4940079893475366,0.2473333333333333,0.4993333333333333,-0.0158857879703691,0.5006666666666667,0.5081111111111111,0.4858888888888888,0.51,227,0.8623819444444445,0.6875,0.7363819444444445,0.739,0.2626666666666667,False
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,cuda,3000,1290,0.43,703,0.5449612403100775,0.2343333333333333,0.5700000000000001,0.0951506722400587,0.43,0.5366666666666666,0.502,0.5576666666666666,80,0.7718541666666666,0.5625,0.7446875,0.7783333333333333,0.32333333333333336,True
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,java,3000,1922,0.6406666666666667,901,0.4687825182101977,0.3003333333333333,0.3593333333333333,-0.0611247825885685,0.6406666666666667,0.489,0.471,0.4626666666666666,72,0.9511041666666666,0.8125,0.6058125,0.6573333333333333,0.16233333333333333,False
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,python,3000,1294,0.4313333333333333,622,0.4806800618238022,0.2073333333333333,0.5686666666666667,-0.04781500077393,0.4313333333333333,0.4986666666666666,0.4846666666666667,0.5096666666666667,75,0.8641875,0.6875,0.8586458333333333,0.7813333333333333,0.30233333333333345,False
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,overall,all,9000,7039,0.7821111111111111,4532,0.6438414547520954,0.5035555555555555,0.2178888888888889,0.3281932510646155,0.7821111111111111,0.6052222222222222,0.6197777777777778,0.6201111111111111,51,5.630319444444445,6.125,1.8707222222222224,0.5595,0.11655555555555552,True
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,cuda,3000,2467,0.8223333333333334,1610,0.652614511552493,0.5366666666666666,0.1776666666666666,0.3601568945763549,0.8223333333333334,0.6303333333333333,0.6206666666666667,0.6293333333333333,9,5.710041666666666,6.125,1.6145833333333333,0.5141666666666667,0.09266666666666667,True
