experiment,model,language,condition,n,ties,tie_rate,boundaries,boundary_rate
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,37,0.037,62,0.062
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,29,0.029,78,0.078
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,35,0.035,52,0.052
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,39,0.039,80,0.08
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,27,0.027,56,0.056
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,36,0.036,97,0.097
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,32,0.032,52,0.052
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,32,0.032,81,0.081
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,30,0.03,57,0.057
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,35,0.035,73,0.073
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,35,0.035,52,0.052
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,25,0.025,72,0.072
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1000,39,0.039,98,0.098
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1000,25,0.025,94,0.094
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,1000,32,0.032,65,0.065
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,1000,19,0.019,85,0.085
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,1000,31,0.031,80,0.08
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,1000,29,0.029,94,0.094
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,1000,32,0.032,89,0.089
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,1000,22,0.022,92,0.092
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,1000,28,0.028,83,0.083
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,1000,23,0.023,83,0.083
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1000,30,0.03,66,0.066
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1000,20,0.02,85,0.085
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1000,20,0.02,62,0.062
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1000,41,0.041,87,0.087
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1000,22,0.022,73,0.073
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1000,29,0.029,85,0.085
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1000,21,0.021,72,0.072
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1000,27,0.027,88,0.088
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1000,20,0.02,66,0.066
