run_id,model,language,n_pairs,n_calls,call_verdict_agreement,pair_state_agreement,pair_state_disagreement,both_valid_n,decision_agreement_both_valid,changed_pair_original_abs_content_margin_median,logit_pair_bit_exact_rate,logit_max_absolute_difference,original_valid_accuracy,repeat_valid_accuracy,original_effective_accuracy,repeat_effective_accuracy,original_swap_error,repeat_swap_error,reproducibility_threshold_pass
E4C_battery_repeat,Qwen/Qwen2.5-VL-7B-Instruct,cuda,3000,6000,1.0,1.0,0.0,1860,1.0,,1.0,0.0,0.7494623655913979,0.7494623655913979,0.4646666666666667,0.4646666666666667,0.38,0.38,True
E4C_battery_repeat,Qwen/Qwen2.5-VL-7B-Instruct,java,3000,6000,1.0,1.0,0.0,1575,1.0,,1.0,0.0,0.6234920634920635,0.6234920634920635,0.3273333333333333,0.3273333333333333,0.475,0.475,True
E4C_battery_repeat,Qwen/Qwen2.5-VL-7B-Instruct,python,3000,6000,1.0,1.0,0.0,1445,1.0,,1.0,0.0,0.7591695501730104,0.7591695501730104,0.36566666666666664,0.36566666666666664,0.5183333333333333,0.5183333333333333,True
E4C_battery_repeat,OpenGVLab/InternVL3-8B,cuda,3000,6000,1.0,1.0,0.0,1290,1.0,,1.0,0.0,0.5449612403100775,0.5449612403100775,0.23433333333333334,0.23433333333333334,0.5700000000000001,0.5700000000000001,True
E4C_battery_repeat,OpenGVLab/InternVL3-8B,java,3000,6000,1.0,1.0,0.0,1922,1.0,,1.0,0.0,0.46878251821019773,0.46878251821019773,0.30033333333333334,0.30033333333333334,0.3593333333333333,0.3593333333333333,True
E4C_battery_repeat,OpenGVLab/InternVL3-8B,python,3000,6000,1.0,1.0,0.0,1294,1.0,,1.0,0.0,0.4806800618238022,0.4806800618238022,0.20733333333333334,0.20733333333333334,0.5686666666666667,0.5686666666666667,True
E4C_battery_repeat,google/gemma-3-12b-it,cuda,3000,6000,1.0,1.0,0.0,2467,1.0,,1.0,0.0,0.652614511552493,0.652614511552493,0.5366666666666666,0.5366666666666666,0.17766666666666664,0.17766666666666664,True
E4C_battery_repeat,google/gemma-3-12b-it,java,3000,6000,1.0,1.0,0.0,2437,1.0,,1.0,0.0,0.6253590480098482,0.6253590480098482,0.508,0.508,0.18766666666666665,0.18766666666666665,True
E4C_battery_repeat,google/gemma-3-12b-it,python,3000,6000,1.0,1.0,0.0,2135,1.0,,1.0,0.0,0.6548009367681499,0.6548009367681499,0.466,0.466,0.28833333333333333,0.28833333333333333,True
E4C_battery_repeat,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,3000,6000,1.0,1.0,0.0,1914,1.0,,1.0,0.0,0.58098223615465,0.58098223615465,0.37066666666666664,0.37066666666666664,0.362,0.362,True
E4C_battery_repeat,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,3000,6000,1.0,1.0,0.0,2164,1.0,,1.0,0.0,0.5397412199630314,0.5397412199630314,0.3893333333333333,0.3893333333333333,0.2786666666666666,0.2786666666666666,True
E4C_battery_repeat,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,3000,6000,1.0,1.0,0.0,1926,1.0,,1.0,0.0,0.5332294911734164,0.5332294911734164,0.3423333333333333,0.3423333333333333,0.358,0.358,True
E4C_battery_repeat,microsoft/Phi-4-multimodal-instruct,cuda,3000,6000,1.0,1.0,0.0,2130,1.0,,1.0,0.0,0.45117370892018777,0.45117370892018777,0.32033333333333336,0.32033333333333336,0.29000000000000004,0.29000000000000004,True
E4C_battery_repeat,microsoft/Phi-4-multimodal-instruct,java,3000,6000,1.0,1.0,0.0,2088,1.0,,1.0,0.0,0.44875478927203066,0.44875478927203066,0.31233333333333335,0.31233333333333335,0.30400000000000005,0.30400000000000005,True
E4C_battery_repeat,microsoft/Phi-4-multimodal-instruct,python,3000,6000,1.0,1.0,0.0,2047,1.0,,1.0,0.0,0.44601856375183196,0.44601856375183196,0.30433333333333334,0.30433333333333334,0.31766666666666665,0.31766666666666665,True
