run_id,model_generation,condition,reasoning_effort,max_output_tokens,n,valid_n,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,rho_valid_only,protocol_note
openai_vlm_pilot_20260707,gpt-5.4-mini,image_only,API default/not explicitly set,24,300,229,0.6375545851528385,0.4866666666666667,0.2366666666666667,0.0,0.340929189455829,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260707,gpt-5.4-mini,text_plus_image,API default/not explicitly set,24,300,166,0.6746987951807228,0.3733333333333333,0.4466666666666666,0.0,0.29692846488063906,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260707,gpt-5.4-mini,combined_labeled_image_only,API default/not explicitly set,24,300,225,0.6311111111111111,0.4733333333333333,0.25,0.0,0.28137538331555173,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260707,gpt-5.4-mini,combined_labeled_text_plus_image,API default/not explicitly set,24,300,147,0.6258503401360545,0.3066666666666666,0.51,0.0,0.2191312334763308,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708,gpt-5.4,image_only,API default/not explicitly set,24,300,249,0.606425702811245,0.5033333333333333,0.17,0.0,0.282509390788958,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708,gpt-5.4,text_plus_image,API default/not explicitly set,24,300,220,0.6727272727272727,0.4933333333333333,0.2666666666666667,0.0,0.38758073765254514,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708,gpt-5.4,combined_labeled_image_only,API default/not explicitly set,24,300,259,0.6138996138996139,0.53,0.1366666666666667,0.0,0.264607655574336,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708,gpt-5.4,combined_labeled_text_plus_image,API default/not explicitly set,24,300,234,0.6623931623931624,0.5166666666666667,0.2199999999999999,0.0,0.3630300931133753,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708_gpt55_fixed,gpt-5.5,image_only,API default/not explicitly set,24,300,244,0.6844262295081968,0.5566666666666666,0.1866666666666666,0.0483333333333333,0.4202251589797228,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708_gpt55_fixed,gpt-5.5,text_plus_image,API default/not explicitly set,24,300,224,0.6696428571428571,0.5,0.2533333333333333,0.0366666666666666,0.3664330988843134,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708_gpt55_fixed,gpt-5.5,combined_labeled_image_only,API default/not explicitly set,24,300,231,0.670995670995671,0.5166666666666667,0.2299999999999999,0.0883333333333333,0.36759033035079786,300-pair Java pilot; no rendering-grid treatment
openai_vlm_pilot_20260708_gpt55_fixed,gpt-5.5,combined_labeled_text_plus_image,API default/not explicitly set,24,300,238,0.6470588235294118,0.5133333333333333,0.2066666666666666,0.03,0.30800776813058145,300-pair Java pilot; no rendering-grid treatment
gpt54_reasoning_4096_full300,gpt-5.4-2026-03-05,image_only,low,4096,300,256,0.609375,0.52,0.1466666666666666,0.0,0.2967476647683281,300-pair Java reasoning-budget pilot; no rendering-grid treatment
gpt54_reasoning_4096_full300,gpt-5.4-2026-03-05,text_plus_image,low,4096,300,219,0.6621004566210046,0.4833333333333333,0.27,0.0,0.3416462524292737,300-pair Java reasoning-budget pilot; no rendering-grid treatment
gpt54_reasoning_4096_full300,gpt-5.4-2026-03-05,image_only,high,4096,300,266,0.6353383458646616,0.5633333333333334,0.1133333333333333,0.0,0.3285713682726102,300-pair Java reasoning-budget pilot; no rendering-grid treatment
gpt54_reasoning_4096_full300,gpt-5.4-2026-03-05,text_plus_image,high,4096,300,213,0.6948356807511737,0.4933333333333333,0.29,0.0,0.4100511437758309,300-pair Java reasoning-budget pilot; no rendering-grid treatment
qwen32b_parse_fixed,Qwen2.5-VL-32B,text_plus_image,not applicable,1,300,190,0.5842105263157895,0.37,0.3666666666666666,0.0,,300-pair Java protocol check; forced single-character output; no rendering grid
