model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c,baseline_valid_rate,baseline_valid_accuracy,baseline_effective_accuracy,baseline_swap_error,experiment,effective_delta,coverage_component,valid_accuracy_component,decomposition_residual,swap_error_delta,dominant_component
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,256,125,0.256,0.48828125,0.125,0.744,0.0,0.1059262306352047,0.1469438382289616,0.4276765099686914,0.5492324866662899,0.0137019075444345,0.8272983034415545,0.549,0.037,1.125,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,-0.038000000000000006,-0.026633986928104567,-0.011366013071895423,-1.5612511283791264e-17,0.050000000000000044,valid_coverage/consistency
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,311,166,0.311,0.5337620578778135,0.166,0.6890000000000001,0.0,0.1442254718306115,0.1903308028377393,0.4782450021915833,0.5884552350600797,0.0984737742576019,0.082948710071895,0.553,0.029,0.875,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,0.0030000000000000027,0.00266339869281046,0.00033660130718954275,-1.0842021724855044e-19,-0.004999999999999893,valid_coverage/consistency
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,308,156,0.308,0.5064935064935064,0.156,0.692,0.0,0.1348313153894565,0.1798014944486054,0.4509234812423806,0.5619035495672076,0.0412775597301806,0.4704294998668702,0.544,0.035,1.0625,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,-0.007000000000000006,0.001065359477124184,-0.008065359477124197,6.938893903907228e-18,-0.0020000000000000018,valid-only_accuracy
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,322,187,0.322,0.5807453416149069,0.187,0.6779999999999999,0.0,0.1640478150490631,0.2123477357628944,0.5262081546764248,0.6333786584571823,0.1585838879122664,0.0043350482672626,0.561,0.039,0.875,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,0.023999999999999994,0.008522875816993472,0.015477124183006551,-2.949029909160572e-17,-0.016000000000000014,valid-only_accuracy
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,290,150,0.29,0.5172413793103449,0.15,0.71,0.0,0.1292100725130883,0.1734686584268003,0.4598804060672749,0.5741515513023014,0.0824835636158694,0.1612241677099526,0.557,0.027,1.0,0.5,0.306,0.5326797385620915,0.163,0.694,grid,-0.013000000000000012,-0.008522875816993472,-0.004477124183006524,-1.5612511283791264e-17,0.016000000000000014,valid_coverage/consistency
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,325,180,0.325,0.5538461538461539,0.18,0.675,0.0,0.1574268925287432,0.205022232902012,0.4994865621656173,0.6069477059632208,0.1373817031226461,0.0131786070555447,0.546,0.036,0.8125,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,0.016999999999999987,0.010120915032679747,0.006879084967320273,-3.2959746043559335e-17,-0.018999999999999906,valid_coverage/consistency
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,298,148,0.298,0.4966442953020134,0.148,0.702,0.0,0.1273389886764658,0.171355049297365,0.4402818220291707,0.5530921829606869,0.026996636701466,0.6425329784384021,0.549,0.032,1.0,0.5,0.306,0.5326797385620915,0.163,0.694,grid,-0.015000000000000013,-0.004261437908496736,-0.010738562091503265,-1.214306433183765e-17,0.008000000000000007,valid-only_accuracy
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,346,206,0.346,0.5953757225433526,0.206,0.654,0.0,0.1820813911328909,0.2321687428566154,0.5428857137536908,0.6457711716322899,0.2110942900760261,7.588051587801844e-05,0.549,0.032,0.8125,0.5,0.306,0.5326797385620915,0.163,0.694,grid,0.04299999999999998,0.02130718954248365,0.021692810457516334,0.0,-0.039999999999999925,valid-only_accuracy
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,305,154,0.305,0.5049180327868853,0.154,0.6950000000000001,0.0,0.1329562571745009,0.1776918596975032,0.4490959898125248,0.560617731950918,0.0312662990450171,0.5864873485728239,0.563,0.03,1.125,0.59375,0.306,0.5326797385620915,0.163,0.694,grid,-0.009000000000000008,-0.000532679738562092,-0.00846732026143789,-2.6020852139652106e-17,0.001000000000000112,valid-only_accuracy
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,297,148,0.297,0.4983164983164983,0.148,0.7030000000000001,0.0,0.1273389886764658,0.171355049297365,0.4418382065337362,0.5548377835245488,0.0225419666859088,0.6988360225148055,0.545,0.035,1.0625,0.5625,0.306,0.5326797385620915,0.163,0.694,grid,-0.015000000000000013,-0.004794117647058828,-0.010205882352941172,-1.3877787807814457e-17,0.009000000000000119,valid-only_accuracy
