review_id,base_id,rq0_id,language,score_stratum,gold_coherent,trash_incoherent,clean_legible,ugly_degraded_no_corruption,same_tokens_clean_ugly,approve,review_notes
gc1_000,rq3g_cuda_002,dorn_cuda_078,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_001,rq3g_cuda_005,dorn_cuda_025,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_002,rq3g_cuda_009,dorn_cuda_047,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_003,rq3g_cuda_012,dorn_cuda_115,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_004,rq3g_cuda_023,dorn_cuda_067,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_005,rq3g_cuda_026,dorn_cuda_032,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_006,rq3g_cuda_031,dorn_cuda_001,cuda,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_007,rq3g_cuda_036,dorn_cuda_066,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_008,rq3g_cuda_045,dorn_cuda_087,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_009,rq3g_cuda_053,dorn_cuda_104,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_010,rq3g_cuda_055,dorn_cuda_048,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_011,rq3g_cuda_057,dorn_cuda_117,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_012,rq3g_cuda_061,dorn_cuda_080,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_013,rq3g_cuda_066,dorn_cuda_018,cuda,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_014,rq3g_cuda_077,dorn_cuda_027,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_015,rq3g_cuda_079,dorn_cuda_074,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_016,rq3g_cuda_083,dorn_cuda_060,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_017,rq3g_cuda_091,dorn_cuda_062,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_018,rq3g_cuda_097,dorn_cuda_065,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_019,rq3g_cuda_099,dorn_cuda_107,cuda,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_020,rq3g_java_011,rq0_0286,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_021,rq3g_java_013,rq0_0064,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_022,rq3g_java_016,rq0_0084,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_023,rq3g_java_022,rq0_0247,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_024,rq3g_java_029,rq0_0254,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_025,rq3g_java_030,rq0_0260,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_026,rq3g_java_032,rq0_0302,java,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_027,rq3g_java_035,rq0_0181,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_028,rq3g_java_039,rq0_0284,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_029,rq3g_java_045,rq0_0169,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_030,rq3g_java_061,rq0_0062,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_031,rq3g_java_063,rq0_0052,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_032,rq3g_java_065,rq0_0083,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_033,rq3g_java_066,rq0_0193,java,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_034,rq3g_java_068,rq0_0205,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_035,rq3g_java_072,rq0_0140,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_036,rq3g_java_075,rq0_0015,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_037,rq3g_java_083,rq0_0058,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_038,rq3g_java_090,rq0_0115,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_039,rq3g_java_095,rq0_0004,java,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_040,rq3g_python_008,dorn_python_111,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_041,rq3g_python_012,dorn_python_099,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_042,rq3g_python_015,dorn_python_036,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_043,rq3g_python_019,dorn_python_095,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_044,rq3g_python_028,dorn_python_056,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_045,rq3g_python_030,dorn_python_004,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_046,rq3g_python_032,dorn_python_014,python,low,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_047,rq3g_python_040,dorn_python_105,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_048,rq3g_python_044,dorn_python_062,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_049,rq3g_python_046,dorn_python_001,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_050,rq3g_python_048,dorn_python_091,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_051,rq3g_python_052,dorn_python_040,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_052,rq3g_python_057,dorn_python_084,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_053,rq3g_python_062,dorn_python_009,python,mid,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_054,rq3g_python_070,dorn_python_113,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_055,rq3g_python_079,dorn_python_047,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_056,rq3g_python_081,dorn_python_101,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_057,rq3g_python_082,dorn_python_005,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_058,rq3g_python_084,dorn_python_012,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
gc1_059,rq3g_python_092,dorn_python_063,python,high,yes,yes,yes,yes,yes,yes,Author inspected GC1 sample and explicitly approved execution in chat on 2026-07-21.
