family,model,case,difficulty,pairs,swap_errors,strict_swap_error,wilson_ci_low,wilson_ci_high,score_gap_min,score_gap_max,score_gap_mean
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_image_only,hard,1000,590,0.59,0.5592284411186709,0.6200827423539291,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_image_only,medium,1000,617,0.617,0.5864772698839885,0.6466272686303917,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_image_only,easy,1000,595,0.595,0.5642673076613368,0.6250056082264076,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,hard,1000,374,0.374,0.34454609812769077,0.40441824501066914,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,medium,1000,367,0.367,0.33768854423226846,0.3973293735248892,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,easy,1000,377,0.377,0.347487093401629,0.4074542891858176,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,OpenGVLab/InternVL3-8B,image_only,hard,1000,523,0.523,0.4920142012545935,0.553809767855071,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,OpenGVLab/InternVL3-8B,image_only,medium,1000,576,0.576,0.545136779327173,0.6062815533830225,0.5003932256927864,0.999276608089393,0.7364825288255585
primary_clean_full3000,OpenGVLab/InternVL3-8B,image_only,easy,1000,545,0.545,0.5140224377348876,0.5756331540014126,1.0000637818086873,4.279799206357435,1.8484327165172358
primary_clean_full3000,OpenGVLab/InternVL3-8B,text_plus_image,hard,1000,290,0.29,0.2627220349939292,0.31888520357000394,0.2002153589593755,0.4997328422963538,0.3543098355732557
primary_clean_full3000,OpenGVLab/InternVL3-8B,text_plus_image,medium,1000,294,0.294,0.2665940090203127,0.3229826154757359,0.5003932256927864,0.999276608089393,0.7364825288255585
