gap_decile,unique_pairs,pair_run_rows,score_gap_min,score_gap_max,score_gap_mean,strict_swap_error
1,300,2400,0.2002153589593755,0.3054873181900992,0.25082405974780464,0.3875
2,300,2400,0.3055062702868154,0.3757027256787961,0.3445427049999876,0.44958333333333333
3,301,2408,0.3757110018022349,0.4740567401300088,0.4236562794596197,0.39659468438538203
4,299,2392,0.4740567401300089,0.574789662821187,0.5209836359388261,0.4414715719063545
5,307,2456,0.5769051976455373,0.7260281681351001,0.6642517052999367,0.4254885993485342
6,293,2344,0.7260281681351002,0.9014977372777404,0.811415495270517,0.38523890784982934
7,300,2400,0.902346379371566,1.0929641508552992,0.9768800189550878,0.41458333333333336
8,300,2400,1.0935273331312556,1.5351726148441365,1.3138253260299413,0.39416666666666667
9,300,2400,1.5357103611880696,2.136082291325548,1.8239368743924063,0.40958333333333335
10,300,2400,2.137527630479323,4.279799206357435,2.6708590825802836,0.36541666666666667
