condition_id,axis,value,full_grid,reduced_grid,retrieval
monokai_dark__fs20__wrap80__lnon,baseline,baseline,True,True,True
monokai_dark__fs20__wrap60__lnon,wrap,60,True,True,True
monokai_dark__fs24__wrap80__lnon,font,24,True,True,True
monokai_dark__fs24__wrap60__lnon,font_wrap,24_60,True,False,False
mono_light__fs20__wrap80__lnon,theme,mono_light,True,True,True
mono_light__fs20__wrap60__lnon,theme_wrap,mono_light_60,True,False,False
mono_light__fs24__wrap80__lnon,theme_font,mono_light_24,True,False,False
mono_light__fs24__wrap60__lnon,theme_font_wrap,mono_light_24_60,True,False,False
friendly_light__fs20__wrap80__lnon,theme,friendly_light,True,False,False
friendly_light__fs20__wrap60__lnon,theme_wrap,friendly_light_60,True,False,False
friendly_light__fs24__wrap80__lnon,theme_font,friendly_light_24,True,False,False
friendly_light__fs24__wrap60__lnon,theme_font_wrap,friendly_light_24_60,True,False,False
baseline,perturbation,baseline,True,False,False
no_indent,perturbation,no_indent,True,True,True
no_blank_lines,perturbation,no_blank_lines,True,True,True
gaussian_sigma_1,perturbation,gaussian_sigma_1,True,False,False
gaussian_sigma_2,perturbation,gaussian_sigma_2,True,False,False
gaussian_sigma_4,perturbation,gaussian_sigma_4,True,True,True
