language,model,condition,metric,value,ci_low,ci_high
java,gpt-5.4-mini,combined_labeled_image_only,E,47.333333333333336,33.84123521250183,60.71428571428571
java,gpt-5.4-mini,combined_labeled_image_only,S,25.0,16.07749447902028,34.7660495923913
java,gpt-5.4-mini,combined_labeled_image_only,valid,63.11111111111111,47.337278106508876,77.51008819968871
java,gpt-5.4-mini,combined_labeled_text_plus_image,E,30.666666666666664,18.394460028050492,45.01374789417175
java,gpt-5.4-mini,combined_labeled_text_plus_image,S,51.0,38.29106796670088,63.204817759363976
java,gpt-5.4-mini,combined_labeled_text_plus_image,valid,62.585034013605444,41.538135593220346,81.36661186213615
java,gpt-5.4-mini,image_only,E,48.66666666666667,36.10031548747049,61.983591899859846
java,gpt-5.4-mini,image_only,S,23.666666666666668,15.204308238951809,33.56662290777814
java,gpt-5.4-mini,image_only,valid,63.75545851528385,50.18104916231805,76.42962184873947
java,gpt-5.4-mini,text_plus_image,E,37.333333333333336,23.61301663522552,52.63192703982177
java,gpt-5.4-mini,text_plus_image,S,44.666666666666664,33.038215206356796,56.52230821761892
java,gpt-5.4-mini,text_plus_image,valid,67.46987951807229,48.672418879056046,83.43578596676552
java,gpt-5.4,combined_labeled_image_only,E,53.0,39.6292270531401,65.9090909090909
java,gpt-5.4,combined_labeled_image_only,S,13.666666666666671,7.048172621961168,21.904761904761905
java,gpt-5.4,combined_labeled_image_only,valid,61.38996138996139,47.39514802631579,74.19391329732885
java,gpt-5.4,combined_labeled_text_plus_image,E,51.66666666666667,38.82352941176471,65.33864541832669
java,gpt-5.4,combined_labeled_text_plus_image,S,21.999999999999996,12.670907750997054,32.97890809692671
java,gpt-5.4,combined_labeled_text_plus_image,valid,66.23931623931624,52.81373121260762,79.58141895501655
java,gpt-5.4,image_only,E,50.33333333333333,36.86384924174844,63.40237616293688
java,gpt-5.4,image_only,S,17.000000000000004,8.802746478873239,27.439139006051715
java,gpt-5.4,image_only,valid,60.6425702811245,45.992994604448754,74.74414929641054
java,gpt-5.4,text_plus_image,E,49.333333333333336,36.22824102251978,62.89803666749009
java,gpt-5.4,text_plus_image,S,26.66666666666667,17.6678445229682,36.36363636363637
java,gpt-5.4,text_plus_image,valid,67.27272727272727,52.0,81.36661186213615
java,gpt-5.5,combined_labeled_image_only,E,51.66666666666667,39.05301869445296,64.54328693151933
java,gpt-5.5,combined_labeled_image_only,S,23.0,14.102564102564102,32.64622343782874
java,gpt-5.5,combined_labeled_image_only,valid,67.09956709956711,53.333333333333336,79.59183673469387
java,gpt-5.5,combined_labeled_text_plus_image,E,51.33333333333333,38.55789930883408,64.2106143284633
java,gpt-5.5,combined_labeled_text_plus_image,S,20.666666666666668,11.39240506329114,31.335221821391567
java,gpt-5.5,combined_labeled_text_plus_image,valid,64.70588235294117,51.25579309977449,77.2457791997233
java,gpt-5.5,image_only,E,55.666666666666664,43.11582125603865,68.14859669357939
java,gpt-5.5,image_only,S,18.666666666666664,10.312263257575758,28.01601191735994
java,gpt-5.5,image_only,valid,68.44262295081968,54.78858784893267,80.9278350515464
java,gpt-5.5,text_plus_image,E,50.0,37.911866359447004,62.617578339747105
java,gpt-5.5,text_plus_image,S,25.33333333333333,16.4084520123839,35.5348520075114
java,gpt-5.5,text_plus_image,valid,66.96428571428571,53.67156807722529,79.51817508943624
java,gpt-5.4-high-budget,image_only,E,56.333333333333336,43.54838709677419,69.14293585202675
java,gpt-5.4-high-budget,image_only,S,11.333333333333329,5.440206614213523,18.617112986060157
java,gpt-5.4-high-budget,image_only,valid,63.53383458646616,49.0633444744702,77.70575797949371
java,gpt-5.4-high-budget,text_plus_image,E,49.333333333333336,36.948847152236986,62.5807548825982
java,gpt-5.4-high-budget,text_plus_image,S,29.000000000000004,19.599556135770236,39.11706213139487
java,gpt-5.4-high-budget,text_plus_image,valid,69.48356807511738,55.72897232587064,82.20338983050848
java,gpt-5.4-low-budget,image_only,E,52.0,38.513458847196716,65.57387346568909
java,gpt-5.4-low-budget,image_only,S,14.66666666666666,7.526797451714026,23.595803653920658
java,gpt-5.4-low-budget,image_only,valid,60.9375,46.295913682277316,74.7130586331383
java,gpt-5.4-low-budget,text_plus_image,E,48.333333333333336,36.144390646698945,61.23606393171327
java,gpt-5.4-low-budget,text_plus_image,S,27.0,17.391304347826086,36.93181818181818
java,gpt-5.4-low-budget,text_plus_image,valid,66.21004566210046,51.93370165745856,79.79344315620715
