pair_id,snippet_x_id,snippet_y_id,difficulty,human_preference
full_rq0_seed42__rq0_0072__rq0_0291,rq0_0072,rq0_0291,easy,rq0_0072
full_rq0_seed42__rq0_0086__rq0_0255,rq0_0086,rq0_0255,hard,rq0_0255
full_rq0_seed42__rq0_0060__rq0_0168,rq0_0060,rq0_0168,medium,rq0_0168
full_rq0_seed42__rq0_0217__rq0_0286,rq0_0217,rq0_0286,medium,rq0_0286
full_rq0_seed42__rq0_0027__rq0_0032,rq0_0027,rq0_0032,medium,rq0_0032
full_rq0_seed42__rq0_0013__rq0_0052,rq0_0013,rq0_0052,easy,rq0_0052
full_rq0_seed42__rq0_0179__rq0_0263,rq0_0179,rq0_0263,hard,rq0_0179
full_rq0_seed42__rq0_0007__rq0_0127,rq0_0007,rq0_0127,hard,rq0_0007
full_rq0_seed42__rq0_0005__rq0_0022,rq0_0005,rq0_0022,easy,rq0_0022
full_rq0_seed42__rq0_0080__rq0_0156,rq0_0080,rq0_0156,medium,rq0_0080
full_rq0_seed42__rq0_0089__rq0_0232,rq0_0089,rq0_0232,medium,rq0_0232
full_rq0_seed42__rq0_0021__rq0_0264,rq0_0021,rq0_0264,medium,rq0_0021
full_rq0_seed42__rq0_0145__rq0_0240,rq0_0145,rq0_0240,easy,rq0_0240
full_rq0_seed42__rq0_0154__rq0_0297,rq0_0154,rq0_0297,hard,rq0_0154
full_rq0_seed42__rq0_0227__rq0_0262,rq0_0227,rq0_0262,easy,rq0_0227
full_rq0_seed42__rq0_0080__rq0_0091,rq0_0080,rq0_0091,easy,rq0_0080
full_rq0_seed42__rq0_0017__rq0_0169,rq0_0017,rq0_0169,hard,rq0_0017
full_rq0_seed42__rq0_0019__rq0_0123,rq0_0019,rq0_0123,medium,rq0_0019
full_rq0_seed42__rq0_0140__rq0_0276,rq0_0140,rq0_0276,easy,rq0_0140
full_rq0_seed42__rq0_0191__rq0_0285,rq0_0191,rq0_0285,medium,rq0_0191
full_rq0_seed42__rq0_0033__rq0_0272,rq0_0033,rq0_0272,easy,rq0_0272
full_rq0_seed42__rq0_0025__rq0_0159,rq0_0025,rq0_0159,hard,rq0_0025
full_rq0_seed42__rq0_0072__rq0_0140,rq0_0072,rq0_0140,hard,rq0_0072
full_rq0_seed42__rq0_0156__rq0_0229,rq0_0156,rq0_0229,hard,rq0_0156
full_rq0_seed42__rq0_0150__rq0_0202,rq0_0150,rq0_0202,easy,rq0_0150
full_rq0_seed42__rq0_0189__rq0_0306,rq0_0189,rq0_0306,hard,rq0_0306
full_rq0_seed42__rq0_0050__rq0_0243,rq0_0050,rq0_0243,easy,rq0_0243
full_rq0_seed42__rq0_0064__rq0_0280,rq0_0064,rq0_0280,easy,rq0_0280
full_rq0_seed42__rq0_0155__rq0_0205,rq0_0155,rq0_0205,hard,rq0_0155
full_rq0_seed42__rq0_0091__rq0_0204,rq0_0091,rq0_0204,easy,rq0_0204
full_rq0_seed42__rq0_0001__rq0_0266,rq0_0001,rq0_0266,medium,rq0_0266
full_rq0_seed42__rq0_0023__rq0_0260,rq0_0023,rq0_0260,easy,rq0_0260
full_rq0_seed42__rq0_0127__rq0_0275,rq0_0127,rq0_0275,easy,rq0_0275
full_rq0_seed42__rq0_0147__rq0_0286,rq0_0147,rq0_0286,easy,rq0_0147
full_rq0_seed42__rq0_0016__rq0_0029,rq0_0016,rq0_0029,easy,rq0_0029
full_rq0_seed42__rq0_0026__rq0_0109,rq0_0026,rq0_0109,medium,rq0_0109
full_rq0_seed42__rq0_0094__rq0_0111,rq0_0094,rq0_0111,easy,rq0_0094
full_rq0_seed42__rq0_0197__rq0_0199,rq0_0197,rq0_0199,hard,rq0_0199
full_rq0_seed42__rq0_0089__rq0_0263,rq0_0089,rq0_0263,medium,rq0_0263
full_rq0_seed42__rq0_0126__rq0_0282,rq0_0126,rq0_0282,medium,rq0_0282
