pair_id,language,difficulty,snippet_x_id,snippet_y_id,human_preference,abs_z_diff,image_x_path,image_y_path
full_rq0_seed42__rq0_0072__rq0_0291,java,easy,rq0_0072,rq0_0291,rq0_0072,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0072.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0291.png
full_rq0_seed42__rq0_0086__rq0_0255,java,hard,rq0_0086,rq0_0255,rq0_0255,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0086.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0255.png
full_rq0_seed42__rq0_0060__rq0_0168,java,medium,rq0_0060,rq0_0168,rq0_0168,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0060.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0168.png
full_rq0_seed42__rq0_0217__rq0_0286,java,medium,rq0_0217,rq0_0286,rq0_0286,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0217.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0286.png
full_rq0_seed42__rq0_0027__rq0_0032,java,medium,rq0_0027,rq0_0032,rq0_0032,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0027.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0032.png
full_rq0_seed42__rq0_0013__rq0_0052,java,easy,rq0_0013,rq0_0052,rq0_0052,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0013.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0052.png
full_rq0_seed42__rq0_0179__rq0_0263,java,hard,rq0_0179,rq0_0263,rq0_0179,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0179.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0263.png
full_rq0_seed42__rq0_0007__rq0_0127,java,hard,rq0_0007,rq0_0127,rq0_0007,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0007.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0127.png
full_rq0_seed42__rq0_0005__rq0_0022,java,easy,rq0_0005,rq0_0022,rq0_0022,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0005.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0022.png
full_rq0_seed42__rq0_0080__rq0_0156,java,medium,rq0_0080,rq0_0156,rq0_0080,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0080.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0156.png
full_rq0_seed42__rq0_0089__rq0_0232,java,medium,rq0_0089,rq0_0232,rq0_0232,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0089.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0232.png
full_rq0_seed42__rq0_0021__rq0_0264,java,medium,rq0_0021,rq0_0264,rq0_0021,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0021.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0264.png
full_rq0_seed42__rq0_0145__rq0_0240,java,easy,rq0_0145,rq0_0240,rq0_0240,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0145.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0240.png
full_rq0_seed42__rq0_0154__rq0_0297,java,hard,rq0_0154,rq0_0297,rq0_0154,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0154.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0297.png
full_rq0_seed42__rq0_0227__rq0_0262,java,easy,rq0_0227,rq0_0262,rq0_0227,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0227.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0262.png
full_rq0_seed42__rq0_0080__rq0_0091,java,easy,rq0_0080,rq0_0091,rq0_0080,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0080.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0091.png
full_rq0_seed42__rq0_0017__rq0_0169,java,hard,rq0_0017,rq0_0169,rq0_0017,,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0017.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0169.png
