model,input_setting,max_new_tokens,pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,mean_generated_tokens,max_generated_tokens,limit_reached_rate,eos_observed_rate,token_count_method
OpenGVLab/InternVL3-8B,combined_labeled_image_only,24,300,0.5967741935483871,0.24666666666666667,0.5866666666666667,0.0,,,,,not_recorded_for_24_token_baseline
OpenGVLab/InternVL3-8B,combined_labeled_image_only,64,300,0.5967741935483871,0.24666666666666667,0.5866666666666667,0.0,6.0,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,combined_labeled_image_only,256,300,0.5967741935483871,0.24666666666666667,0.5866666666666667,0.0,6.0,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,24,300,0.5686274509803921,0.38666666666666666,0.32,0.0033333333333333335,,,,,not_recorded_for_24_token_baseline
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,64,300,0.5686274509803921,0.38666666666666666,0.32,0.0033333333333333335,5.998333333333333,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,256,300,0.5686274509803921,0.38666666666666666,0.32,0.0033333333333333335,5.998333333333333,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,image_only,24,300,0.5185185185185185,0.23333333333333334,0.55,0.0,,,,,not_recorded_for_24_token_baseline
OpenGVLab/InternVL3-8B,image_only,64,300,0.5185185185185185,0.23333333333333334,0.55,0.0,6.0,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,image_only,256,300,0.5185185185185185,0.23333333333333334,0.55,0.0,6.0,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,text_plus_image,24,300,0.6103286384976526,0.43333333333333335,0.29,0.01,,,,,not_recorded_for_24_token_baseline
OpenGVLab/InternVL3-8B,text_plus_image,64,300,0.6103286384976526,0.43333333333333335,0.29,0.01,5.998333333333333,6.0,0.0,,retokenized_decoded_text
OpenGVLab/InternVL3-8B,text_plus_image,256,300,0.6103286384976526,0.43333333333333335,0.29,0.01,5.998333333333333,6.0,0.0,,retokenized_decoded_text
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,24,300,0.6040268456375839,0.3,0.5033333333333333,0.0,,,,,not_recorded_for_24_token_baseline
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,64,300,0.6040268456375839,0.3,0.5033333333333333,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,256,300,0.6040268456375839,0.3,0.5033333333333333,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,24,300,0.5747663551401869,0.41,0.2866666666666667,0.0,,,,,not_recorded_for_24_token_baseline
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,64,300,0.5747663551401869,0.41,0.2866666666666667,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,256,300,0.5747663551401869,0.41,0.2866666666666667,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,image_only,24,300,0.6237113402061856,0.4033333333333333,0.35333333333333333,0.0,,,,,not_recorded_for_24_token_baseline
Qwen/Qwen2.5-VL-7B-Instruct,image_only,64,300,0.6237113402061856,0.4033333333333333,0.35333333333333333,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,image_only,256,300,0.6237113402061856,0.4033333333333333,0.35333333333333333,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,24,300,0.5895196506550219,0.45,0.23666666666666666,0.0,,,,,not_recorded_for_24_token_baseline
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,64,300,0.5895196506550219,0.45,0.23666666666666666,0.0,7.0,7.0,0.0,1.0,generated_token_ids
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,256,300,0.5895196506550219,0.45,0.23666666666666666,0.0,7.0,7.0,0.0,1.0,generated_token_ids
