reasoning_effort,condition,difficulty,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,spearman_valid_only,input_tokens,output_tokens,reasoning_tokens,mean_output_tokens_per_call,mean_reasoning_tokens_per_call,p95_reasoning_tokens_per_call,max_reasoning_tokens_per_call,mean_latency_sec,p95_latency_sec,estimated_cost_usd
low,image_only,easy,100,83,65,0.7831325301204819,0.65,0.17,0.0,0.0,0.0,0.5782964942941368,203230,14217,12017,71.085,60.085,125.14999999999995,278.0,2.1403378242533653,3.4207784500438687,0.72133
low,image_only,medium,100,90,46,0.5111111111111111,0.46,0.1,0.0,0.0,0.0,0.007857453419772592,210422,13768,11568,68.84,57.84,119.0,232.0,2.096777171525173,3.1853049450088275,0.7325750000000001
low,image_only,hard,100,83,45,0.5421686746987951,0.45,0.17,0.0,0.0,0.0,0.08016790099565509,198462,13729,11529,68.645,57.645,121.14999999999995,255.0,2.141935061127879,3.3089140900876357,0.70209
low,text_plus_image,easy,100,73,57,0.7808219178082192,0.57,0.27,0.0,0.0,0.0,0.515124773464641,251900,12897,10699,64.485,53.495,103.04999999999998,189.0,2.950429241023958,15.585883179213852,0.823205
low,text_plus_image,medium,100,70,42,0.6,0.42,0.3,0.0,0.0,0.0,0.1909007338005081,260616,13131,10935,65.655,54.675,103.0,132.0,2.583201110223308,4.240885824058198,0.8485050000000001
low,text_plus_image,hard,100,76,46,0.6052631578947368,0.46,0.24,0.0,0.0,0.0,0.09702861828795173,246172,13900,11700,69.5,58.5,122.09999999999997,208.0,2.9329368117498236,8.132116956682742,0.82393
high,image_only,easy,100,85,67,0.788235294117647,0.67,0.15,0.0,0.0,0.0,0.6269125316601044,203230,63944,61744,319.72,308.72,715.6499999999997,1267.0,5.161794167999179,10.090178561443459,1.467235
high,image_only,medium,100,93,52,0.5591397849462365,0.52,0.07,0.0,0.0,0.0,0.0573345447968366,210422,57802,55602,289.01,278.01,602.1999999999972,1482.0,3.9747919390629978,8.302418836345892,1.3930850000000001
high,image_only,hard,100,88,50,0.5681818181818182,0.5,0.12,0.0,0.0,0.0,0.14397549409080665,198462,62798,60598,313.99,302.99,852.4499999999995,1273.0,4.181271826727316,9.481613109260785,1.4381249999999999
high,text_plus_image,easy,100,71,58,0.8169014084507042,0.58,0.29,0.0,0.0,0.0,0.62439009443339,251900,46590,44390,232.95,221.95,648.2499999999999,1663.0,4.536062831380405,15.664481910504401,1.3286
high,text_plus_image,medium,100,73,46,0.6301369863013698,0.46,0.27,0.0,0.0,0.0,0.2522236062513576,260616,44050,41850,220.25,209.25,516.0,992.0,4.534698400399647,15.6860412071459,1.31229
high,text_plus_image,hard,100,69,44,0.6376811594202898,0.44,0.31,0.0,0.0,0.0,0.1130646451303938,246172,50033,47833,250.165,239.165,749.149999999999,1300.0,4.542119749430567,15.674263279186562,1.365925
