reasoning_effort,max_output_tokens,condition,difficulty,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,spearman_valid_only,input_tokens,output_tokens,reasoning_tokens,mean_output_tokens_per_call,mean_reasoning_tokens_per_call,p95_reasoning_tokens_per_call,max_reasoning_tokens_per_call,mean_latency_sec,p95_latency_sec,estimated_cost_usd
high,256,image_only,easy,30,7,5,0.7142857142857143,0.16666666666666666,0.7666666666666667,0.6333333333333333,0.65,0.6,0.474341649025257,56478,13999,13732,233.31666666666666,228.86666666666667,256.0,256.0,3.1026459680249294,3.850851722666994,0.35118
high,256,image_only,medium,30,7,5,0.7142857142857143,0.16666666666666666,0.7666666666666667,0.5666666666666667,0.5833333333333334,0.5333333333333333,,59950,13991,13691,233.18333333333334,228.18333333333334,256.0,256.0,3.248118704526375,4.891716036945581,0.35974
high,256,image_only,hard,30,5,4,0.8,0.13333333333333333,0.8333333333333334,0.5666666666666667,0.5666666666666667,0.5666666666666667,-0.35355339059327373,57112,13630,13344,227.16666666666666,222.4,256.0,256.0,3.3418208175028363,4.793014764785765,0.34723
high,256,text_plus_image,easy,30,16,14,0.875,0.4666666666666667,0.4666666666666667,0.2,0.2,0.18333333333333332,0.6873960786795028,70286,9335,8800,155.58333333333334,146.66666666666666,256.0,256.0,3.350493078942721,5.132766189658997,0.31574
high,256,text_plus_image,medium,30,16,9,0.5625,0.3,0.4666666666666667,0.18333333333333332,0.18333333333333332,0.18333333333333332,,74508,9442,8903,157.36666666666667,148.38333333333333,256.0,256.0,2.706212229297186,3.966209197323768,0.32789999999999997
high,256,text_plus_image,hard,30,16,12,0.75,0.4,0.4666666666666667,0.21666666666666667,0.21666666666666667,0.2,0.2520504151250418,71216,9613,9085,160.21666666666667,151.41666666666666,256.0,256.0,3.0873138905813295,4.866845821775496,0.322235
high,4096,image_only,easy,30,26,19,0.7307692307692307,0.6333333333333333,0.13333333333333333,0.0,0.0,0.0,0.4516065919209268,56478,20629,19969,343.81666666666666,332.81666666666666,870.5999999999995,1266.0,7.468537378280113,11.994042726419865,0.45063
high,4096,image_only,medium,30,28,15,0.5357142857142857,0.5,0.06666666666666667,0.0,0.0,0.0,0.2740736082369134,59950,19486,18826,324.76666666666665,313.76666666666665,602.1999999999996,982.0,4.250182167223344,8.352175719570365,0.44216500000000003
high,4096,image_only,hard,30,25,17,0.68,0.5666666666666667,0.16666666666666666,0.0,0.0,0.0,0.12106879123274158,57112,21614,20954,360.23333333333335,349.23333333333335,1017.8499999999999,1273.0,4.542993491096422,10.72164336950518,0.46699
high,4096,text_plus_image,easy,30,23,21,0.9130434782608695,0.7,0.23333333333333334,0.0,0.0,0.0,0.7266782124777073,70286,12424,11764,207.06666666666666,196.06666666666666,440.84999999999997,951.0,4.158028693512703,15.629188754688949,0.36207500000000004
high,4096,text_plus_image,medium,30,23,14,0.6086956521739131,0.4666666666666667,0.23333333333333334,0.0,0.0,0.0,0.2530746830259078,74508,11437,10777,190.61666666666667,179.61666666666667,447.65,862.0,3.856920811207965,8.54028542456215,0.357825
high,4096,text_plus_image,hard,30,26,18,0.6923076923076923,0.6,0.13333333333333333,0.0,0.0,0.0,0.07223151185146151,71216,12075,11415,201.25,190.25,498.6999999999997,923.0,4.239882804437851,15.682255632570014,0.359165
low,256,image_only,easy,30,22,15,0.6818181818181818,0.5,0.26666666666666666,0.0,0.0,0.0,0.4371664845140027,56478,4435,3775,73.91666666666667,62.916666666666664,135.45,214.0,2.2694147914803278,4.407096991082653,0.20772
low,256,image_only,medium,30,26,14,0.5384615384615384,0.4666666666666667,0.13333333333333333,0.0,0.0,0.0,0.4139055803650928,59950,4162,3502,69.36666666666666,58.36666666666667,131.44999999999993,194.0,1.9559454664587974,3.415011240588501,0.21230500000000002
low,256,image_only,hard,30,28,16,0.5714285714285714,0.5333333333333333,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,-0.08680194081698131,57112,3933,3284,65.55,54.733333333333334,87.04999999999994,256.0,1.9121977591421455,3.262208634521812,0.20177499999999998
low,256,text_plus_image,easy,30,23,17,0.7391304347826086,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,0.5016169188357001,70286,3937,3277,65.61666666666666,54.61666666666667,101.74999999999996,155.0,2.1609581167809666,2.7681627613026647,0.23477
low,256,text_plus_image,medium,30,22,13,0.5909090909090909,0.43333333333333335,0.26666666666666666,0.0,0.0,0.0,0.12464639250231759,74508,3743,3083,62.38333333333333,51.38333333333333,87.44999999999997,177.0,2.538739047013223,3.9610506968106725,0.242415
low,256,text_plus_image,hard,30,22,14,0.6363636363636364,0.4666666666666667,0.26666666666666666,0.0,0.0,0.0,0.22363687466150783,71216,3772,3112,62.86666666666667,51.86666666666667,104.84999999999995,143.0,2.527522858449568,3.7772966790478324,0.23462
low,4096,image_only,easy,30,23,16,0.6956521739130435,0.5333333333333333,0.23333333333333334,0.0,0.0,0.0,0.3835370258721276,56478,4286,3626,71.43333333333334,60.43333333333333,117.54999999999997,186.0,1.987707452600201,2.8491234889719634,0.20548499999999997
low,4096,image_only,medium,30,24,11,0.4583333333333333,0.36666666666666664,0.2,0.0,0.0,0.0,0.19381748474093952,59950,4297,3637,71.61666666666666,60.61666666666667,119.29999999999998,132.0,2.093558890962352,3.0471066958736626,0.21433000000000002
low,4096,image_only,hard,30,24,14,0.5833333333333334,0.4666666666666667,0.2,0.0,0.0,0.0,-0.08153649149910351,57112,4403,3743,73.38333333333334,62.38333333333333,121.69999999999996,255.0,2.206825745043655,3.538624094892289,0.20882499999999998
low,4096,text_plus_image,easy,30,23,18,0.782608695652174,0.6,0.23333333333333334,0.0,0.0,0.0,0.537373290623879,70286,4109,3449,68.48333333333333,57.483333333333334,95.39999999999998,167.0,2.656498837315788,5.847189454687744,0.23735
low,4096,text_plus_image,medium,30,23,14,0.6086956521739131,0.4666666666666667,0.23333333333333334,0.0,0.0,0.0,0.272541966335593,74508,3995,3335,66.58333333333333,55.583333333333336,103.34999999999998,129.0,2.4326037834243226,3.6905239843297735,0.246195
low,4096,text_plus_image,hard,30,25,15,0.6,0.5,0.16666666666666666,0.0,0.0,0.0,-0.17073002135374116,71216,4168,3508,69.46666666666667,58.46666666666667,140.74999999999994,208.0,2.7114814267959444,4.857882282882897,0.24056
