condition,comparison,left,right,outcome,left_value,right_value,delta_right_minus_left,bootstrap_mean_delta,ci_low,ci_high,left_only,right_only,paired_exact_p,holm_p
image_only,budget_at_low,low_256,low_4096,effective_accuracy,0.5,0.45555555555555555,-0.04444444444444445,-0.04153333333333333,-0.12222222222222223,0.022222222222222254,8.0,4.0,0.3876953125,1.0
image_only,budget_at_low,low_256,low_4096,strict_swap_error,0.15555555555555556,0.2111111111111111,0.05555555555555555,0.051588888888888886,-0.044444444444444425,0.13361111111111088,7.0,12.0,0.359283447265625,1.0
image_only,budget_at_low,low_256,low_4096,valid_accuracy,0.5921052631578947,0.5774647887323944,-0.014640474425500316,-0.01381320475486428,-0.08428892562862035,0.050738573021181704,,,,
image_only,budget_at_low,low_256,low_4096,spearman_valid_only,0.23871954070551596,0.1723976119381473,-0.06632192876736867,-0.05839543541745315,-0.24760262357797555,0.10887607782036976,,,,
image_only,budget_at_high,high_256,high_4096,effective_accuracy,0.15555555555555556,0.5666666666666667,0.4111111111111111,0.4091444444444445,0.3111111111111111,0.5111111111111112,0.0,37.0,1.4551915228366852e-11,2.0372681319713593e-10
image_only,budget_at_high,high_256,high_4096,strict_swap_error,0.7888888888888889,0.12222222222222222,-0.6666666666666666,-0.6649666666666667,-0.7666666666666666,-0.5666666666666667,60.0,0.0,1.734723475976807e-18,2.7755575615628914e-17
image_only,budget_at_high,high_256,high_4096,valid_accuracy,0.7368421052631579,0.6455696202531646,-0.0912724850099933,-0.09353747430889098,-0.27245601005319037,0.09461068211068213,,,,
image_only,budget_at_high,high_256,high_4096,spearman_valid_only,0.13176156917368248,0.34057729541975723,0.20881572624607475,0.1964522963258494,-0.22577775006261483,0.7030308171016422,,,,
image_only,reasoning_at_256,low_256,high_256,effective_accuracy,0.5,0.15555555555555556,-0.34444444444444444,-0.34158888888888883,-0.4444444444444445,-0.24444444444444446,31.0,0.0,9.313225746154785e-10,1.210719347000122e-08
image_only,reasoning_at_256,low_256,high_256,strict_swap_error,0.15555555555555556,0.7888888888888889,0.6333333333333333,0.6298222222222223,0.5333333333333332,0.7224999999999998,0.0,57.0,1.3877787807814457e-17,2.0816681711721685e-16
image_only,reasoning_at_256,low_256,high_256,valid_accuracy,0.5921052631578947,0.7368421052631579,0.14473684210526316,0.1469787303706089,-0.060062500000000046,0.3292393947628803,,,,
image_only,reasoning_at_256,low_256,high_256,spearman_valid_only,0.23871954070551596,0.13176156917368248,-0.10695797153183348,-0.09350203889157045,-0.5892038420547527,0.3121151586728597,,,,
image_only,reasoning_at_4096,low_4096,high_4096,effective_accuracy,0.45555555555555555,0.5666666666666667,0.1111111111111111,0.10908888888888889,0.0444444444444444,0.1777777777777778,1.0,11.0,0.00634765625,0.05712890625
image_only,reasoning_at_4096,low_4096,high_4096,strict_swap_error,0.2111111111111111,0.12222222222222222,-0.08888888888888889,-0.08673333333333333,-0.16666666666666663,0.0,11.0,3.0,0.057373046875,0.401611328125
image_only,reasoning_at_4096,low_4096,high_4096,valid_accuracy,0.5774647887323944,0.6455696202531646,0.06810483152077018,0.06725446081658219,0.006570968206902198,0.13316199012884702,,,,
image_only,reasoning_at_4096,low_4096,high_4096,spearman_valid_only,0.1723976119381473,0.34057729541975723,0.16817968348160994,0.16228895003694147,0.03473524928743123,0.32009236354266174,,,,
text_plus_image,budget_at_low,low_256,low_4096,effective_accuracy,0.4888888888888889,0.5222222222222223,0.03333333333333338,0.03381111111111111,-0.033333333333333326,0.11111111111111105,3.0,6.0,0.5078125,1.0
text_plus_image,budget_at_low,low_256,low_4096,strict_swap_error,0.25555555555555554,0.2111111111111111,-0.044444444444444425,-0.0448,-0.14444444444444446,0.044722222222221976,11.0,7.0,0.480682373046875,1.0
text_plus_image,budget_at_low,low_256,low_4096,valid_accuracy,0.6567164179104478,0.6619718309859155,0.00525541307546773,0.005625256697022731,-0.05768058819689251,0.06876850952613335,,,,
text_plus_image,budget_at_low,low_256,low_4096,spearman_valid_only,0.39109678957140964,0.40895062010245486,0.017853830531045223,0.02320149110947739,-0.09418160983497731,0.15297901770257508,,,,
text_plus_image,budget_at_high,high_256,high_4096,effective_accuracy,0.3888888888888889,0.5888888888888889,0.2,0.19913333333333333,0.12222222222222218,0.27777777777777785,0.0,18.0,7.62939453125e-06,8.392333984375e-05
text_plus_image,budget_at_high,high_256,high_4096,strict_swap_error,0.4666666666666667,0.2,-0.26666666666666666,-0.2651222222222222,-0.3558333333333334,-0.16666666666666669,25.0,1.0,8.046627044677734e-07,9.655952453613281e-06
text_plus_image,budget_at_high,high_256,high_4096,valid_accuracy,0.7291666666666666,0.7361111111111112,0.006944444444444531,0.008432085214533912,-0.07356805334746506,0.08240144103595878,,,,
text_plus_image,budget_at_high,high_256,high_4096,spearman_valid_only,0.5002048003476395,0.5082006191640194,0.007995818816379896,0.012573350812311828,-0.12181914080935577,0.1701359599685872,,,,
text_plus_image,reasoning_at_256,low_256,high_256,effective_accuracy,0.4888888888888889,0.3888888888888889,-0.09999999999999998,-0.1004111111111111,-0.17777777777777776,-0.033333333333333326,10.0,1.0,0.01171875,0.09375
text_plus_image,reasoning_at_256,low_256,high_256,strict_swap_error,0.25555555555555554,0.4666666666666667,0.21111111111111114,0.2102888888888889,0.12222222222222223,0.3,1.0,20.0,2.09808349609375e-05,0.000209808349609375
text_plus_image,reasoning_at_256,low_256,high_256,valid_accuracy,0.6567164179104478,0.7291666666666666,0.07245024875621886,0.06999138191855696,-0.001601780494286514,0.1498060448695197,,,,
text_plus_image,reasoning_at_256,low_256,high_256,spearman_valid_only,0.39109678957140964,0.5002048003476395,0.10910801077622984,0.10537714281772614,0.003000970241874546,0.20473817560995,,,,
text_plus_image,reasoning_at_4096,low_4096,high_4096,effective_accuracy,0.5222222222222223,0.5888888888888889,0.06666666666666665,0.06491111111111111,0.0,0.14444444444444438,3.0,9.0,0.14599609375,0.8759765625
text_plus_image,reasoning_at_4096,low_4096,high_4096,strict_swap_error,0.2111111111111111,0.2,-0.0111111111111111,-0.010033333333333333,-0.09999999999999998,0.06666666666666668,8.0,7.0,1.0,1.0
text_plus_image,reasoning_at_4096,low_4096,high_4096,valid_accuracy,0.6619718309859155,0.7361111111111112,0.07413928012519566,0.07279821043606813,0.004988771215339336,0.14669953051643195,,,,
text_plus_image,reasoning_at_4096,low_4096,high_4096,spearman_valid_only,0.40895062010245486,0.5082006191640194,0.09924999906156451,0.09481271067539698,-0.03643122717305789,0.24710914308399262,,,,
