pair_id,language,difficulty,snippet_i,snippet_j,human_preference,valid,strict_choice,strict_correct,margin_AB,margin_BA,c,b,tie_c,boundary,bc_rule_evaluable,bc_valid_prediction,bc_rule_violation,d_choice,d_correct,ab_correct,ba_correct,ocr_correct,selected_model
full_rq0_seed42__rq0_0000__rq0_0025,java,easy,rq0_0000,rq0_0025,rq0_0025,True,rq0_0025,True,-11.0,11.5,-11.25,0.25,False,False,True,True,False,rq0_0025,True,True,True,True,svr
full_rq0_seed42__rq0_0000__rq0_0033,java,easy,rq0_0000,rq0_0033,rq0_0000,True,rq0_0000,True,6.75,-14.25,10.5,-3.75,False,False,True,True,False,rq0_0000,True,True,True,False,svr
full_rq0_seed42__rq0_0000__rq0_0128,java,easy,rq0_0000,rq0_0128,rq0_0128,True,rq0_0128,True,-6.0,0.75,-3.375,-2.625,False,False,True,True,False,rq0_0128,True,True,True,True,svr
full_rq0_seed42__rq0_0000__rq0_0166,java,easy,rq0_0000,rq0_0166,rq0_0166,True,rq0_0166,True,-3.75,3.25,-3.5,-0.25,False,False,True,True,False,rq0_0166,True,True,True,True,svr
full_rq0_seed42__rq0_0000__rq0_0207,java,easy,rq0_0000,rq0_0207,rq0_0207,True,rq0_0000,False,3.75,-12.75,8.25,-4.5,False,False,True,True,False,rq0_0000,False,False,False,True,svr
full_rq0_seed42__rq0_0000__rq0_0242,java,easy,rq0_0000,rq0_0242,rq0_0242,True,rq0_0242,True,-15.5,6.5,-11.0,-4.5,False,False,True,True,False,rq0_0242,True,True,True,True,svr
full_rq0_seed42__rq0_0000__rq0_0279,java,easy,rq0_0000,rq0_0279,rq0_0279,True,rq0_0000,False,10.25,-6.25,8.25,2.0,False,False,True,True,False,rq0_0000,False,False,False,True,svr
full_rq0_seed42__rq0_0001__rq0_0127,java,easy,rq0_0001,rq0_0127,rq0_0001,True,rq0_0127,False,-12.75,4.75,-8.75,-4.0,False,False,True,True,False,rq0_0127,False,False,False,True,svr
full_rq0_seed42__rq0_0001__rq0_0153,java,easy,rq0_0001,rq0_0153,rq0_0001,True,rq0_0001,True,8.5,-4.5,6.5,2.0,False,False,True,True,False,rq0_0001,True,True,True,True,svr
full_rq0_seed42__rq0_0001__rq0_0211,java,easy,rq0_0001,rq0_0211,rq0_0001,True,rq0_0001,True,7.75,-7.0,7.375,0.375,False,False,True,True,False,rq0_0001,True,True,True,True,svr
full_rq0_seed42__rq0_0001__rq0_0276,java,easy,rq0_0001,rq0_0276,rq0_0001,False,,False,-1.5,-4.0,1.25,-2.75,False,False,True,False,False,rq0_0001,True,False,True,False,svr
full_rq0_seed42__rq0_0001__rq0_0311,java,easy,rq0_0001,rq0_0311,rq0_0001,False,,False,-3.5,-0.25,-1.625,-1.875,False,False,True,False,False,rq0_0311,False,False,True,True,svr
full_rq0_seed42__rq0_0002__rq0_0082,java,easy,rq0_0002,rq0_0082,rq0_0082,False,,False,-5.5,-4.5,-0.5,-5.0,False,False,True,False,False,rq0_0082,True,True,False,True,svr
full_rq0_seed42__rq0_0002__rq0_0107,java,easy,rq0_0002,rq0_0107,rq0_0107,True,rq0_0107,True,-13.25,3.0,-8.125,-5.125,False,False,True,True,False,rq0_0107,True,True,True,True,svr
full_rq0_seed42__rq0_0002__rq0_0134,java,easy,rq0_0002,rq0_0134,rq0_0134,True,rq0_0002,False,1.75,-10.25,6.0,-4.25,False,False,True,True,False,rq0_0002,False,False,False,True,svr
full_rq0_seed42__rq0_0002__rq0_0216,java,easy,rq0_0002,rq0_0216,rq0_0216,False,,False,-5.25,-2.5,-1.375,-3.875,False,False,True,False,False,rq0_0216,True,True,False,False,svr
full_rq0_seed42__rq0_0002__rq0_0255,java,easy,rq0_0002,rq0_0255,rq0_0255,False,,False,-4.5,-5.0,0.25,-4.75,False,False,True,False,False,rq0_0002,False,True,False,True,svr
full_rq0_seed42__rq0_0002__rq0_0282,java,easy,rq0_0002,rq0_0282,rq0_0282,True,rq0_0282,True,-10.75,2.75,-6.75,-4.0,False,False,True,True,False,rq0_0282,True,True,True,True,svr
full_rq0_seed42__rq0_0003__rq0_0077,java,easy,rq0_0003,rq0_0077,rq0_0003,False,,False,5.75,0.0,2.875,2.875,False,True,False,False,False,rq0_0003,True,True,False,True,svr
full_rq0_seed42__rq0_0003__rq0_0111,java,easy,rq0_0003,rq0_0111,rq0_0003,True,rq0_0003,True,5.75,-0.5,3.125,2.625,False,False,True,True,False,rq0_0003,True,True,True,True,svr
full_rq0_seed42__rq0_0003__rq0_0269,java,easy,rq0_0003,rq0_0269,rq0_0003,True,rq0_0003,True,13.75,-0.25,7.0,6.75,False,False,True,True,False,rq0_0003,True,True,True,True,svr
full_rq0_seed42__rq0_0004__rq0_0077,java,easy,rq0_0004,rq0_0077,rq0_0004,True,rq0_0004,True,7.0,-9.0,8.0,-1.0,False,False,True,True,False,rq0_0004,True,True,True,False,svr
full_rq0_seed42__rq0_0004__rq0_0085,java,easy,rq0_0004,rq0_0085,rq0_0004,True,rq0_0004,True,0.5,-6.5,3.5,-3.0,False,False,True,True,False,rq0_0004,True,True,True,True,svr
full_rq0_seed42__rq0_0004__rq0_0088,java,easy,rq0_0004,rq0_0088,rq0_0004,False,,False,-0.75,-6.25,2.75,-3.5,False,False,True,False,False,rq0_0004,True,False,True,False,svr
full_rq0_seed42__rq0_0004__rq0_0129,java,easy,rq0_0004,rq0_0129,rq0_0004,True,rq0_0004,True,4.25,-7.0,5.625,-1.375,False,False,True,True,False,rq0_0004,True,True,True,True,svr
full_rq0_seed42__rq0_0004__rq0_0162,java,easy,rq0_0004,rq0_0162,rq0_0004,True,rq0_0004,True,13.0,-8.0,10.5,2.5,False,False,True,True,False,rq0_0004,True,True,True,True,svr
full_rq0_seed42__rq0_0004__rq0_0299,java,easy,rq0_0004,rq0_0299,rq0_0004,True,rq0_0004,True,3.25,-9.75,6.5,-3.25,False,False,True,True,False,rq0_0004,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0022,java,easy,rq0_0005,rq0_0022,rq0_0022,True,rq0_0022,True,-14.0,12.0,-13.0,-1.0,False,False,True,True,False,rq0_0022,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0042,java,easy,rq0_0005,rq0_0042,rq0_0042,True,rq0_0042,True,-14.0,4.5,-9.25,-4.75,False,False,True,True,False,rq0_0042,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0049,java,easy,rq0_0005,rq0_0049,rq0_0049,True,rq0_0049,True,-11.5,10.75,-11.125,-0.375,False,False,True,True,False,rq0_0049,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0080,java,easy,rq0_0005,rq0_0080,rq0_0080,True,rq0_0080,True,-14.75,14.5,-14.625,-0.125,False,False,True,True,False,rq0_0080,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0113,java,easy,rq0_0005,rq0_0113,rq0_0113,True,rq0_0113,True,-16.5,16.5,-16.5,0.0,False,False,True,True,False,rq0_0113,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0130,java,easy,rq0_0005,rq0_0130,rq0_0130,True,rq0_0130,True,-14.75,13.25,-14.0,-0.75,False,False,True,True,False,rq0_0130,True,True,True,True,svr
full_rq0_seed42__rq0_0005__rq0_0136,java,easy,rq0_0005,rq0_0136,rq0_0136,True,rq0_0136,True,-15.5,6.25,-10.875,-4.625,False,False,True,True,False,rq0_0136,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0160,java,easy,rq0_0005,rq0_0160,rq0_0160,True,rq0_0160,True,-7.0,14.25,-10.625,3.625,False,False,True,True,False,rq0_0160,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0204,java,easy,rq0_0005,rq0_0204,rq0_0204,True,rq0_0204,True,-15.25,7.75,-11.5,-3.75,False,False,True,True,False,rq0_0204,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0216,java,easy,rq0_0005,rq0_0216,rq0_0216,True,rq0_0216,True,-13.25,8.5,-10.875,-2.375,False,False,True,True,False,rq0_0216,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0246,java,easy,rq0_0005,rq0_0246,rq0_0246,True,rq0_0246,True,-15.0,13.75,-14.375,-0.625,False,False,True,True,False,rq0_0246,True,True,True,False,svr
full_rq0_seed42__rq0_0005__rq0_0300,java,easy,rq0_0005,rq0_0300,rq0_0300,True,rq0_0300,True,-17.75,12.0,-14.875,-2.875,False,False,True,True,False,rq0_0300,True,True,True,False,svr
full_rq0_seed42__rq0_0006__rq0_0020,java,easy,rq0_0006,rq0_0020,rq0_0006,True,rq0_0020,False,-14.5,5.75,-10.125,-4.375,False,False,True,True,False,rq0_0020,False,False,False,True,svr
full_rq0_seed42__rq0_0006__rq0_0039,java,easy,rq0_0006,rq0_0039,rq0_0006,True,rq0_0039,False,-7.5,2.75,-5.125,-2.375,False,False,True,True,False,rq0_0039,False,False,False,True,svr
full_rq0_seed42__rq0_0006__rq0_0075,java,easy,rq0_0006,rq0_0075,rq0_0006,True,rq0_0075,False,-9.0,4.0,-6.5,-2.5,False,False,True,True,False,rq0_0075,False,False,False,True,svr
full_rq0_seed42__rq0_0006__rq0_0120,java,easy,rq0_0006,rq0_0120,rq0_0120,True,rq0_0006,False,0.75,-6.25,3.5,-2.75,False,False,True,True,False,rq0_0006,False,False,False,False,svr
full_rq0_seed42__rq0_0007__rq0_0078,java,easy,rq0_0007,rq0_0078,rq0_0078,False,,False,-5.5,-4.75,-0.375,-5.125,False,False,True,False,False,rq0_0078,True,True,False,True,svr
full_rq0_seed42__rq0_0007__rq0_0227,java,easy,rq0_0007,rq0_0227,rq0_0227,True,rq0_0227,True,-11.75,7.75,-9.75,-2.0,False,False,True,True,False,rq0_0227,True,True,True,True,svr
full_rq0_seed42__rq0_0007__rq0_0255,java,easy,rq0_0007,rq0_0255,rq0_0255,True,rq0_0255,True,-7.75,9.5,-8.625,0.875,False,False,True,True,False,rq0_0255,True,True,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0026,java,easy,rq0_0008,rq0_0026,rq0_0008,False,,False,-1.75,-10.0,4.125,-5.875,False,False,True,False,False,rq0_0008,True,False,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0035,java,easy,rq0_0008,rq0_0035,rq0_0008,True,rq0_0035,False,-9.0,1.0,-5.0,-4.0,False,False,True,True,False,rq0_0035,False,False,False,True,svr
full_rq0_seed42__rq0_0008__rq0_0061,java,easy,rq0_0008,rq0_0061,rq0_0008,True,rq0_0061,False,-6.5,8.75,-7.625,1.125,False,False,True,True,False,rq0_0061,False,False,False,True,svr
full_rq0_seed42__rq0_0008__rq0_0100,java,easy,rq0_0008,rq0_0100,rq0_0008,True,rq0_0008,True,11.25,-6.75,9.0,2.25,False,False,True,True,False,rq0_0008,True,True,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0139,java,easy,rq0_0008,rq0_0139,rq0_0008,False,,False,-2.75,-4.5,0.875,-3.625,False,False,True,False,False,rq0_0008,True,False,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0237,java,easy,rq0_0008,rq0_0237,rq0_0008,True,rq0_0008,True,10.75,-3.75,7.25,3.5,False,False,True,True,False,rq0_0008,True,True,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0278,java,easy,rq0_0008,rq0_0278,rq0_0008,True,rq0_0008,True,12.5,-2.25,7.375,5.125,False,False,True,True,False,rq0_0008,True,True,True,True,svr
full_rq0_seed42__rq0_0008__rq0_0295,java,easy,rq0_0008,rq0_0295,rq0_0008,True,rq0_0295,False,-9.75,5.25,-7.5,-2.25,False,False,True,True,False,rq0_0295,False,False,False,True,svr
full_rq0_seed42__rq0_0009__rq0_0080,java,easy,rq0_0009,rq0_0080,rq0_0080,False,,False,3.25,5.75,-1.25,4.5,False,False,True,False,False,rq0_0080,True,False,True,False,svr
full_rq0_seed42__rq0_0009__rq0_0120,java,easy,rq0_0009,rq0_0120,rq0_0120,True,rq0_0009,False,12.0,-16.5,14.25,-2.25,False,False,True,True,False,rq0_0009,False,False,False,False,svr
full_rq0_seed42__rq0_0009__rq0_0151,java,easy,rq0_0009,rq0_0151,rq0_0009,True,rq0_0009,True,14.0,-8.0,11.0,3.0,False,False,True,True,False,rq0_0009,True,True,True,True,svr
full_rq0_seed42__rq0_0009__rq0_0248,java,easy,rq0_0009,rq0_0248,rq0_0248,True,rq0_0009,False,7.25,-13.0,10.125,-2.875,False,False,True,True,False,rq0_0009,False,False,False,False,svr
full_rq0_seed42__rq0_0010__rq0_0198,java,easy,rq0_0010,rq0_0198,rq0_0010,False,,False,-5.25,-9.5,2.125,-7.375,False,False,True,False,False,rq0_0010,True,False,True,True,svr
full_rq0_seed42__rq0_0010__rq0_0211,java,easy,rq0_0010,rq0_0211,rq0_0010,True,rq0_0010,True,0.75,-10.5,5.625,-4.875,False,False,True,True,False,rq0_0010,True,True,True,True,svr
full_rq0_seed42__rq0_0010__rq0_0217,java,easy,rq0_0010,rq0_0217,rq0_0010,False,,False,-11.25,-7.5,-1.875,-9.375,False,False,True,False,False,rq0_0217,False,False,True,True,svr
full_rq0_seed42__rq0_0010__rq0_0247,java,easy,rq0_0010,rq0_0247,rq0_0010,True,rq0_0010,True,4.75,-0.75,2.75,2.0,False,False,True,True,False,rq0_0010,True,True,True,False,svr
full_rq0_seed42__rq0_0010__rq0_0266,java,easy,rq0_0010,rq0_0266,rq0_0266,True,rq0_0266,True,-11.75,11.0,-11.375,-0.375,False,False,True,True,False,rq0_0266,True,True,True,True,svr
full_rq0_seed42__rq0_0010__rq0_0298,java,easy,rq0_0010,rq0_0298,rq0_0010,False,,False,-11.0,-7.25,-1.875,-9.125,False,False,True,False,False,rq0_0298,False,False,True,True,svr
full_rq0_seed42__rq0_0011__rq0_0048,java,easy,rq0_0011,rq0_0048,rq0_0048,False,,False,-3.75,-4.75,0.5,-4.25,False,False,True,False,False,rq0_0011,False,True,False,False,svr
full_rq0_seed42__rq0_0011__rq0_0196,java,easy,rq0_0011,rq0_0196,rq0_0011,True,rq0_0011,True,18.75,-5.0,11.875,6.875,False,False,True,True,False,rq0_0011,True,True,True,False,svr
full_rq0_seed42__rq0_0011__rq0_0261,java,easy,rq0_0011,rq0_0261,rq0_0011,True,rq0_0011,True,20.75,-11.75,16.25,4.5,False,False,True,True,False,rq0_0011,True,True,True,True,svr
full_rq0_seed42__rq0_0011__rq0_0286,java,easy,rq0_0011,rq0_0286,rq0_0011,True,rq0_0011,True,17.75,-15.5,16.625,1.125,False,False,True,True,False,rq0_0011,True,True,True,True,svr
