language,pair_id,order,parsed_choice,old_choice,margin,abs_margin
java,full_rq0_seed42__rq0_0000__rq0_0033,AB,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0000__rq0_0207,AB,A,B,3.75,3.75
java,full_rq0_seed42__rq0_0000__rq0_0207,BA,B,A,-12.75,12.75
java,full_rq0_seed42__rq0_0000__rq0_0242,AB,B,A,-15.5,15.5
java,full_rq0_seed42__rq0_0000__rq0_0242,BA,A,B,6.5,6.5
java,full_rq0_seed42__rq0_0000__rq0_0279,AB,A,B,10.25,10.25
java,full_rq0_seed42__rq0_0001__rq0_0153,AB,A,B,8.5,8.5
java,full_rq0_seed42__rq0_0001__rq0_0153,BA,B,A,-4.5,4.5
java,full_rq0_seed42__rq0_0001__rq0_0211,AB,A,B,7.75,7.75
java,full_rq0_seed42__rq0_0002__rq0_0134,AB,A,B,1.75,1.75
java,full_rq0_seed42__rq0_0002__rq0_0282,BA,A,B,2.75,2.75
java,full_rq0_seed42__rq0_0003__rq0_0077,BA,A,B,0.0,0.0
java,full_rq0_seed42__rq0_0003__rq0_0111,AB,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0003__rq0_0111,BA,B,A,-0.5,0.5
java,full_rq0_seed42__rq0_0004__rq0_0088,AB,B,A,-0.75,0.75
java,full_rq0_seed42__rq0_0005__rq0_0204,BA,A,B,7.75,7.75
java,full_rq0_seed42__rq0_0005__rq0_0216,BA,A,B,8.5,8.5
java,full_rq0_seed42__rq0_0005__rq0_0300,BA,A,B,12.0,12.0
java,full_rq0_seed42__rq0_0006__rq0_0039,AB,B,A,-7.5,7.5
java,full_rq0_seed42__rq0_0006__rq0_0039,BA,A,B,2.75,2.75
java,full_rq0_seed42__rq0_0006__rq0_0120,AB,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0007__rq0_0078,BA,B,A,-4.75,4.75
java,full_rq0_seed42__rq0_0007__rq0_0255,BA,A,B,9.5,9.5
java,full_rq0_seed42__rq0_0008__rq0_0026,AB,B,A,-1.75,1.75
