new_model,predecessor,scope,scope_value,old_pairs,new_pairs,old_valid_accuracy,new_valid_accuracy,delta_valid_accuracy,old_effective_accuracy,new_effective_accuracy,delta_effective_accuracy,old_strict_swap_error,new_strict_swap_error,delta_strict_swap_error,old_two_order_averaged_accuracy,new_two_order_averaged_accuracy,delta_two_order_averaged_accuracy,old_first_position_choice_rate,new_first_position_choice_rate,delta_first_position_choice_rate,old_spearman_valid_only,new_spearman_valid_only,delta_spearman_valid_only
qwen3,qwen,pooled,all,9000,9000,0.7116803278688525,0.6215083798882681,-0.09017194798058437,0.3858888888888889,0.445,0.059111111111111114,0.45777777777777773,0.28400000000000003,-0.1737777777777777,0.6415555555555555,0.5991111111111111,-0.042444444444444396,0.2786666666666667,0.4058888888888889,0.12722222222222224,0.4584534059724776,0.28088885713176515,-0.17756454884071243
qwen3,qwen,language,java,3000,3000,0.6234920634920635,0.6220767072029935,-0.00141535628907008,0.3273333333333333,0.44333333333333336,0.11600000000000005,0.475,0.28733333333333333,-0.18766666666666665,0.5853333333333334,0.5946666666666667,0.009333333333333305,0.2698333333333333,0.43133333333333335,0.16150000000000003,0.27381960843620173,0.2844492761255734,0.01062966768937168
qwen3,qwen,language_difficulty,java|easy,1000,1000,0.7014652014652014,0.7121212121212122,0.01065601065601074,0.383,0.517,0.134,0.45399999999999996,0.274,-0.17999999999999994,0.651,0.682,0.031000000000000028,0.279,0.436,0.15699999999999997,0.37861048948747394,0.42083330606863256,0.04222281658115862
qwen3,qwen,language_difficulty,java|medium,1000,1000,0.6126482213438735,0.6111111111111112,-0.0015371102327623731,0.31,0.429,0.119,0.494,0.29800000000000004,-0.19599999999999995,0.58,0.585,0.0050000000000000044,0.262,0.431,0.16899999999999998,0.21051275939254283,0.1916063111741826,-0.01890644821836024
qwen3,qwen,language_difficulty,java|hard,1000,1000,0.5525812619502868,0.5408450704225352,-0.011736191527751627,0.289,0.384,0.09500000000000003,0.477,0.29000000000000004,-0.18699999999999994,0.525,0.517,-0.008000000000000007,0.2685,0.427,0.15849999999999997,0.10719699718082899,0.0928611644036692,-0.014335832777159788
qwen3,qwen,language,python,3000,3000,0.7591695501730104,0.6157849089332177,-0.14338464123979267,0.36566666666666664,0.47333333333333333,0.10766666666666669,0.5183333333333333,0.23133333333333328,-0.28700000000000003,0.6676666666666666,0.5973333333333334,-0.07033333333333325,0.24583333333333332,0.435,0.18916666666666668,0.5310662886182494,0.2737008016633362,-0.25736548695491324
qwen3,qwen,language_difficulty,python|easy,1000,1000,0.8444444444444444,0.7003891050583657,-0.14405533938607873,0.494,0.54,0.04600000000000004,0.41500000000000004,0.22899999999999998,-0.18600000000000005,0.755,0.678,-0.07699999999999996,0.3035,0.4465,0.14300000000000002,0.6518017982000429,0.44101881733952203,-0.21078298086052089
qwen3,qwen,language_difficulty,python|medium,1000,1000,0.7371794871794872,0.5942028985507246,-0.1429765886287626,0.345,0.451,0.10600000000000004,0.532,0.241,-0.29100000000000004,0.647,0.567,-0.08000000000000007,0.236,0.4255,0.1895,0.4330611407780888,0.22595076048932577,-0.20711038028876305
qwen3,qwen,language_difficulty,python|hard,1000,1000,0.6581632653061225,0.5528350515463918,-0.10532821375973067,0.258,0.429,0.17099999999999999,0.608,0.22399999999999998,-0.384,0.601,0.547,-0.05399999999999994,0.198,0.433,0.235,0.25997869109900007,0.0842402951188741,-0.17573839598012597
qwen3,qwen,language,cuda,3000,3000,0.7494623655913979,0.6275,-0.12196236559139795,0.4646666666666667,0.41833333333333333,-0.04633333333333334,0.38,0.33333333333333337,-0.046666666666666634,0.6716666666666666,0.6053333333333333,-0.06633333333333336,0.32033333333333336,0.35133333333333333,0.030999999999999972,0.5506584123957613,0.28294332377456305,-0.26771508862119825
qwen3,qwen,language_difficulty,cuda|easy,1000,1000,0.8798882681564246,0.6825174825174826,-0.19737078563894206,0.63,0.488,-0.14200000000000002,0.28400000000000003,0.28500000000000003,0.0010000000000000009,0.801,0.651,-0.15000000000000002,0.365,0.3795,0.014500000000000013,0.706821323318237,0.37102693185509866,-0.33579439146313833
qwen3,qwen,language_difficulty,cuda|medium,1000,1000,0.7357142857142858,0.6384266263237519,-0.09728765939053385,0.412,0.422,0.010000000000000009,0.43999999999999995,0.33899999999999997,-0.10099999999999998,0.645,0.611,-0.03400000000000003,0.292,0.3425,0.050500000000000045,0.4227042326802901,0.2631114626365683,-0.1595927700437218
qwen3,qwen,language_difficulty,cuda|hard,1000,1000,0.6027397260273972,0.5528846153846154,-0.04985511064278181,0.352,0.345,-0.007000000000000006,0.41600000000000004,0.376,-0.040000000000000036,0.569,0.554,-0.014999999999999902,0.304,0.332,0.028000000000000025,0.2072133642585452,0.12112769646783982,-0.08608566779070538
