model_key,model,scope,scope_value,pairs,valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,ab_accuracy,ba_accuracy,first_position_choice_rate,spearman_valid_only,two_order_averaged_accuracy,content_ties,boundaries,bc_rule_violations,parse_failure_calls,pairs_missing_effective_logits
qwen3,Qwen/Qwen3-VL-8B-Instruct,pooled,all,9000,6444,0.6215083798882681,0.445,0.28400000000000003,0.5945555555555555,0.5794444444444444,0.4058888888888889,0.28088885713176515,0.5991111111111111,40,140,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language,cuda,3000,2000,0.6275,0.41833333333333333,0.33333333333333337,0.5823333333333334,0.5876666666666667,0.35133333333333333,0.28294332377456305,0.6053333333333333,13,44,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language,java,3000,2138,0.6220767072029935,0.44333333333333336,0.28733333333333333,0.6016666666666667,0.5723333333333334,0.43133333333333335,0.2844492761255734,0.5946666666666667,19,45,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language,python,3000,2306,0.6157849089332177,0.47333333333333333,0.23133333333333328,0.5996666666666667,0.5783333333333334,0.435,0.2737008016633362,0.5973333333333334,8,51,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,cuda|easy,1000,715,0.6825174825174826,0.488,0.28500000000000003,0.614,0.647,0.3795,0.37102693185509866,0.651,4,12,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,cuda|hard,1000,624,0.5528846153846154,0.345,0.376,0.532,0.534,0.332,0.12112769646783982,0.554,6,17,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,cuda|medium,1000,661,0.6384266263237519,0.422,0.33899999999999997,0.601,0.582,0.3425,0.2631114626365683,0.611,3,15,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,java|easy,1000,726,0.7121212121212122,0.517,0.274,0.665,0.643,0.436,0.42083330606863256,0.682,4,16,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,java|hard,1000,710,0.5408450704225352,0.384,0.29000000000000004,0.539,0.519,0.427,0.0928611644036692,0.517,10,15,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,java|medium,1000,702,0.6111111111111112,0.429,0.29800000000000004,0.601,0.555,0.431,0.1916063111741826,0.585,5,14,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,python|easy,1000,771,0.7003891050583657,0.54,0.22899999999999998,0.658,0.651,0.4465,0.44101881733952203,0.678,5,13,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,python|hard,1000,776,0.5528350515463918,0.429,0.22399999999999998,0.552,0.53,0.433,0.0842402951188741,0.547,0,20,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,language_difficulty,python|medium,1000,759,0.5942028985507246,0.451,0.241,0.589,0.554,0.4255,0.22595076048932577,0.567,3,18,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,pooled,all,9000,6021,0.6568676299618004,0.43944444444444447,0.33099999999999996,0.6042222222222222,0.6055555555555555,0.37,0.3521413736381491,0.623,83,205,0,1,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language,cuda,3000,2081,0.6592984142239308,0.4573333333333333,0.30633333333333335,0.606,0.615,0.37183333333333335,0.35430653676713203,0.628,34,63,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language,java,3000,2059,0.6027197668771248,0.4136666666666667,0.31366666666666665,0.5646666666666667,0.576,0.4086666666666667,0.2499585104428443,0.5823333333333334,25,67,0,1,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language,python,3000,1881,0.7134502923976608,0.44733333333333336,0.373,0.642,0.6256666666666667,0.3295,0.46220948519434385,0.6586666666666666,24,75,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,cuda|easy,1000,736,0.7432065217391305,0.547,0.264,0.647,0.711,0.392,0.4821100390702697,0.702,9,11,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,cuda|hard,1000,663,0.579185520361991,0.384,0.33699999999999997,0.561,0.544,0.3575,0.19058615441339022,0.559,15,24,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,cuda|medium,1000,682,0.6466275659824047,0.441,0.31799999999999995,0.61,0.59,0.366,0.28034132924009086,0.623,10,28,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,java|easy,1000,702,0.6937321937321937,0.487,0.29800000000000004,0.624,0.648,0.401,0.38622496570066533,0.673,5,19,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,java|hard,1000,689,0.5312046444121916,0.366,0.31100000000000005,0.515,0.527,0.418,0.07706169139681052,0.515,10,20,0,1,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,java|medium,1000,668,0.5808383233532934,0.388,0.33199999999999996,0.555,0.553,0.407,0.14630611494580095,0.559,10,28,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,python|easy,1000,650,0.8215384615384616,0.534,0.35,0.721,0.697,0.35,0.6219710982395008,0.763,7,28,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,python|hard,1000,592,0.6199324324324325,0.367,0.40800000000000003,0.567,0.575,0.311,0.21632007981451185,0.581,11,33,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,language_difficulty,python|medium,1000,639,0.6901408450704225,0.441,0.361,0.638,0.605,0.3275,0.3861656773081182,0.632,6,14,0,0,0
gemma4,google/gemma-4-12B-it,pooled,all,9000,7658,0.6684512927657352,0.5687777777777778,0.14911111111111108,0.6467777777777778,0.6388888888888888,0.48,0.3827938045285434,0.6462222222222223,25,49,0,11,11
gemma4,google/gemma-4-12B-it,language,cuda,3000,2484,0.7012882447665056,0.5806666666666667,0.17200000000000004,0.6623333333333333,0.6686666666666666,0.45916666666666667,0.4513834221439858,0.6726666666666666,13,17,0,7,7
gemma4,google/gemma-4-12B-it,language,java,3000,2632,0.618920972644377,0.543,0.1226666666666667,0.615,0.5936666666666667,0.48966666666666664,0.2853471272220893,0.608,5,12,0,0,0
gemma4,google/gemma-4-12B-it,language,python,3000,2542,0.6876475216365067,0.5826666666666667,0.15266666666666662,0.663,0.6543333333333333,0.49116666666666664,0.4167880899891674,0.658,7,20,0,4,4
gemma4,google/gemma-4-12B-it,language_difficulty,cuda|easy,1000,870,0.8172413793103448,0.711,0.13,0.768,0.778,0.474,0.6102533319786713,0.787,5,7,0,6,6
gemma4,google/gemma-4-12B-it,language_difficulty,cuda|hard,1000,812,0.5911330049261084,0.48,0.18799999999999994,0.574,0.573,0.4525,0.19703197973583186,0.578,1,3,0,1,1
gemma4,google/gemma-4-12B-it,language_difficulty,cuda|medium,1000,802,0.6870324189526185,0.551,0.19799999999999995,0.645,0.655,0.451,0.3517579696933582,0.653,7,7,0,0,0
gemma4,google/gemma-4-12B-it,language_difficulty,java|easy,1000,889,0.7131608548931384,0.634,0.11099999999999999,0.705,0.674,0.4985,0.42631656580829236,0.698,3,4,0,0,0
gemma4,google/gemma-4-12B-it,language_difficulty,java|hard,1000,870,0.5333333333333333,0.464,0.13,0.545,0.513,0.487,0.08052567372503862,0.536,1,3,0,0,0
gemma4,google/gemma-4-12B-it,language_difficulty,java|medium,1000,873,0.6082474226804123,0.531,0.127,0.595,0.594,0.4835,0.18119237834076804,0.59,1,5,0,0,0
gemma4,google/gemma-4-12B-it,language_difficulty,python|easy,1000,868,0.7914746543778802,0.687,0.132,0.765,0.741,0.492,0.602080830453568,0.749,2,3,0,0,0
gemma4,google/gemma-4-12B-it,language_difficulty,python|hard,1000,832,0.5997596153846154,0.499,0.16800000000000004,0.576,0.589,0.489,0.18049851637172515,0.575,2,9,0,1,1
gemma4,google/gemma-4-12B-it,language_difficulty,python|medium,1000,842,0.667458432304038,0.562,0.15800000000000003,0.648,0.633,0.4925,0.3396047326093526,0.65,3,8,0,3,3
