model_key,model,condition,scope,scope_value,pairs,valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,two_order_averaged_accuracy,ab_accuracy,ba_accuracy,first_position_choice_rate,spearman_valid_only,parse_failure_calls,content_ties,boundaries,bc_rule_violations,pairs_missing_effective_logits
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,pooled,all,900,550,0.6527272727272727,0.3988888888888889,0.38888888888888884,0.5844444444444444,0.5744444444444444,0.59,0.33444444444444443,0.34129085596128567,50,6,16,0,46
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language,cuda,300,223,0.6502242152466368,0.48333333333333334,0.2566666666666667,0.6266666666666667,0.6033333333333334,0.62,0.4033333333333333,0.33824094174495867,3,1,8,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language,java,300,162,0.5802469135802469,0.31333333333333335,0.45999999999999996,0.5233333333333333,0.52,0.55,0.29,0.18322795734176564,14,2,3,0,11
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language,python,300,165,0.7272727272727273,0.4,0.44999999999999996,0.6033333333333334,0.6,0.6,0.31,0.5023864872468592,33,3,5,0,32
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,cuda|easy,100,75,0.7866666666666666,0.59,0.25,0.74,0.66,0.77,0.385,0.5165481774054895,0,1,1,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,cuda|hard,100,72,0.625,0.45,0.28,0.6,0.62,0.56,0.415,0.28335663000898,3,0,5,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,cuda|medium,100,76,0.5394736842105263,0.41,0.24,0.54,0.53,0.53,0.41,0.1435481125130547,0,0,2,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,java|easy,100,56,0.625,0.35,0.43999999999999995,0.53,0.55,0.58,0.3,0.27247688174550944,5,1,2,0,4
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,java|hard,100,56,0.5178571428571429,0.29,0.43999999999999995,0.48,0.5,0.49,0.295,-0.015506814408281028,6,1,1,0,4
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,java|medium,100,50,0.6,0.3,0.5,0.56,0.51,0.58,0.275,0.1301368016474974,3,0,0,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,python|easy,100,62,0.8548387096774194,0.53,0.38,0.72,0.77,0.66,0.34,0.5844138554981226,9,1,0,0,9
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,python|hard,100,48,0.5833333333333334,0.28,0.52,0.51,0.46,0.55,0.275,0.15503043325651872,10,2,3,0,10
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_image_only,language_difficulty,python|medium,100,55,0.7090909090909091,0.39,0.44999999999999996,0.58,0.57,0.59,0.315,0.4358807180144907,14,0,2,0,13
