model_key,language,reference_condition,candidate_condition,pairs,delta_valid_coverage,delta_effective_accuracy,delta_two_order_averaged_accuracy,reference_only_effective_correct,candidate_only_effective_correct,exact_mcnemar_p
qwen3,pooled,separate_image_only,combined_image_only,900,0.02777777777777779,0.0011111111111111183,-0.0011111111111110628,86,87,1.0
qwen3,pooled,separate_image_only,separate_text_plus_image,900,0.07333333333333336,0.02888888888888891,-0.026666666666666616,103,129,0.10052153309456262
qwen3,pooled,separate_image_only,combined_text_plus_image,900,0.08777777777777784,0.02777777777777779,-0.03222222222222215,104,129,0.11569091077686328
qwen3,java,separate_image_only,combined_image_only,300,0.026666666666666727,-0.019999999999999962,-0.020000000000000018,31,25,0.5044037600228255
qwen3,java,separate_image_only,separate_text_plus_image,300,0.13,0.03666666666666668,-0.030000000000000027,42,53,0.30488519070227593
qwen3,java,separate_image_only,combined_text_plus_image,300,0.16666666666666674,0.04666666666666669,-0.050000000000000044,42,56,0.18884671980890289
qwen3,python,separate_image_only,combined_image_only,300,-0.010000000000000009,0.013333333333333308,0.033333333333333326,29,33,0.7035366713552733
qwen3,python,separate_image_only,separate_text_plus_image,300,-0.026666666666666727,-0.013333333333333308,-0.01666666666666672,36,32,0.716300760154337
qwen3,python,separate_image_only,combined_text_plus_image,300,-0.010000000000000009,-0.013333333333333308,-0.030000000000000027,36,32,0.716300760154337
qwen3,cuda,separate_image_only,combined_image_only,300,0.06666666666666665,0.010000000000000009,-0.01666666666666672,26,29,0.7877061896700431
qwen3,cuda,separate_image_only,separate_text_plus_image,300,0.1166666666666667,0.06333333333333335,-0.033333333333333326,25,44,0.029493493531317295
qwen3,cuda,separate_image_only,combined_text_plus_image,300,0.10666666666666669,0.04999999999999999,-0.01666666666666672,26,41,0.08643723427347082
internvl3_5,pooled,separate_image_only,combined_image_only,900,-0.06666666666666665,-0.053333333333333344,-0.04555555555555557,108,60,0.0002636516495278535
internvl3_5,pooled,separate_image_only,separate_text_plus_image,900,0.028888888888888853,-0.0011111111111111183,-0.02777777777777779,99,98,1.0
internvl3_5,pooled,separate_image_only,combined_text_plus_image,900,0.04888888888888887,-0.0022222222222222365,-0.040000000000000036,104,102,0.9444761724149132
internvl3_5,java,separate_image_only,combined_image_only,300,-0.1266666666666666,-0.09333333333333332,-0.036666666666666736,45,17,0.0004970915863810334
internvl3_5,java,separate_image_only,separate_text_plus_image,300,0.00666666666666671,-0.026666666666666672,-0.00666666666666671,35,27,0.37415171240479483
internvl3_5,java,separate_image_only,combined_text_plus_image,300,0.046666666666666745,-0.013333333333333364,-0.030000000000000027,36,32,0.716300760154337
internvl3_5,python,separate_image_only,combined_image_only,300,-0.09999999999999998,-0.08666666666666667,-0.07999999999999996,43,17,0.0010657657791434353
internvl3_5,python,separate_image_only,separate_text_plus_image,300,0.033333333333333326,-0.026666666666666672,-0.050000000000000044,46,38,0.4452046690465761
internvl3_5,python,separate_image_only,combined_text_plus_image,300,0.013333333333333308,-0.03333333333333338,-0.046666666666666634,46,36,0.3202933636380142
internvl3_5,cuda,separate_image_only,combined_image_only,300,0.026666666666666616,0.020000000000000018,-0.019999999999999907,20,26,0.4613911821367651
internvl3_5,cuda,separate_image_only,separate_text_plus_image,300,0.046666666666666634,0.04999999999999999,-0.026666666666666616,18,33,0.04887389231827033
internvl3_5,cuda,separate_image_only,combined_text_plus_image,300,0.08666666666666667,0.03999999999999998,-0.043333333333333224,22,34,0.1408954235984807
