model_key,model,language,n,debiased_correct_pairs,debiased_accuracy,content_ties,boundaries_abs_c_eq_abs_b,baseline_type,baseline_model,baseline_correct_pairs,baseline_accuracy,diff_debiased_minus_baseline,snippet_cluster_ci_low,snippet_cluster_ci_high,bootstrap_replicates_requested,bootstrap_replicates_used,bootstrap_seed,bootstrap_method,vlm_only_correct,baseline_only_correct,mcnemar_exact_p,holm_p_30_comparisons,holm_reject_0_05
qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,3000,1756,0.5853333333333334,85,224,random_forest,random_forest_regressor,1870,0.6233333333333333,-0.03799999999999992,-0.08976153998453794,0.01241054583163534,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,535,649,0.0010152552537666423,0.006091531522599854,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,3000,1756,0.5853333333333334,85,224,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.04633333333333334,-0.1012481436539855,0.009896615146655071,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,574,713,0.00011803870862384015,0.0009443096689907212,True
internvl,OpenGVLab/InternVL3-8B,java,3000,1388,0.46266666666666667,72,249,random_forest,random_forest_regressor,1870,0.6233333333333333,-0.16066666666666662,-0.22573599435703676,-0.09560891290960273,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,634,1116,5.7156801738710775e-31,1.0859792330355047e-29,True
internvl,OpenGVLab/InternVL3-8B,java,3000,1388,0.46266666666666667,72,249,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.16900000000000004,-0.23144411253507777,-0.10558259031547498,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,572,1079,3.80952135390807e-36,7.619042707816141e-35,True
gemma,google/gemma-3-12b-it,java,3000,1823,0.6076666666666667,18,31,random_forest,random_forest_regressor,1870,0.6233333333333333,-0.015666666666666607,-0.06297298488664987,0.02980134701248093,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,477,524,0.14593085587530513,0.29186171175061026,False
gemma,google/gemma-3-12b-it,java,3000,1823,0.6076666666666667,18,31,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.02400000000000002,-0.07765774119665546,0.030790429545232145,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,598,670,0.046122676198187065,0.2306133809909353,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,3000,1620,0.54,12,32,random_forest,random_forest_regressor,1870,0.6233333333333333,-0.08333333333333326,-0.14600196156744671,-0.020090975800937293,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,681,931,5.168478519236834e-10,5.1684785192368344e-09,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,3000,1620,0.54,12,32,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.09166666666666667,-0.15371695835402133,-0.0288399668217592,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,649,924,4.334236240162451e-12,4.767659864178696e-11,True
phi,microsoft/Phi-4-multimodal-instruct,java,3000,1136,0.37866666666666665,442,1368,random_forest,random_forest_regressor,1870,0.6233333333333333,-0.24466666666666664,-0.3098915156288363,-0.17799461641991923,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,587,1321,8.448301425317126e-65,2.1965583705824527e-63,True
phi,microsoft/Phi-4-multimodal-instruct,java,3000,1136,0.37866666666666665,442,1368,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.25300000000000006,-0.3183983652179465,-0.18510876470209825,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,528,1287,5.715865541993399e-73,1.5432836963382177e-71,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,3000,2015,0.6716666666666666,76,226,random_forest,random_forest_regressor,2202,0.734,-0.06233333333333335,-0.12769663504435783,0.0013976379472222837,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,465,652,2.435204055564048e-08,2.191683650007643e-07,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,3000,2015,0.6716666666666666,76,226,language_best,svr,2274,0.758,-0.08633333333333337,-0.14965984928245296,-0.02454752674994471,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,356,615,8.16103082827079e-17,1.0609340076752028e-15,True
internvl,OpenGVLab/InternVL3-8B,cuda,3000,1673,0.5576666666666666,80,236,random_forest,random_forest_regressor,2202,0.734,-0.17633333333333334,-0.2538794250079977,-0.09781106296017289,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,504,1033,3.7156898363463115e-42,8.174517639961886e-41,True
internvl,OpenGVLab/InternVL3-8B,cuda,3000,1673,0.5576666666666666,80,236,language_best,svr,2274,0.758,-0.20033333333333336,-0.2730409726445133,-0.12466505973345195,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,400,1001,1.1290533811881924e-59,2.7097281148516617e-58,True
gemma,google/gemma-3-12b-it,cuda,3000,1888,0.6293333333333333,9,36,random_forest,random_forest_regressor,2202,0.734,-0.10466666666666669,-0.17837756498056126,-0.03278118505715524,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,530,844,2.237502727855033e-17,3.3562540917825497e-16,True
gemma,google/gemma-3-12b-it,cuda,3000,1888,0.6293333333333333,9,36,language_best,svr,2274,0.758,-0.1286666666666667,-0.19893762139172075,-0.05908106943978173,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,454,840,4.1155728822777004e-27,7.40803118809986e-26,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,3000,1694,0.5646666666666667,12,28,random_forest,random_forest_regressor,2202,0.734,-0.16933333333333334,-0.24738427820295808,-0.09090832593861878,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,572,1080,2.910587353864044e-36,6.112233443114492e-35,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,3000,1694,0.5646666666666667,12,28,language_best,svr,2274,0.758,-0.19333333333333336,-0.26380199713119273,-0.12016087141876776,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,430,1010,5.066390551452915e-54,1.1652698268341704e-52,True
phi,microsoft/Phi-4-multimodal-instruct,cuda,3000,1135,0.37833333333333335,514,1367,random_forest,random_forest_regressor,2202,0.734,-0.35566666666666663,-0.43514550600733537,-0.2764220513127615,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,422,1489,4.859342417479333e-139,1.4092093010690066e-137,True
phi,microsoft/Phi-4-multimodal-instruct,cuda,3000,1135,0.37833333333333335,514,1367,language_best,svr,2274,0.758,-0.37966666666666665,-0.4533084283940312,-0.30458499848206483,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,329,1468,2.2793649055768903e-171,6.83809471673067e-170,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,3000,2003,0.6676666666666666,77,195,random_forest,random_forest_regressor,1884,0.628,0.03966666666666663,-0.042560913089390265,0.12170361342240107,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,668,549,0.000711995054176173,0.004983965379233211,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,3000,2003,0.6676666666666666,77,195,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,0.02100000000000002,-0.06191653026975693,0.1051938496491237,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,570,507,0.05881127055345281,0.2306133809909353,False
internvl,OpenGVLab/InternVL3-8B,python,3000,1529,0.5096666666666667,75,268,random_forest,random_forest_regressor,1884,0.628,-0.11833333333333329,-0.22462193488937285,-0.00775939216728691,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,720,1075,5.1794310029150333e-17,7.251203404081046e-16,True
internvl,OpenGVLab/InternVL3-8B,python,3000,1529,0.5096666666666667,75,268,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,-0.1369999999999999,-0.24032074988874053,-0.02753630956723808,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,662,1073,4.6269808446604893e-23,7.865867435922832e-22,True
gemma,google/gemma-3-12b-it,python,3000,1870,0.6233333333333333,24,42,random_forest,random_forest_regressor,1884,0.628,-0.004666666666666708,-0.1019989916697117,0.09126439266731472,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,665,679,0.7229006456930229,0.7229006456930229,False
