model_key,model,language,n,debiased_correct_pairs,debiased_accuracy,content_ties,boundaries_abs_c_eq_abs_b,baseline_type,baseline_model,baseline_correct_pairs,baseline_accuracy,diff_debiased_minus_baseline,snippet_cluster_ci_low,snippet_cluster_ci_high,bootstrap_replicates_requested,bootstrap_replicates_used,bootstrap_seed,bootstrap_method,vlm_only_correct,baseline_only_correct,mcnemar_exact_p,holm_p_30_comparisons,holm_reject_0_05
qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,3000,1756,0.5853333333333334,85,224,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.04633333333333334,-0.1012481436539855,0.009896615146655071,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,574,713,0.00011803870862384015,0.0009443096689907212,True
internvl,OpenGVLab/InternVL3-8B,java,3000,1388,0.46266666666666667,72,249,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.16900000000000004,-0.23144411253507777,-0.10558259031547498,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,572,1079,3.80952135390807e-36,7.619042707816141e-35,True
gemma,google/gemma-3-12b-it,java,3000,1823,0.6076666666666667,18,31,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.02400000000000002,-0.07765774119665546,0.030790429545232145,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,598,670,0.046122676198187065,0.2306133809909353,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,3000,1620,0.54,12,32,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.09166666666666667,-0.15371695835402133,-0.0288399668217592,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,649,924,4.334236240162451e-12,4.767659864178696e-11,True
phi,microsoft/Phi-4-multimodal-instruct,java,3000,1136,0.37866666666666665,442,1368,language_best,Multilayer Perceptron,1895,0.6316666666666667,-0.25300000000000006,-0.3183983652179465,-0.18510876470209825,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,528,1287,5.715865541993399e-73,1.5432836963382177e-71,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,3000,2015,0.6716666666666666,76,226,language_best,svr,2274,0.758,-0.08633333333333337,-0.14965984928245296,-0.02454752674994471,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,356,615,8.16103082827079e-17,1.0609340076752028e-15,True
internvl,OpenGVLab/InternVL3-8B,cuda,3000,1673,0.5576666666666666,80,236,language_best,svr,2274,0.758,-0.20033333333333336,-0.2730409726445133,-0.12466505973345195,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,400,1001,1.1290533811881924e-59,2.7097281148516617e-58,True
gemma,google/gemma-3-12b-it,cuda,3000,1888,0.6293333333333333,9,36,language_best,svr,2274,0.758,-0.1286666666666667,-0.19893762139172075,-0.05908106943978173,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,454,840,4.1155728822777004e-27,7.40803118809986e-26,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,3000,1694,0.5646666666666667,12,28,language_best,svr,2274,0.758,-0.19333333333333336,-0.26380199713119273,-0.12016087141876776,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,430,1010,5.066390551452915e-54,1.1652698268341704e-52,True
phi,microsoft/Phi-4-multimodal-instruct,cuda,3000,1135,0.37833333333333335,514,1367,language_best,svr,2274,0.758,-0.37966666666666665,-0.4533084283940312,-0.30458499848206483,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,329,1468,2.2793649055768903e-171,6.83809471673067e-170,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,3000,2003,0.6676666666666666,77,195,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,0.02100000000000002,-0.06191653026975693,0.1051938496491237,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,570,507,0.05881127055345281,0.2306133809909353,False
internvl,OpenGVLab/InternVL3-8B,python,3000,1529,0.5096666666666667,75,268,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,-0.1369999999999999,-0.24032074988874053,-0.02753630956723808,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,662,1073,4.6269808446604893e-23,7.865867435922832e-22,True
gemma,google/gemma-3-12b-it,python,3000,1870,0.6233333333333333,24,42,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,-0.023333333333333317,-0.1216606940418312,0.07286609117286413,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,606,676,0.05392433712490032,0.2306133809909353,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,3000,1573,0.5243333333333333,11,28,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,-0.1223333333333333,-0.23002506272935486,-0.013507899445612022,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,652,1019,2.484157503728936e-19,3.974652005966297e-18,True
phi,microsoft/Phi-4-multimodal-instruct,python,3000,1134,0.378,462,1247,language_best,Voting ensemble (LR+NB+RF),1940,0.6466666666666666,-0.2686666666666666,-0.3759058758549893,-0.15342661389814527,10000,10000,42,two-endpoint snippet multiplicity-product percentile CI,601,1407,3.620548546944885e-74,1.0137535931445677e-72,True
