model_key,model,language,pairs,valid_pairs,correct_valid_pairs,valid_accuracy,valid_ci_low,valid_ci_high,effective_accuracy,effective_ci_low,effective_ci_high,strict_swap_error,capability_evidence,operational_evidence,direct_failure_evidence
qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,16,8,7,0.875,0.5291118177871464,0.9775825085499433,0.4375,0.23098652405492354,0.6682144360118811,0.5,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,17,9,6,0.6666666666666666,0.3542021355803963,0.879416181613089,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.47058823529411764,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,17,7,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.23529411764705882,0.09555044322080117,0.4726179811956498,0.5882352941176471,False,False,False
internvl,OpenGVLab/InternVL3-8B,cuda,16,6,3,0.5,0.1876163064826506,0.8123836935173494,0.1875,0.06591599071428142,0.4300888096197414,0.625,False,False,False
internvl,OpenGVLab/InternVL3-8B,java,17,11,2,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.11764705882352941,0.03287977376379267,0.3433635059488588,0.3529411764705882,False,False,True
internvl,OpenGVLab/InternVL3-8B,python,17,6,3,0.5,0.1876163064826506,0.8123836935173494,0.17647058823529413,0.06191126637620997,0.41029458568834126,0.6470588235294117,False,False,False
phi,microsoft/Phi-4-multimodal-instruct,cuda,16,11,5,0.45454545454545453,0.21271271622459764,0.719908462590678,0.3125,0.14164643854782039,0.5559564416525933,0.3125,False,False,False
phi,microsoft/Phi-4-multimodal-instruct,java,17,12,3,0.25,0.08894166839405471,0.5323053349335657,0.17647058823529413,0.06191126637620997,0.41029458568834126,0.2941176470588235,False,False,False
phi,microsoft/Phi-4-multimodal-instruct,python,17,9,4,0.4444444444444444,0.18877852109766452,0.733348706504507,0.23529411764705882,0.09555044322080117,0.4726179811956498,0.47058823529411764,False,False,False
gemma,google/gemma-3-12b-it,cuda,16,14,13,0.9285714285714286,0.6853129557584889,0.9872777847521093,0.8125,0.5699111903802586,0.9340840092857187,0.125,True,True,False
gemma,google/gemma-3-12b-it,java,17,16,9,0.5625,0.331785563988119,0.7690134759450765,0.5294117647058824,0.30963235060004424,0.7383489355759056,0.05882352941176472,False,False,False
gemma,google/gemma-3-12b-it,python,17,15,10,0.6666666666666666,0.41713547738519774,0.8482367556028526,0.5882352941176471,0.3600544264299978,0.7838894320978518,0.11764705882352944,False,False,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,16,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.625,0.38641040545502714,0.8151876744113636,0.25,True,False,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,17,10,5,0.5,0.236593090512564,0.7634069094874361,0.29411764705882354,0.1327998961029523,0.5313311006653985,0.4117647058823529,False,False,False
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,17,11,7,0.6363636363636364,0.35380117450784887,0.8483352890463243,0.4117647058823529,0.2161105679021481,0.6399455735700021,0.3529411764705882,False,False,False
