model_key,model,concurrency_group,scope,scope_value,pairs,valid_pairs,valid_coverage,correct_valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,spearman_valid_only,spearman_coverage,ab_accuracy,ba_accuracy,debiased_accuracy,content_ties,mean_abs_content_margin,median_abs_content_margin,mean_abs_position_margin,first_position_choice_rate
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,overall,all,9000,4880,0.5422222222222223,3473,0.7116803278688525,0.3858888888888889,0.45777777777777773,0.45845355189050463,0.5422222222222223,0.6231111111111111,0.6064444444444445,0.6415555555555555,238,0.7894930555555556,0.6875,0.6927013888888889,0.2786666666666667
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,cuda,3000,1860,0.62,1394,0.7494623655913979,0.4646666666666667,0.38,0.5506584123957613,0.62,0.6653333333333333,0.644,0.6716666666666666,76,0.8182708333333333,0.6875,0.5592708333333334,0.32033333333333336
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,java,3000,1575,0.525,982,0.6234920634920635,0.3273333333333333,0.475,0.27382102848030004,0.525,0.5726666666666667,0.557,0.5853333333333334,85,0.733875,0.625,0.6845416666666667,0.2698333333333333
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,language,python,3000,1445,0.4816666666666667,1097,0.7591695501730104,0.36566666666666664,0.5183333333333333,0.5310662886182494,0.4816666666666667,0.6313333333333333,0.6183333333333333,0.6676666666666666,77,0.8163333333333334,0.6875,0.8342916666666667,0.24583333333333332
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,difficulty,easy,3000,1847,0.6156666666666667,1507,0.8159177043854899,0.5023333333333333,0.3843333333333333,0.588963732345455,0.6156666666666667,0.7066666666666667,0.6823333333333333,0.7356666666666667,66,0.9387083333333334,0.8125,0.6957083333333334,0.31583333333333335
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,difficulty,hard,3000,1499,0.49966666666666665,899,0.5997331554369579,0.2996666666666667,0.5003333333333333,0.18476320175847064,0.49966666666666665,0.552,0.5476666666666666,0.565,91,0.692625,0.59375,0.689,0.25683333333333336
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,difficulty,medium,3000,1534,0.5113333333333333,1067,0.6955671447196871,0.3556666666666667,0.4886666666666667,0.3576288260468079,0.5113333333333333,0.6106666666666667,0.5893333333333334,0.624,81,0.7371458333333333,0.625,0.6933958333333333,0.2633333333333333
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,overall,all,9000,4506,0.5006666666666667,2226,0.4940079893475366,0.24733333333333332,0.4993333333333333,-0.015885787970369172,0.5006666666666667,0.5081111111111111,0.48588888888888887,0.51,227,0.8623819444444445,0.6875,0.7363819444444445,0.739
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,cuda,3000,1290,0.43,703,0.5449612403100775,0.23433333333333334,0.5700000000000001,0.09515067224005874,0.43,0.5366666666666666,0.502,0.5576666666666666,80,0.7718541666666666,0.5625,0.7446875,0.7783333333333333
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,java,3000,1922,0.6406666666666667,901,0.46878251821019773,0.30033333333333334,0.3593333333333333,-0.06112478258856856,0.6406666666666667,0.489,0.471,0.46266666666666667,72,0.9511041666666666,0.8125,0.6058125,0.6573333333333333
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,language,python,3000,1294,0.43133333333333335,622,0.4806800618238022,0.20733333333333334,0.5686666666666667,-0.04781500077393001,0.43133333333333335,0.49866666666666665,0.4846666666666667,0.5096666666666667,75,0.8641875,0.6875,0.8586458333333333,0.7813333333333333
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,difficulty,easy,3000,1582,0.5273333333333333,773,0.488621997471555,0.25766666666666665,0.4726666666666667,-0.01015778436628784,0.5273333333333333,0.5156666666666667,0.4723333333333333,0.5306666666666666,64,0.907875,0.75,0.7462083333333334,0.727
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,difficulty,hard,3000,1442,0.4806666666666667,706,0.4895977808599168,0.23533333333333334,0.5193333333333333,-0.013016658290908104,0.4806666666666667,0.49766666666666665,0.49233333333333335,0.4866666666666667,91,0.8195833333333333,0.625,0.7259166666666667,0.748
internvl,OpenGVLab/InternVL3-8B,pair1_qwen_internvl,difficulty,medium,3000,1482,0.494,747,0.5040485829959515,0.249,0.506,-0.002328240292660275,0.494,0.511,0.493,0.5126666666666667,72,0.8596875,0.6875,0.7370208333333333,0.742
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,overall,all,9000,7039,0.7821111111111111,4532,0.6438414547520954,0.5035555555555555,0.2178888888888889,0.3281932510646155,0.7821111111111111,0.6052222222222222,0.6197777777777778,0.6201111111111111,51,5.630319444444445,6.125,1.8707222222222222,0.5595
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,cuda,3000,2467,0.8223333333333334,1610,0.652614511552493,0.5366666666666666,0.17766666666666664,0.3601568945763549,0.8223333333333334,0.6303333333333333,0.6206666666666667,0.6293333333333333,9,5.710041666666666,6.125,1.6145833333333333,0.5141666666666667
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,java,3000,2437,0.8123333333333334,1524,0.6253590480098482,0.508,0.18766666666666665,0.2955732948408025,0.8123333333333334,0.5933333333333334,0.6103333333333333,0.6076666666666667,18,6.011708333333333,6.625,1.750875,0.5538333333333333
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,python,3000,2135,0.7116666666666667,1398,0.6548009367681499,0.466,0.28833333333333333,0.336725028025656,0.7116666666666667,0.592,0.6283333333333333,0.6233333333333333,24,5.169208333333334,5.5,2.2467083333333333,0.6105
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,difficulty,easy,3000,2411,0.8036666666666666,1771,0.7345499792617172,0.5903333333333334,0.19633333333333336,0.46245044115024747,0.8036666666666666,0.6776666666666666,0.6993333333333334,0.7026666666666667,18,5.940375,6.5,1.765,0.5518333333333333
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,difficulty,hard,3000,2285,0.7616666666666667,1278,0.5592997811816193,0.426,0.23833333333333329,0.12343416491577697,0.7616666666666667,0.5443333333333333,0.546,0.548,16,5.4113125,5.875,1.9528958333333333,0.5685
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,difficulty,medium,3000,2343,0.781,1483,0.6329492104139991,0.49433333333333335,0.21899999999999997,0.25816793343438793,0.781,0.5936666666666667,0.614,0.6096666666666667,17,5.539270833333333,6.0,1.8942708333333333,0.5581666666666667
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,overall,all,9000,6004,0.6671111111111111,3307,0.5507994670219853,0.36744444444444446,0.3328888888888889,0.1167908659935948,0.6671111111111111,0.5358888888888889,0.5318888888888889,0.543,35,3.3484479166666667,3.203125,1.8391354166666667,0.6098888888888889
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,cuda,3000,1914,0.638,1112,0.58098223615465,0.37066666666666664,0.362,0.15754884132314323,0.638,0.559,0.5443333333333333,0.5646666666666667,12,3.3227604166666667,3.0625,1.9097604166666666,0.632
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,java,3000,2164,0.7213333333333334,1168,0.5397412199630314,0.3893333333333333,0.2786666666666666,0.1100510112659327,0.7213333333333334,0.5513333333333333,0.506,0.54,12,3.3567291666666668,3.3125,1.5353541666666666,0.551
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,python,3000,1926,0.642,1027,0.5332294911734164,0.3423333333333333,0.358,0.08786644180568992,0.642,0.49733333333333335,0.5453333333333333,0.5243333333333333,11,3.365854166666667,3.25,2.0722916666666666,0.6466666666666666
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,difficulty,easy,3000,1998,0.666,1155,0.5780780780780781,0.385,0.33399999999999996,0.17192412941495397,0.666,0.5566666666666666,0.5473333333333333,0.57,11,3.3886666666666665,3.3125,1.8457708333333334,0.6176666666666667
