language,model,display_model,pairs,ties,decision_sign_spearman_all_zero_ties,decision_sign_p_all_zero_ties,decision_sign_spearman_non_tie,decision_sign_p_non_tie,continuous_diff_spearman,continuous_diff_p
java,Multilayer Perceptron,Multilayer Perceptron,3000,0,0.2979114591209522,1.5265721553074542e-62,0.2979114591209522,1.5265721553074542e-62,0.3289229503480642,1.2682906257483042e-76
python,Multilayer Perceptron,Multilayer Perceptron,3000,2,0.2913073512329609,9.277448962018226e-60,0.2913182317063326,1.0036035893736858e-59,0.3589210757371957,6.699007061436517e-92
cuda,Multilayer Perceptron,Multilayer Perceptron,3000,1,0.441364132333056,2.9240368376752266e-143,0.44136949074871856,3.230543104444465e-143,0.5441043993154301,7.816506658290844e-231
java,random_forest_regressor,Random Forest,3000,0,0.2926554333667295,2.5420406639944216e-60,0.2926554333667295,2.5420406639944216e-60,0.36546744060776987,1.8401826186166738e-95
python,random_forest_regressor,Random Forest,3000,2,0.29222519430072896,3.8455216126542513e-60,0.29227712962999575,4.0012522383402147e-60,0.386230853903258,2.5521093202711157e-107
cuda,random_forest_regressor,Random Forest,3000,1,0.524662241319005,7.030570263094744e-212,0.5246573979332013,8.347234460388922e-212,0.6332620067249167,0.0
java,gradient_boosting_regressor,Gradient Boosting,3000,0,0.27415175795386776,7.213519369721009e-53,0.27415175795386776,7.213519369721009e-53,0.3137934176009364,1.5257688068639227e-69
python,gradient_boosting_regressor,Gradient Boosting,3000,2,0.2824552052816028,3.8355493896618247e-56,0.2825583268520692,3.790788727434029e-56,0.35115445547186797,8.782274238633254e-88
cuda,gradient_boosting_regressor,Gradient Boosting,3000,1,0.5233666170665384,1.1658604675011247e-210,0.5233619049595476,1.3824490198748757e-210,0.6216819975806978,0.0
java,svr,SVR,3000,0,0.26606329392823835,8.700585142912638e-50,0.26606329392823835,8.700585142912638e-50,0.3391891221168074,1.1578845445504775e-81
python,svr,SVR,3000,2,0.22588198775805882,5.169559606220977e-36,0.22595137309425772,5.1846129273357466e-36,0.26578533256090653,1.1055094846473285e-49
cuda,svr,SVR,3000,1,0.576142821384844,6.317114945166537e-265,0.5761365775137344,7.855917614229316e-265,0.6879955489612524,0.0
java,Voting ensemble (LR+NB+RF),Voting (LR+NB+RF),3000,0,0.24854149194376468,1.8013070373254715e-43,0.24854149194376468,1.8013070373254715e-43,0.29454026111593473,4.110905390251664e-61
python,Voting ensemble (LR+NB+RF),Voting (LR+NB+RF),3000,2,0.32586588939725347,3.688446874446583e-75,0.3259082318028265,3.9409231664936123e-75,0.3926846308999335,3.4831220638670136e-111
cuda,Voting ensemble (LR+NB+RF),Voting (LR+NB+RF),3000,1,0.4871082310782245,1.397946001930418e-178,0.48711147026193025,1.591047240852665e-178,0.5645639719518819,3.5865421215689284e-252
java,linear_regression,Linear Regression,3000,0,0.22364896923641495,2.54667119215231e-35,0.22364896923641495,2.54667119215231e-35,0.26183533890352617,3.223018577935157e-48
python,linear_regression,Linear Regression,3000,2,0.27740912264349266,3.865066583653419e-54,0.2774274906703867,4.11971116072745e-54,0.35241538784540205,1.9184379214636722e-88
cuda,linear_regression,Linear Regression,3000,1,0.5293504403375091,2.4500376902096605e-216,0.5293520137938961,2.8782950418597663e-216,0.6417802970634083,0.0
java,"Scalabrino-LR (replicated, not official tool)",Scalabrino-LR (replicated),3000,0,0.20518263608693854,7.03253399791223e-30,0.20518263608693854,7.03253399791223e-30,0.26090473001673226,7.074712483152805e-48
python,"Scalabrino-LR (replicated, not official tool)",Scalabrino-LR (replicated),3000,2,0.32472378035261057,1.2862645073034626e-74,0.3247561975458761,1.3883928279774114e-74,0.3985882133861411,8.512113929260959e-115
cuda,"Scalabrino-LR (replicated, not official tool)",Scalabrino-LR (replicated),3000,1,0.4207664738933163,4.875141455797698e-129,0.4207721410333394,5.328365344933174e-129,0.5214148835269562,7.834011557009764e-209
java,Logistic Regression,Logistic Regression,3000,0,0.20203707481372357,5.292778983804461e-29,0.20203707481372357,5.292778983804461e-29,0.2579438314982072,8.450865954403042e-47
python,Logistic Regression,Logistic Regression,3000,2,0.3237921405201057,3.54905828996756e-74,0.3238254602901397,3.8249876949854885e-74,0.3966030131479171,1.4218425075131415e-113
cuda,Logistic Regression,Logistic Regression,3000,1,0.4197896330909595,2.1787143759152023e-128,0.4197952132941889,2.380459355152549e-128,0.5198487484532633,2.2474791409295888e-207
java,Naive Bayes,Naive Bayes,3000,0,0.14112170831787607,8.15017816391985e-15,0.14112170831787607,8.15017816391985e-15,0.18032076980172976,2.4185929146444802e-23
python,Naive Bayes,Naive Bayes,3000,4,0.31692641986216125,5.632632167970471e-71,0.31726947128184096,4.844143040787764e-71,0.3472433964705077,9.410518942778822e-86
cuda,Naive Bayes,Naive Bayes,3000,1,0.35133460624205026,7.069732968555363e-88,0.3513448374685992,7.4599021658389e-88,0.43541101289270195,4.7673606886789406e-139
