snippet_id,language,image_path,image_sha256,width,height,pixel_std_mean,nonconstant
dorn_cuda_000,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_000.png,d3e89fe7a9ce3cf359ce2af75807e8155bd08c4abcc39d917d605a495ac447f4,1028,1217,43.43685560231406,True
dorn_cuda_001,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_001.png,eee01ad5f3b7c6acd71558d74e976e8a35e863cf37cf1a702be966988d17bfed,1028,230,46.543671982595036,True
dorn_cuda_002,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_002.png,36dbc7915529ecf7223f51a94906dd2893073d82f911d1bcde684bbf61b79ff4,1028,188,32.79371404784989,True
dorn_cuda_003,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_003.png,3410c44014c31075a7b559dc87c48f47207ec72cef8f775405ea82fe7b2c36e1,1028,755,44.72893626887112,True
dorn_cuda_004,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_004.png,cc656ed73d605fd1a6af3ff6d8a6fa01d98657f2f430edf273f22390bc43a9c1,1028,1091,31.46773296359901,True
dorn_cuda_005,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_005.png,7d27e4980f76c47a7a1bd2f287306ab241bca0db9ac08201fbafacd7af36feda,1028,650,38.066444778894244,True
dorn_cuda_006,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_006.png,b3ef708df0b943c98fe5c3ddc9a7bd03df8cd52bd0f4b2e8cf285080ec909cb6,1028,293,43.029695971057,True
dorn_cuda_007,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_007.png,546a9bcd75675e8fd2a20ccc0f481ab2c81046090c8232e146cc7385faad00dd,1028,1133,38.646694296417024,True
dorn_cuda_008,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_008.png,53f2a159ba9bb1c4d410ef904753774c3d8d06d614d7ad146feea590f8ec03dd,1028,230,44.682074161244195,True
dorn_cuda_009,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_009.png,9026e4c2a6b7a8a4db2b94cf582894f6a423d7950f0e142ae45f71c4d5c4e5d7,1028,629,40.433981107772844,True
dorn_cuda_010,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_010.png,eec4c926e21ed37a8e073d4ca77a5f6d171a4eeb481950ffee409728d5f4f858,1028,1343,47.033578873717204,True
dorn_cuda_011,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_011.png,4527f2cfe8267e8f64bab9c92d8df395f95defef2c3e2f0265d9ec731fecb0ef,1028,230,34.43653705497835,True
dorn_cuda_012,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_012.png,acb585ead34972a2eac041a2486525f0c27e740b65c38f1847474730e3a36ed6,1028,188,35.44873719089386,True
dorn_cuda_013,cuda,results/grounded_protocol_3lang_20260721/rendered/grid/monokai_dark__fs20__wrap80__lnon/dorn_cuda_013.png,88b5529410715652d4a327185cfc7a83738c984809e3b04f7369a05880b675d6,1028,629,35.73963165187279,True
