judge,language,valid,valid_lo,valid_hi,E,E_lo,E_hi
Qwen2.5-VL-7B,java,0.6234920634920635,0.5615663191291733,0.6836123098500377,0.3273333333333333,0.2816163108952428,0.37274089895370577
Qwen2.5-VL-7B,python,0.7591695501730104,0.6577991835082155,0.848261809702135,0.36566666666666664,0.287827093675844,0.44412040257630586
Qwen2.5-VL-7B,cuda,0.7494623655913979,0.684124675774255,0.810419379604208,0.4646666666666667,0.3989619230832665,0.5297850339367841
Qwen3-VL-8B,java,0.6220767072029935,0.5701994301611226,0.6726114370856263,0.44333333333333336,0.3998625842645891,0.48619430943423225
Qwen3-VL-8B,python,0.6157849089332177,0.5354114136259596,0.6913768175639494,0.47333333333333333,0.40325217494252263,0.5419432627924207
Qwen3-VL-8B,cuda,0.6275,0.5534665886677053,0.6997914010046979,0.41833333333333333,0.35602865936113726,0.47856821771614433
Gemma-3-12B,java,0.6253590480098482,0.5781307657178982,0.6712564203217362,0.508,0.4653482829365039,0.5493481663818753
Gemma-3-12B,python,0.6548009367681499,0.5632220091845564,0.7413987576694007,0.466,0.3892305765090953,0.5437005105176179
Gemma-3-12B,cuda,0.652614511552493,0.592847108809094,0.7092794115530221,0.5366666666666666,0.48035867373578783,0.5894670386168627
Gemma4-12B,java,0.618920972644377,0.5739094413230098,0.6635072155237952,0.543,0.5017642918824633,0.5842403672784309
Gemma4-12B,python,0.6876475216365067,0.6120679489264801,0.7568756496520642,0.5826666666666667,0.5082504220104028,0.6541871573201231
Gemma4-12B,cuda,0.7012882447665056,0.6411289974580615,0.7608973049333754,0.5806666666666667,0.5214815974997896,0.6380597949318516
InternVL3.5-8B,java,0.6027197668771248,0.5509279550728977,0.6531692238568301,0.4136666666666667,0.37031972183051637,0.4571629025188999
InternVL3.5-8B,python,0.7134502923976608,0.6261567687871271,0.7915218960906236,0.44733333333333336,0.37364763165530246,0.5184567353101575
InternVL3.5-8B,cuda,0.6592984142239308,0.5860266159695817,0.7304963150636772,0.4573333333333333,0.39320120204676046,0.5204884617092541
InternVL3-8B,java,0.46878251821019773,0.4098423480348793,0.5272332214338394,0.30033333333333334,0.25605389660485467,0.3442412282579227
InternVL3-8B,python,0.4806800618238022,0.37191063168154465,0.5938039667937732,0.20733333333333334,0.15400333871535313,0.26545997180839637
InternVL3-8B,cuda,0.5449612403100775,0.44888577620181874,0.6426017042551183,0.23433333333333334,0.1797905980852623,0.2910483713802667
Ministral-3-8B,java,0.5397412199630314,0.4849702363326823,0.5928265223351619,0.3893333333333333,0.34681834382422183,0.4325361405779087
Ministral-3-8B,python,0.5332294911734164,0.4356131241714538,0.628180038688283,0.3423333333333333,0.27374484059674636,0.41231151704836005
Ministral-3-8B,cuda,0.58098223615465,0.506972778571244,0.6556443542394323,0.37066666666666664,0.3154719964646011,0.4259009182312506
Phi-4-multimodal,java,0.44875478927203066,0.3934252524695895,0.5041957995092937,0.31233333333333335,0.2700506809753272,0.3556315477570203
Phi-4-multimodal,python,0.44601856375183196,0.3635482715986839,0.5289826427968216,0.30433333333333334,0.24739798083439424,0.36217947383886706
Phi-4-multimodal,cuda,0.45117370892018777,0.38940310377827897,0.5134628839438519,0.32033333333333336,0.27486641580300697,0.36570900168038406
