judge,language,metric,point,ci_low,ci_high,n_pairs
Qwen2.5-VL-7B,java,valid,0.6234920634920635,0.5615663191291733,0.6836123098500377,3000
Qwen2.5-VL-7B,java,E,0.3273333333333333,0.2816163108952428,0.37274089895370577,3000
Qwen2.5-VL-7B,java,D,0.5853333333333334,0.5404773155235107,0.6289845785290069,3000
Qwen2.5-VL-7B,java,S,0.475,0.42128402652111935,0.5334006372706286,3000
Qwen2.5-VL-7B,python,valid,0.7591695501730104,0.6577991835082155,0.848261809702135,3000
Qwen2.5-VL-7B,python,E,0.36566666666666664,0.287827093675844,0.44412040257630586,3000
Qwen2.5-VL-7B,python,D,0.6676666666666666,0.596118707864035,0.7343451450807366,3000
Qwen2.5-VL-7B,python,S,0.5183333333333333,0.44429224732594186,0.59553467012734,3000
Qwen2.5-VL-7B,cuda,valid,0.7494623655913979,0.684124675774255,0.810419379604208,3000
Qwen2.5-VL-7B,cuda,E,0.4646666666666667,0.3989619230832665,0.5297850339367841,3000
Qwen2.5-VL-7B,cuda,D,0.6716666666666666,0.6187317520657918,0.7234624363733783,3000
Qwen2.5-VL-7B,cuda,S,0.38,0.31298647732324125,0.4518897695197249,3000
Qwen2.5-VL-7B,pooled,valid,0.7116803278688525,0.666908271673834,0.7540277535464357,9000
Qwen2.5-VL-7B,pooled,E,0.3858888888888889,0.346274487761543,0.42413486431693453,9000
Qwen2.5-VL-7B,pooled,D,0.6415555555555555,0.6079077878948429,0.6737265271515313,9000
Qwen2.5-VL-7B,pooled,S,0.4577777777777778,0.41728686679280147,0.4997516500848466,9000
Qwen3-VL-8B,java,valid,0.6220767072029935,0.5701994301611226,0.6726114370856263,3000
Qwen3-VL-8B,java,E,0.44333333333333336,0.3998625842645891,0.48619430943423225,3000
Qwen3-VL-8B,java,D,0.5946666666666667,0.5521041040079518,0.6365468819723338,3000
Qwen3-VL-8B,java,S,0.28733333333333333,0.2507931062648044,0.3267798410948738,3000
Qwen3-VL-8B,python,valid,0.6157849089332177,0.5354114136259596,0.6913768175639494,3000
Qwen3-VL-8B,python,E,0.47333333333333333,0.40325217494252263,0.5419432627924207,3000
Qwen3-VL-8B,python,D,0.5973333333333334,0.5286395776138184,0.6629180104601988,3000
Qwen3-VL-8B,python,S,0.23133333333333334,0.18851481977699178,0.27798517562576386,3000
Qwen3-VL-8B,cuda,valid,0.6275,0.5534665886677053,0.6997914010046979,3000
Qwen3-VL-8B,cuda,E,0.41833333333333333,0.35602865936113726,0.47856821771614433,3000
Qwen3-VL-8B,cuda,D,0.6053333333333333,0.5467390821872287,0.6623376623376623,3000
Qwen3-VL-8B,cuda,S,0.3333333333333333,0.27172324519746316,0.4003909090572878,3000
Qwen3-VL-8B,pooled,valid,0.6215083798882681,0.5813948939112713,0.6604548867829448,9000
Qwen3-VL-8B,pooled,E,0.445,0.4108222209107441,0.4785699522487776,9000
Qwen3-VL-8B,pooled,D,0.5991111111111111,0.5666736082461852,0.6316788863444345,9000
Qwen3-VL-8B,pooled,S,0.284,0.2549398782649989,0.3158977431298624,9000
Gemma-3-12B,java,valid,0.6253590480098482,0.5781307657178982,0.6712564203217362,3000
Gemma-3-12B,java,E,0.508,0.4653482829365039,0.5493481663818753,3000
Gemma-3-12B,java,D,0.6076666666666667,0.5669954346875948,0.6478701371907764,3000
Gemma-3-12B,java,S,0.18766666666666668,0.15854859438035374,0.21949683058669933,3000
Gemma-3-12B,python,valid,0.6548009367681499,0.5632220091845564,0.7413987576694007,3000
Gemma-3-12B,python,E,0.466,0.3892305765090953,0.5437005105176179,3000
Gemma-3-12B,python,D,0.6233333333333333,0.5491164143778176,0.6949548026372858,3000
Gemma-3-12B,python,S,0.28833333333333333,0.23403335974097547,0.3484304459405351,3000
Gemma-3-12B,cuda,valid,0.652614511552493,0.592847108809094,0.7092794115530221,3000
Gemma-3-12B,cuda,E,0.5366666666666666,0.48035867373578783,0.5894670386168627,3000
Gemma-3-12B,cuda,D,0.6293333333333333,0.5772423970860967,0.6788409301549233,3000
Gemma-3-12B,cuda,S,0.17766666666666667,0.14560709835491775,0.21292077049954156,3000
Gemma-3-12B,pooled,valid,0.6438414547520954,0.6047384523024767,0.6799090432642687,9000
Gemma-3-12B,pooled,E,0.5035555555555555,0.46775068301584904,0.5371895607981518,9000
Gemma-3-12B,pooled,D,0.6201111111111111,0.5863370736870112,0.6513053073449687,9000
Gemma-3-12B,pooled,S,0.21788888888888888,0.19241686981833447,0.244953910067788,9000
Gemma4-12B,java,valid,0.618920972644377,0.5739094413230098,0.6635072155237952,3000
Gemma4-12B,java,E,0.543,0.5017642918824633,0.5842403672784309,3000
Gemma4-12B,java,D,0.608,0.5655523234208775,0.6499680746561886,3000
Gemma4-12B,java,S,0.12266666666666666,0.10138955785773109,0.14564436765662025,3000
Gemma4-12B,python,valid,0.6876475216365067,0.6120679489264801,0.7568756496520642,3000
Gemma4-12B,python,E,0.5826666666666667,0.5082504220104028,0.6541871573201231,3000
Gemma4-12B,python,D,0.658,0.5882727820290012,0.7240802472309152,3000
Gemma4-12B,python,S,0.15266666666666667,0.12099626286943117,0.18715182708866399,3000
Gemma4-12B,cuda,valid,0.7012882447665056,0.6411289974580615,0.7608973049333754,3000
Gemma4-12B,cuda,E,0.5806666666666667,0.5214815974997896,0.6380597949318516,3000
Gemma4-12B,cuda,D,0.6726666666666666,0.6204663524464619,0.7245540598440953,3000
Gemma4-12B,cuda,S,0.172,0.13954073631851746,0.20869051120791487,3000
Gemma4-12B,pooled,valid,0.6684512927657352,0.6321962881514062,0.7027536737253856,9000
Gemma4-12B,pooled,E,0.5687777777777778,0.5336467333573824,0.6020143008923748,9000
Gemma4-12B,pooled,D,0.6462222222222223,0.6134260755407508,0.6777648693340688,9000
Gemma4-12B,pooled,S,0.1491111111111111,0.13209927954450718,0.16782604825393388,9000
InternVL3.5-8B,java,valid,0.6027197668771248,0.5509279550728977,0.6531692238568301,3000
InternVL3.5-8B,java,E,0.4136666666666667,0.37031972183051637,0.4571629025188999,3000
InternVL3.5-8B,java,D,0.5823333333333334,0.5393974368474215,0.6246667763157895,3000
