engine,rq0_id,language,length_sample_rank,condition,image_path,ocr_text,status,error,mean_confidence,runtime_sec,baseline_ocr,cer_vs_clean_ocr,token_f1_vs_clean_ocr
rapidocr,dorn_cuda_062,cuda,0,gaussian_sigma_1,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_1/dorn_cuda_062.png,"1234567
syncthreads();
tstep;
pos
step;",ok,,,1.048433542251587,"syncthreads();
3456-
tstep;
step;
pos",0.5945945945945946,0.8571428571428572
rapidocr,dorn_cuda_062,cuda,0,gaussian_sigma_2,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_2/dorn_cuda_062.png,"H234567
syncthreads();
tstep:
step;",ok,,,0.9524211883544922,"syncthreads();
3456-
tstep;
step;
pos",0.5135135135135135,0.7000000000000001
rapidocr,dorn_cuda_062,cuda,0,gaussian_sigma_4,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_4/dorn_cuda_062.png,,empty,,,0.8133294582366943,"syncthreads();
3456-
tstep;
step;
pos",1.0,0.0
rapidocr,dorn_cuda_052,cuda,1,gaussian_sigma_1,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_1/dorn_cuda_052.png,"123456789
for
(intn=
threadIdx.x;n<
numNeurons;n +=
blockDim.x)
int idx
SAMPLE
numNeurons
+n;
cudafloat o=i
inputs[idx];
if
(IsInfOrNaN(o)）{
0 = CUDA_VALUE(0.0);
Jelse
cudafloat
weights[n];
10
cudafloat b
bias[n];",ok,,,0.7990999221801758,"1234567
for
int
n=
threadIdx.x; n
numNeurons; n
blockDim.x)
int
idx =
SAMPLE
numNeurons
+ n;
cudafloat
o = inputs[idx];
if
(IsInfOrNaN(o)){
CUDA VALUE(0.0) ;
0=(
f else
cudafloat
weights[n];
10
cudafloat
bias[n];",0.13679245283018868,0.8702290076335878
rapidocr,dorn_cuda_052,cuda,1,gaussian_sigma_2,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_2/dorn_cuda_052.png,"for
(int n
threadldx.x;n<
nunNeurons: n +m
blockDim.x)(
int idx
SAMPLE
nusNeurons
cudafloat om
inputs[idx];
if(IsInfOrNaN(o))
CUDA_VALUE(O.O):
Jelse(
weights[n];
cudafloat W
cudafloat b
bias[n]:",ok,,,0.7953193187713623,"1234567
for
int
n=
threadIdx.x; n
numNeurons; n
blockDim.x)
int
idx =
SAMPLE
numNeurons
+ n;
cudafloat
o = inputs[idx];
if
(IsInfOrNaN(o)){
CUDA VALUE(0.0) ;
0=(
f else
cudafloat
weights[n];
10
cudafloat
bias[n];",0.3113207547169811,0.6825396825396826
rapidocr,dorn_cuda_052,cuda,1,gaussian_sigma_4,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_4/dorn_cuda_052.png,,empty,,,0.5121486186981201,"1234567
for
int
n=
threadIdx.x; n
numNeurons; n
blockDim.x)
int
idx =
SAMPLE
numNeurons
+ n;
cudafloat
o = inputs[idx];
if
(IsInfOrNaN(o)){
CUDA VALUE(0.0) ;
0=(
f else
cudafloat
weights[n];
10
cudafloat
bias[n];",1.0,0.0
rapidocr,dorn_cuda_077,cuda,2,gaussian_sigma_1,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_1/dorn_cuda_077.png,"123456789
resultImageGradient.y,
resultImageGradient.z);
if(
resultImageGradient.X==resultImageGradient.x
resultImageGradient.y==resultImageGradient.y,&&
resultImageGradient.z==resultImageGradient.z)(
jointEntropyDerivativeX= 0.of
float
float
movingEntropyDerivative_X=0.of;
10
float
fixedEntropyDerivative_X
=0.0f;",ok,,,0.7688250541687012,"resultImageGradient.y:
1234567
resultImageGradient.z);
if(
resultImageGradient.x==resultImageGradient.x
resultImageGradient.y==resultImageGradient.y
&&
resultImageGradient.z==resultImageGradient.z){
float
jointEntropyDerivative X = 0.of;
float
movingEntropyDerivative X = 0.of;
X = 0.0f;
10
float
fixedEntropyDerivative",0.18181818181818182,0.864
rapidocr,dorn_cuda_077,cuda,2,gaussian_sigma_2,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_2/dorn_cuda_077.png,"resultImageGradient.Y:
resultImageGradient.:):
if(resultImageGradient.XmresultImageGradient.X
resultimageGradient.y
resultImageGradient.y
resultImageGradient.z)(
resultlmageGradient.z
floatjointEntropyDerivative_
floatmovingEntropyDerivative
float
fixedEntropyoerivative",ok,,,1.254817008972168,"resultImageGradient.y:
1234567
resultImageGradient.z);
if(
resultImageGradient.x==resultImageGradient.x
resultImageGradient.y==resultImageGradient.y
&&
resultImageGradient.z==resultImageGradient.z){
float
jointEntropyDerivative X = 0.of;
float
movingEntropyDerivative X = 0.of;
X = 0.0f;
10
float
fixedEntropyDerivative",0.2006269592476489,0.48979591836734687
rapidocr,dorn_cuda_077,cuda,2,gaussian_sigma_4,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_4/dorn_cuda_077.png,,empty,,,0.32837581634521484,"resultImageGradient.y:
1234567
resultImageGradient.z);
if(
resultImageGradient.x==resultImageGradient.x
resultImageGradient.y==resultImageGradient.y
&&
resultImageGradient.z==resultImageGradient.z){
float
jointEntropyDerivative X = 0.of;
float
movingEntropyDerivative X = 0.of;
X = 0.0f;
10
float
fixedEntropyDerivative",1.0,0.0
rapidocr,dorn_cuda_021,cuda,3,gaussian_sigma_1,results/grounded_protocol_3lang_20260721/rendered/perturbation/gaussian_sigma_1/dorn_cuda_021.png,"volatile unsigned
int
smem
sdata;
if(blocksize
64){
smem[tid]
mySum
min(mySum,smem[tid
32]); EMUSYNC;,}
if
(blockSize
32)
{smem[tid]
mySum
min(mySum,smem[tid
16]);B
EMUSYNC；}
if
16)
smem[tid]
mySum
min(mySum,smem[tid
(blockSize
8]);
EMUSYNC；}
8)
if
(blockSize
smem[tid]
mySum
min(mySum,smem[tid
4]); E
EMUSYNC；}
4)
if
(blockSize
smem[tid]
mySum
min(mySum,smem[tid
2J);
EMUSYNC；}
if
(blockSize
2 ( smem[tid]
mySum
min(mySum,smem[tid
1J); EMUSYNC;}
10",ok,,,0.886406660079956,"volatile unsigned
int*
smem = sdata;
if
(blocksize
64) { smem[tid]
= mySum = min(mySum, smem[tid
+ 32J); EMUSYNC; J
if
(blockSize
32) { smem[tid] = mySum = min(mySum, smem[tid
16]);
EMUSYNC;→
if
(blockSize
16) { smem[tid]
min(mySum, smem[tid
mySum
8]);
EMUSYNC;
8) { smem[tid]
if
(blocksize
mySum
min(mySum, smem[tid
41);
EMUSYNC;
if
(blockSize
4) { smem[tid] = mySum = min(mySum, smem[tid
2J);
EMUSYNC;}
if
(blocksize
2) { smem[tid] = mySum = min(mySum, smem[tid
1);
EMUSYNC;}
10",0.22291666666666668,0.86875
