rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_000,cuda,gaussian_sigma_1,0.9176961774462198
dorn_cuda_000,cuda,gaussian_sigma_2,0.783367904813832
dorn_cuda_000,cuda,gaussian_sigma_4,0.6954061165485683
dorn_cuda_001,cuda,gaussian_sigma_1,0.8793422383228581
dorn_cuda_001,cuda,gaussian_sigma_2,0.7094433466268585
dorn_cuda_001,cuda,gaussian_sigma_4,0.5951730963605216
dorn_cuda_002,cuda,gaussian_sigma_1,0.9424343489816304
dorn_cuda_002,cuda,gaussian_sigma_2,0.8515850603023809
dorn_cuda_002,cuda,gaussian_sigma_4,0.7922874557814826
dorn_cuda_003,cuda,gaussian_sigma_1,0.9148302818039244
dorn_cuda_003,cuda,gaussian_sigma_2,0.7781707083375461
dorn_cuda_003,cuda,gaussian_sigma_4,0.695479761623114
dorn_cuda_004,cuda,gaussian_sigma_1,0.9476838047474524
dorn_cuda_004,cuda,gaussian_sigma_2,0.8610860016864491
dorn_cuda_004,cuda,gaussian_sigma_4,0.8067712253207616
dorn_cuda_005,cuda,gaussian_sigma_1,0.9228657205597922
dorn_cuda_005,cuda,gaussian_sigma_2,0.7977247852223693
dorn_cuda_005,cuda,gaussian_sigma_4,0.7219279247001932
dorn_cuda_006,cuda,gaussian_sigma_1,0.9190618134501168
dorn_cuda_006,cuda,gaussian_sigma_2,0.7911189437863535
dorn_cuda_006,cuda,gaussian_sigma_4,0.7150946474895982
dorn_cuda_007,cuda,gaussian_sigma_1,0.9267706232473412
dorn_cuda_007,cuda,gaussian_sigma_2,0.8079927439210185
dorn_cuda_007,cuda,gaussian_sigma_4,0.7331305474307958
dorn_cuda_008,cuda,gaussian_sigma_1,0.9140588671396355
dorn_cuda_008,cuda,gaussian_sigma_2,0.7770041382332714
dorn_cuda_008,cuda,gaussian_sigma_4,0.6919504495386547
dorn_cuda_009,cuda,gaussian_sigma_1,0.9284629026771066
dorn_cuda_009,cuda,gaussian_sigma_2,0.8158906916757774
dorn_cuda_009,cuda,gaussian_sigma_4,0.7447220067174066
dorn_cuda_010,cuda,gaussian_sigma_1,0.8992387447306864
dorn_cuda_010,cuda,gaussian_sigma_2,0.7331466990279228
dorn_cuda_010,cuda,gaussian_sigma_4,0.6316492313001492
dorn_cuda_011,cuda,gaussian_sigma_1,0.9231702939261214
dorn_cuda_011,cuda,gaussian_sigma_2,0.7965668483827947
dorn_cuda_011,cuda,gaussian_sigma_4,0.7185118287592384
dorn_cuda_012,cuda,gaussian_sigma_1,0.9375897296295367
dorn_cuda_012,cuda,gaussian_sigma_2,0.8372830000189792
dorn_cuda_012,cuda,gaussian_sigma_4,0.7752725330028509
dorn_cuda_013,cuda,gaussian_sigma_1,0.9231516584599411
dorn_cuda_013,cuda,gaussian_sigma_2,0.8006540675768204
dorn_cuda_013,cuda,gaussian_sigma_4,0.7240662293103178
dorn_cuda_014,cuda,gaussian_sigma_1,0.9120657246633176
dorn_cuda_014,cuda,gaussian_sigma_2,0.7709016985948246
dorn_cuda_014,cuda,gaussian_sigma_4,0.6870066885078554
dorn_cuda_015,cuda,gaussian_sigma_1,0.9277354238815309
dorn_cuda_015,cuda,gaussian_sigma_2,0.811794400779433
dorn_cuda_015,cuda,gaussian_sigma_4,0.7380026009866812
dorn_cuda_016,cuda,gaussian_sigma_1,0.9019700658122113
dorn_cuda_016,cuda,gaussian_sigma_2,0.7295528150877654
dorn_cuda_016,cuda,gaussian_sigma_4,0.6225631858200334
dorn_cuda_017,cuda,gaussian_sigma_1,0.9454060925756549
dorn_cuda_017,cuda,gaussian_sigma_2,0.8567449240061561
dorn_cuda_017,cuda,gaussian_sigma_4,0.7997761297831442
dorn_cuda_018,cuda,gaussian_sigma_1,0.9240288537612701
dorn_cuda_018,cuda,gaussian_sigma_2,0.7981158943463426
dorn_cuda_018,cuda,gaussian_sigma_4,0.7193888209465525
dorn_cuda_019,cuda,gaussian_sigma_1,0.9152703524948334
dorn_cuda_019,cuda,gaussian_sigma_2,0.7754840725984585
dorn_cuda_019,cuda,gaussian_sigma_4,0.6940576084607161
dorn_cuda_020,cuda,gaussian_sigma_1,0.8993694453300812
dorn_cuda_020,cuda,gaussian_sigma_2,0.7361235501014848
dorn_cuda_020,cuda,gaussian_sigma_4,0.6357295565364108
dorn_cuda_021,cuda,gaussian_sigma_1,0.9093514953878148
dorn_cuda_021,cuda,gaussian_sigma_2,0.7689661894502894
dorn_cuda_021,cuda,gaussian_sigma_4,0.6765581453644675
dorn_cuda_022,cuda,gaussian_sigma_1,0.9452163169360753
dorn_cuda_022,cuda,gaussian_sigma_2,0.8570744690975336
dorn_cuda_022,cuda,gaussian_sigma_4,0.7985465444801966
dorn_cuda_023,cuda,gaussian_sigma_1,0.8911766948925294
dorn_cuda_023,cuda,gaussian_sigma_2,0.713504315730452
dorn_cuda_023,cuda,gaussian_sigma_4,0.6061728323032608
dorn_cuda_024,cuda,gaussian_sigma_1,0.8878326984450154
dorn_cuda_024,cuda,gaussian_sigma_2,0.7013319542123414
dorn_cuda_024,cuda,gaussian_sigma_4,0.5823561750663185
dorn_cuda_025,cuda,gaussian_sigma_1,0.8805159078347332
dorn_cuda_025,cuda,gaussian_sigma_2,0.6860225433711128
dorn_cuda_025,cuda,gaussian_sigma_4,0.5660967038396774
dorn_cuda_026,cuda,gaussian_sigma_1,0.9144880824020755
dorn_cuda_026,cuda,gaussian_sigma_2,0.775493848038045
dorn_cuda_026,cuda,gaussian_sigma_4,0.6895930696922515
dorn_cuda_027,cuda,gaussian_sigma_1,0.9149442179645741
dorn_cuda_027,cuda,gaussian_sigma_2,0.7798385732671926
dorn_cuda_027,cuda,gaussian_sigma_4,0.6991124077989848
dorn_cuda_028,cuda,gaussian_sigma_1,0.924756194898885
dorn_cuda_028,cuda,gaussian_sigma_2,0.8054240394950399
dorn_cuda_028,cuda,gaussian_sigma_4,0.7324501199110812
dorn_cuda_029,cuda,gaussian_sigma_1,0.9561246462251591
dorn_cuda_029,cuda,gaussian_sigma_2,0.8867036307010986
dorn_cuda_029,cuda,gaussian_sigma_4,0.8402785072407694
dorn_cuda_030,cuda,gaussian_sigma_1,0.8944388282837319
dorn_cuda_030,cuda,gaussian_sigma_2,0.7237234124488373
dorn_cuda_030,cuda,gaussian_sigma_4,0.6190368422618471
dorn_cuda_031,cuda,gaussian_sigma_1,0.9453483812352106
dorn_cuda_031,cuda,gaussian_sigma_2,0.8547549459972658
dorn_cuda_031,cuda,gaussian_sigma_4,0.7987214775903375
dorn_cuda_032,cuda,gaussian_sigma_1,0.875535640927755
dorn_cuda_032,cuda,gaussian_sigma_2,0.6675412325022833
dorn_cuda_032,cuda,gaussian_sigma_4,0.5485804147776592
dorn_cuda_033,cuda,gaussian_sigma_1,0.9044272793884968
dorn_cuda_033,cuda,gaussian_sigma_2,0.748860047029379
dorn_cuda_033,cuda,gaussian_sigma_4,0.6524760133683093
dorn_cuda_034,cuda,gaussian_sigma_1,0.8921036523734595
dorn_cuda_034,cuda,gaussian_sigma_2,0.7172792496194319
dorn_cuda_034,cuda,gaussian_sigma_4,0.6101989069221472
dorn_cuda_035,cuda,gaussian_sigma_1,0.9657652121097073
dorn_cuda_035,cuda,gaussian_sigma_2,0.9110905483324973
dorn_cuda_035,cuda,gaussian_sigma_4,0.8803170982210567
dorn_cuda_036,cuda,gaussian_sigma_1,0.9167897204550757
dorn_cuda_036,cuda,gaussian_sigma_2,0.7830988170558126
dorn_cuda_036,cuda,gaussian_sigma_4,0.7000642933480595
