model,representation,language,n_snippets,n_conditions,intra_mean_cosine_distance,intra_boot_ci_low,intra_boot_ci_high,inter_mean_cosine_distance,inter_boot_ci_low,inter_boot_ci_high,ratio_intra_inter,ratio_boot_ci_low,ratio_boot_ci_high,same_snippet_top1,retrieval_ci_low,retrieval_ci_high,retrieval_chance,retrieval_permutation_p,bootstrap_replicates,permutation_replicates
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,120,12,0.0068588758508364355,0.004445324676732222,0.009876637446383636,0.04315702120463053,0.03103624151979619,0.057229313139101956,0.15892838892459318,0.13737418983090366,0.18334187218611891,0.7855429292929293,0.7462105429292929,0.8234248737373737,0.008333333333333333,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,native_patch_mean,java,313,12,0.005970131855803176,0.005073048817083097,0.007080286227095241,0.03514772653579712,0.03155826227130626,0.03881246863706001,0.16985826522016265,0.15814330598975396,0.18380027404943775,0.7885806951302159,0.7670872059250653,0.8101970181043664,0.003194888178913738,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,native_patch_mean,python,119,12,0.004322087564388243,0.0038002981232995747,0.00503213131377677,0.030999953548113506,0.026366313897016318,0.034895693798688,0.13942238841358726,0.12959512727944134,0.15552339262240097,0.83759867583397,0.7973516679399032,0.8758069136745608,0.008403361344537815,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,120,12,0.023821957409381866,0.020879777831335863,0.027019696161150932,0.21681547164916992,0.18174638454512765,0.24714563285469326,0.10987203647499973,0.10138885581389902,0.1203231115196555,0.7601641414141415,0.7234832702020202,0.7977919823232323,0.008333333333333333,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,projected_visual_mean,java,313,12,0.026681637802063087,0.025204112925849405,0.02808830870892674,0.21414417525132498,0.20217485046333863,0.22422699214953057,0.12459660773284563,0.11904809301471052,0.13179157315551898,0.7221657469261303,0.6999891083357537,0.7444857924290831,0.003194888178913738,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,projected_visual_mean,python,119,12,0.022509273360757268,0.020667561976348652,0.024664645460473388,0.2023424655199051,0.17522894936181616,0.2213208594347829,0.11124344710795746,0.10339836854806414,0.12516456010840682,0.7960911637382225,0.7540695823784059,0.8347514005602241,0.008403361344537815,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,native_cls,cuda,120,12,0.00041607717672983806,0.0003375531360507012,0.0005079212039709091,0.0019333561261494954,0.0015041697813662324,0.002382244212165071,0.21520979559958484,0.20136431378986536,0.23261437428579973,0.857449494949495,0.8198863636363637,0.8943876262626262,0.008333333333333333,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,native_cls,java,313,12,0.0004672370017907871,0.00043207988761865293,0.0005043617547891391,0.0018393794695536296,0.001705637589658141,0.0019681867363500983,0.25401881967518836,0.2439704731473399,0.2672223198761713,0.8374479620486011,0.8169377480879079,0.8596046325878594,0.003194888178913738,0.000999000999000999,1000,1000
OpenGVLab/InternVL3-8B,native_cls,python,119,12,0.0003669847961233444,0.00032808790687753375,0.00040757247880727305,0.0016314138968785603,0.0014022015231648542,0.0018172764395544604,0.22494892119376259,0.21368430828023205,0.24105006524359573,0.8946396740514387,0.8583508403361344,0.9269209956709956,0.008403361344537815,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,120,12,6.780525048573812e-06,6.470990677674611e-06,7.136265436808268e-06,3.508230050404867e-05,3.0478776078653824e-05,3.923217579026738e-05,0.19327481240266176,0.1767376594890403,0.21994915607254897,0.9221590909090909,0.8946291035353535,0.9486742424242425,0.008333333333333333,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,313,12,8.705896310532055e-06,8.435994862748412e-06,8.954050632330557e-06,3.3035874366760254e-05,3.1363634312103376e-05,3.4581026828515104e-05,0.2635285572853394,0.2529235571120898,0.2768388432331601,0.9539403620873269,0.943555765320941,0.9619057992061187,0.003194888178913738,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,119,12,7.274771938804819e-06,7.088419769992348e-06,7.47562456531685e-06,2.9106934865315754e-05,2.640641968228089e-05,3.111848119248897e-05,0.24993260102675885,0.23403317782747823,0.27474464722204706,0.9583651642475172,0.9276165011459129,0.9836389101094983,0.008403361344537815,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,120,12,0.00864411989847819,0.00814722552895546,0.009200847285489241,0.051658605535825096,0.04424470843230726,0.05849583365384881,0.1673316538225856,0.1520464314218781,0.18978006330836894,0.9505681818181818,0.9235479797979798,0.974375,0.008333333333333333,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,java,313,12,0.011840110007947246,0.011482111428873227,0.012200386341387471,0.04714156687259674,0.044628775145141665,0.049335679160003025,0.2511607227639663,0.24206231127719793,0.26315366682858493,0.9881885952173493,0.9801523622809565,0.9930317552522026,0.003194888178913738,0.000999000999000999,1000,1000
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,python,119,12,0.010240701567225096,0.00986815068651648,0.010632291210799658,0.044625977675120033,0.04055283078269866,0.04788212898018744,0.22947848093722578,0.21608477323259065,0.24944927584119808,0.9702699261522791,0.9397090654443596,0.9954163483575248,0.008403361344537815,0.000999000999000999,1000,1000
