model,representation,language,condition,family,n_snippets,mean_baseline_cosine_distance,median_baseline_cosine_distance,bootstrap_ci_low,bootstrap_ci_high
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,blur,120,0.0015207479397455852,0.0011460185050964355,0.0012719014411171278,0.001824633280436198
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_2,blur,120,0.004796043535073598,0.0033884942531585693,0.00413181529690822,0.005648759678006173
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_4,blur,120,0.08991919706265132,0.08271226286888123,0.08342117554197709,0.09775861085702975
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,no_blank_lines,layout,120,0.0017415915926297506,0.0011596381664276123,0.0012015614286065102,0.0026073792949318888
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,no_indent,layout,120,0.002523187796274821,0.0009673535823822021,0.0016685729598005614,0.0037415829052527745
OpenGVLab/InternVL3-8B,native_patch_mean,java,gaussian_sigma_1,blur,313,0.0014786579357549405,0.0012053251266479492,0.0013626993749850092,0.0016270876597291747
OpenGVLab/InternVL3-8B,native_patch_mean,java,gaussian_sigma_2,blur,313,0.0051272305817649765,0.004048466682434082,0.004731845022580876,0.005564197902671826
OpenGVLab/InternVL3-8B,native_patch_mean,java,gaussian_sigma_4,blur,313,0.07931292209381494,0.07267314195632935,0.07637631027652814,0.08256530479406014
OpenGVLab/InternVL3-8B,native_patch_mean,java,no_blank_lines,layout,313,0.0018008737899244023,0.0007788538932800293,0.0012414912065378011,0.0026465287890297153
OpenGVLab/InternVL3-8B,native_patch_mean,java,no_indent,layout,313,0.009289439684285904,0.0030587315559387207,0.006600300039346226,0.012669242204378208
OpenGVLab/InternVL3-8B,native_patch_mean,python,gaussian_sigma_1,blur,119,0.001280008744792778,0.0009806156158447266,0.001110200270885179,0.0015334605794994768
OpenGVLab/InternVL3-8B,native_patch_mean,python,gaussian_sigma_2,blur,119,0.003938987475483357,0.0033837556838989258,0.0035191052100237677,0.004513358994692313
OpenGVLab/InternVL3-8B,native_patch_mean,python,gaussian_sigma_4,blur,119,0.07779316942230995,0.07135909795761108,0.07282319756365624,0.0826751283487352
OpenGVLab/InternVL3-8B,native_patch_mean,python,no_blank_lines,layout,119,0.002000904383779574,0.001487135887145996,0.0016799843361397751,0.0024236939910079252
OpenGVLab/InternVL3-8B,native_patch_mean,python,no_indent,layout,119,0.0023280191822212283,0.0012112259864807129,0.001626796369292155,0.003256077638694218
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,gaussian_sigma_1,blur,120,0.0058110058307647705,0.0048789381980896,0.005112273047367732,0.006543931278089682
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,gaussian_sigma_2,blur,120,0.021684844295183817,0.016766995191574097,0.01947720798353354,0.02423778290549914
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,gaussian_sigma_4,blur,120,0.32249456842740376,0.32541659474372864,0.3057626826564471,0.3417845496845742
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,no_blank_lines,layout,120,0.008106414477030437,0.007436424493789673,0.006891388197739919,0.009404217998186746
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,no_indent,layout,120,0.010817530254522959,0.006430268287658691,0.008437044508755208,0.013873977487285931
OpenGVLab/InternVL3-8B,projected_visual_mean,java,gaussian_sigma_1,blur,313,0.006436554387735482,0.005725860595703125,0.006088832277840319,0.006847728055696518
OpenGVLab/InternVL3-8B,projected_visual_mean,java,gaussian_sigma_2,blur,313,0.024907586864008308,0.025205373764038086,0.02403042146953912,0.025946748080535438
OpenGVLab/InternVL3-8B,projected_visual_mean,java,gaussian_sigma_4,blur,313,0.27895516947435495,0.2734377384185791,0.26861853793073004,0.2886428285973331
OpenGVLab/InternVL3-8B,projected_visual_mean,java,no_blank_lines,layout,313,0.007449815067620323,0.0052776336669921875,0.0064056719787204605,0.008580628565896434
OpenGVLab/InternVL3-8B,projected_visual_mean,java,no_indent,layout,313,0.02749809022909536,0.01764613389968872,0.02384312426605925,0.03157364890312615
OpenGVLab/InternVL3-8B,projected_visual_mean,python,gaussian_sigma_1,blur,119,0.005433480278784488,0.004891872406005859,0.00498029085017052,0.005918162748092363
OpenGVLab/InternVL3-8B,projected_visual_mean,python,gaussian_sigma_2,blur,119,0.020181109424398727,0.01992279291152954,0.018877338386383377,0.021545864353660776
OpenGVLab/InternVL3-8B,projected_visual_mean,python,gaussian_sigma_4,blur,119,0.3040491740743653,0.3031476140022278,0.28827882171804164,0.319821134109457
OpenGVLab/InternVL3-8B,projected_visual_mean,python,no_blank_lines,layout,119,0.01099267927538447,0.008844375610351562,0.009601230218129999,0.01242570363673843
OpenGVLab/InternVL3-8B,projected_visual_mean,python,no_indent,layout,119,0.011931802545275007,0.006983757019042969,0.009194573709944717,0.014939650755469538
OpenGVLab/InternVL3-8B,native_cls,cuda,gaussian_sigma_1,blur,120,0.00016579379638036092,0.0001423954963684082,0.00014861794809500377,0.00018275460849205653
OpenGVLab/InternVL3-8B,native_cls,cuda,gaussian_sigma_2,blur,120,0.0004628529151280721,0.00039207935333251953,0.0004264390841126442,0.0005043571069836616
OpenGVLab/InternVL3-8B,native_cls,cuda,gaussian_sigma_4,blur,120,0.004398853083451589,0.004173904657363892,0.004150745322306951,0.004671150967478752
OpenGVLab/InternVL3-8B,native_cls,cuda,no_blank_lines,layout,120,0.00011216302712758382,9.223818778991699e-05,9.0730848411719e-05,0.00013815545787413912
OpenGVLab/InternVL3-8B,native_cls,cuda,no_indent,layout,120,0.00016212016344070436,8.186697959899902e-05,0.00011867529402176539,0.00021745430926481881
OpenGVLab/InternVL3-8B,native_cls,java,gaussian_sigma_1,blur,313,0.00019845452171545058,0.00020802021026611328,0.00018969755679273758,0.00020743269985095382
OpenGVLab/InternVL3-8B,native_cls,java,gaussian_sigma_2,blur,313,0.0005298771035556976,0.0005187392234802246,0.0005080704824231303,0.0005525183611022779
OpenGVLab/InternVL3-8B,native_cls,java,gaussian_sigma_4,blur,313,0.004148351498686087,0.00406193733215332,0.004012397626718393,0.004280729087206502
OpenGVLab/InternVL3-8B,native_cls,java,no_blank_lines,layout,313,0.00011455708037550076,8.14199447631836e-05,9.134925021150242e-05,0.0001444496761876554
OpenGVLab/InternVL3-8B,native_cls,java,no_indent,layout,313,0.0004413023162573671,0.00020885467529296875,0.0003602085879054694,0.0005377955758533539
OpenGVLab/InternVL3-8B,native_cls,python,gaussian_sigma_1,blur,119,0.00017087850250115916,0.00015282630920410156,0.0001548870897092739,0.0001880538062889035
OpenGVLab/InternVL3-8B,native_cls,python,gaussian_sigma_2,blur,119,0.00044849439829337497,0.0004061460494995117,0.00041833224416780874,0.0004804025302414133
OpenGVLab/InternVL3-8B,native_cls,python,gaussian_sigma_4,blur,119,0.004110355337126916,0.003860294818878174,0.003917757703476593,0.00431472121917901
OpenGVLab/InternVL3-8B,native_cls,python,no_blank_lines,layout,119,0.00013917033411875492,0.00011962652206420898,0.00012329094299749166,0.00015796891280582973
OpenGVLab/InternVL3-8B,native_cls,python,no_indent,layout,119,0.00015269908584466502,9.721517562866211e-05,0.00011907201103803491,0.0001900684933702485
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,gaussian_sigma_1,blur,120,4.384418328603109e-06,4.172325134277344e-06,4.1181469957033795e-06,4.638843238353729e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,gaussian_sigma_2,blur,120,1.2063980102539063e-05,1.1682510375976562e-05,1.1555813252925872e-05,1.2652625640233358e-05
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,gaussian_sigma_4,blur,120,0.00012027124563852946,0.0001150369644165039,0.00011534941693147023,0.00012547322859366735
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,no_blank_lines,layout,120,2.2749106089274087e-06,1.6987323760986328e-06,1.909819742043813e-06,2.6623780528704324e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,no_indent,layout,120,1.7036994298299153e-06,1.3709068298339844e-06,1.5000378092130026e-06,1.9411370158195497e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,gaussian_sigma_1,blur,313,4.7097190881308655e-06,4.5299530029296875e-06,4.558898389529877e-06,4.860411246363728e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,gaussian_sigma_2,blur,313,1.3283266427037053e-05,1.2814998626708984e-05,1.2977211810529422e-05,1.3598123678384118e-05
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,gaussian_sigma_4,blur,313,0.00010672582985874943,0.00010228157043457031,0.00010445526423164831,0.00010926711578338671
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,no_blank_lines,layout,313,1.739198788286398e-06,1.0728836059570312e-06,1.4947197688654207e-06,1.9851107947742595e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,java,no_indent,layout,313,2.760666246993092e-06,2.384185791015625e-06,2.587165314549455e-06,2.9418177117174046e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,gaussian_sigma_1,blur,119,4.657677241734096e-06,4.470348358154297e-06,4.4656025261438195e-06,4.87915357621778e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,gaussian_sigma_2,blur,119,1.3535764037060136e-05,1.3172626495361328e-05,1.3018706265617819e-05,1.4090775942602078e-05
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,gaussian_sigma_4,blur,119,0.00010166548881210198,0.0001016855239868164,9.894079270483065e-05,0.00010435236852709986
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,no_blank_lines,layout,119,2.3551347876797204e-06,1.7881393432617188e-06,2.0235276021877255e-06,2.7199377532766647e-06
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,python,no_indent,layout,119,1.7285346984863281e-06,1.5497207641601562e-06,1.5370986040900736e-06,1.9229009371845665e-06
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,gaussian_sigma_1,blur,120,0.004186410208543142,0.003835827112197876,0.003912637382745743,0.004485860305527846
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,gaussian_sigma_2,blur,120,0.016428776582082114,0.01549258828163147,0.015613798846801122,0.01736405731489261
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,gaussian_sigma_4,blur,120,0.24455501983563105,0.23430582880973816,0.23544615437587102,0.2547385678688685
Qwen/Qwen2.5-VL-7B-Instruct,projected_visual_mean,cuda,no_blank_lines,layout,120,0.0024954557418823244,0.002105802297592163,0.0021030296881993614,0.002915646793941657
