model,representation,language,condition,rq0_id,baseline_cosine_distance
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_000,0.001056969165802002
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_001,0.0013203620910644531
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_002,0.0013467073440551758
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_003,0.0007137060165405273
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_004,0.0005652904510498047
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_005,0.0013474822044372559
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_006,0.0013288259506225586
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_007,0.0009493231773376465
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_008,0.0015915632247924805
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_009,0.0006661415100097656
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_010,0.0013750791549682617
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_011,0.0012695789337158203
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_012,0.001276254653930664
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_013,0.0007153749465942383
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_014,0.0005888938903808594
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_015,0.0008672475814819336
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_016,0.0008084774017333984
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_017,0.0006195902824401855
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_018,0.0013355612754821777
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_019,0.0009086132049560547
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_020,0.0008125901222229004
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_021,0.0014571547508239746
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_022,0.0008696317672729492
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_023,0.0017039179801940918
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_024,0.0007050633430480957
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_025,0.0006000399589538574
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_026,0.0010923147201538086
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_027,0.0009002685546875
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_028,0.001683354377746582
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_029,0.0014091730117797852
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_030,0.0008208155632019043
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_031,0.0011756420135498047
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_032,0.0009635090827941895
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_033,0.0005908012390136719
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_034,0.0014224648475646973
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_035,0.013118445873260498
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_036,0.0010017156600952148
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_037,0.0007237792015075684
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_038,0.0016107559204101562
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_039,0.0008636116981506348
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_040,0.002212047576904297
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_041,0.0015274286270141602
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_042,0.0010459423065185547
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_043,0.0018322467803955078
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_044,0.0013760924339294434
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_045,0.0014096498489379883
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_046,0.0005360841751098633
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_047,0.0013082623481750488
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_048,0.0009851455688476562
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_049,0.00115126371383667
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_050,0.0057669878005981445
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_051,0.0036492347717285156
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_052,0.0017336010932922363
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_053,0.0011190176010131836
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_054,0.0037712454795837402
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_055,0.0018883347511291504
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_056,0.0018903613090515137
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_057,0.0016509294509887695
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_058,0.0012102723121643066
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_059,0.0017186999320983887
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_060,0.000834047794342041
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_061,0.000773310661315918
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_062,0.0
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_063,0.0012386441230773926
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_064,0.0014224648475646973
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_065,0.0024682283401489258
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_066,0.0016540884971618652
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_067,0.0007088184356689453
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_068,0.0006595253944396973
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_069,0.0008487701416015625
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_070,0.0023202896118164062
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_071,0.0008373856544494629
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_072,0.0013494491577148438
