model,representation,language,query_condition,n_queries,same_snippet_top1
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,friendly_light__fs20__wrap60__lnon,1320,0.781060606060606
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,friendly_light__fs20__wrap80__lnon,1320,0.8068181818181818
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,friendly_light__fs24__wrap60__lnon,1320,0.781060606060606
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,friendly_light__fs24__wrap80__lnon,1320,0.8022727272727272
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,mono_light__fs20__wrap60__lnon,1320,0.7378787878787879
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,mono_light__fs20__wrap80__lnon,1320,0.8272727272727273
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,mono_light__fs24__wrap60__lnon,1320,0.7454545454545455
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,mono_light__fs24__wrap80__lnon,1320,0.7946969696969697
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,monokai_dark__fs20__wrap60__lnon,1320,0.781060606060606
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,monokai_dark__fs20__wrap80__lnon,1320,0.7909090909090909
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,monokai_dark__fs24__wrap60__lnon,1320,0.7931818181818182
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,monokai_dark__fs24__wrap80__lnon,1320,0.7848484848484848
OpenGVLab/InternVL3-8B,native_patch_mean,java,friendly_light__fs20__wrap60__lnon,3443,0.7519604995643334
OpenGVLab/InternVL3-8B,native_patch_mean,java,friendly_light__fs20__wrap80__lnon,3443,0.8350275922160906
OpenGVLab/InternVL3-8B,native_patch_mean,java,friendly_light__fs24__wrap60__lnon,3443,0.7595120534417659
OpenGVLab/InternVL3-8B,native_patch_mean,java,friendly_light__fs24__wrap80__lnon,3443,0.8251524832994481
OpenGVLab/InternVL3-8B,native_patch_mean,java,mono_light__fs20__wrap60__lnon,3443,0.7359860586697647
OpenGVLab/InternVL3-8B,native_patch_mean,java,mono_light__fs20__wrap80__lnon,3443,0.8257333720592507
OpenGVLab/InternVL3-8B,native_patch_mean,java,mono_light__fs24__wrap60__lnon,3443,0.7313389485913447
OpenGVLab/InternVL3-8B,native_patch_mean,java,mono_light__fs24__wrap80__lnon,3443,0.8103398199244845
OpenGVLab/InternVL3-8B,native_patch_mean,java,monokai_dark__fs20__wrap60__lnon,3443,0.7775196049956433
OpenGVLab/InternVL3-8B,native_patch_mean,java,monokai_dark__fs20__wrap80__lnon,3443,0.8173104850421145
OpenGVLab/InternVL3-8B,native_patch_mean,java,monokai_dark__fs24__wrap60__lnon,3443,0.7856520476328783
OpenGVLab/InternVL3-8B,native_patch_mean,java,monokai_dark__fs24__wrap80__lnon,3443,0.807435376125472
OpenGVLab/InternVL3-8B,native_patch_mean,python,friendly_light__fs20__wrap60__lnon,1309,0.8204736440030558
OpenGVLab/InternVL3-8B,native_patch_mean,python,friendly_light__fs20__wrap80__lnon,1309,0.8579067990832697
OpenGVLab/InternVL3-8B,native_patch_mean,python,friendly_light__fs24__wrap60__lnon,1309,0.8258212375859435
OpenGVLab/InternVL3-8B,native_patch_mean,python,friendly_light__fs24__wrap80__lnon,1309,0.8517952635599695
OpenGVLab/InternVL3-8B,native_patch_mean,python,mono_light__fs20__wrap60__lnon,1309,0.8044308632543926
OpenGVLab/InternVL3-8B,native_patch_mean,python,mono_light__fs20__wrap80__lnon,1309,0.8724216959511077
OpenGVLab/InternVL3-8B,native_patch_mean,python,mono_light__fs24__wrap60__lnon,1309,0.8143621084797555
OpenGVLab/InternVL3-8B,native_patch_mean,python,mono_light__fs24__wrap80__lnon,1309,0.8708938120702827
OpenGVLab/InternVL3-8B,native_patch_mean,python,monokai_dark__fs20__wrap60__lnon,1309,0.8334606569900688
OpenGVLab/InternVL3-8B,native_patch_mean,python,monokai_dark__fs20__wrap80__lnon,1309,0.8334606569900688
OpenGVLab/InternVL3-8B,native_patch_mean,python,monokai_dark__fs24__wrap60__lnon,1309,0.8372803666921314
OpenGVLab/InternVL3-8B,native_patch_mean,python,monokai_dark__fs24__wrap80__lnon,1309,0.8288770053475936
