experiment,model,language,baseline,condition,n,baseline_only_correct,condition_only_correct,accuracy_delta,delta_cluster_robust_se,delta_ci_low,delta_ci_high,delta_ci_method,mcnemar_exact_p,holm_p,holm_reject_0_05
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,77,39,-0.038,0.015620109602688384,-0.06861485225583748,-0.0073851477441625145,two-way snippet-cluster robust normal interval,0.0005340946135287203,0.005875040748815923,True
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,45,48,0.003,0.014866491314361933,-0.02613778755262692,0.03213778755262692,two-way snippet-cluster robust normal interval,0.8358461346314864,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,65,58,-0.007,0.017595010770101813,-0.041485587416993916,0.027485587416993917,two-way snippet-cluster robust normal interval,0.5886880630911525,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,36,60,0.024,0.014376790184182324,-0.004177990974286325,0.052177990974286326,two-way snippet-cluster robust normal interval,0.018433352931462543,0.16590017638316287,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,70,57,-0.013,0.018026201041816875,-0.048330704820039476,0.02233070482003948,two-way snippet-cluster robust normal interval,0.2869146072030987,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,45,62,0.017,0.015994606716015287,-0.014348853110272432,0.048348853110272434,two-way snippet-cluster robust normal interval,0.12151242187624432,0.9720993750099546,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,67,52,-0.015,0.01705913538254503,-0.048435290957181173,0.018435290957181175,two-way snippet-cluster robust normal interval,0.19915839818564512,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,55,98,0.043,0.021051916872342015,0.0017390011246785492,0.08426099887532144,two-way snippet-cluster robust normal interval,0.0006366069157043524,0.006366069157043523,True
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,72,63,-0.009,0.019129690954116388,-0.04649350530544979,0.028493505305449786,two-way snippet-cluster robust normal interval,0.4912624577829232,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,67,52,-0.015,0.018086019462557255,-0.05044794677030268,0.020447946770302684,two-way snippet-cluster robust normal interval,0.19915839818564512,1.0,False
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,32,36,0.004,0.010768023774119334,-0.01710493878194496,0.02510493878194496,two-way snippet-cluster robust normal interval,0.716300760154337,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,103,85,-0.018,0.01623346592690536,-0.04981700856099264,0.013817008560992636,two-way snippet-cluster robust normal interval,0.21492179659284347,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,42,54,0.012,0.010996149144132161,-0.009552056291129974,0.03355205629112998,two-way snippet-cluster robust normal interval,0.2614694362863879,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,99,93,-0.006,0.017646156068674097,-0.04058583036017414,0.02858583036017414,two-way snippet-cluster robust normal interval,0.7183188542176947,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,40,71,0.031,0.0117122275421885,0.008044455838572464,0.05395554416142753,two-way snippet-cluster robust normal interval,0.004195534185394861,0.03356427348315889,True
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,113,95,-0.018,0.018370885008621572,-0.054006272981025075,0.01800627298102508,two-way snippet-cluster robust normal interval,0.2384302688961089,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,33,81,0.048,0.011259339945130018,0.025932099217851976,0.07006790078214803,two-way snippet-cluster robust normal interval,8.004321800801116e-06,8.804753980881228e-05,True
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,98,100,0.002,0.018713164777770814,-0.034677129001194275,0.03867712900119428,two-way snippet-cluster robust normal interval,0.9433683628047678,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,35,84,0.049,0.011493008048374366,0.02647411815115727,0.07152588184884273,two-way snippet-cluster robust normal interval,8.182182568303964e-06,8.804753980881228e-05,True
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,105,90,-0.015,0.01787030078090462,-0.05002514592347106,0.020025145923471058,two-way snippet-cluster robust normal interval,0.3160731261190124,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,99,99,0.0,0.017029386365926404,-0.03337698395603319,0.03337698395603319,two-way snippet-cluster robust normal interval,1.0,1.0,False
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,28,59,0.031,0.0087417546293636,0.013866475764761053,0.04813352423523895,two-way snippet-cluster robust normal interval,0.0011686374974383248,0.010517737476944924,True
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,98,62,-0.036,0.022109043941337714,-0.0793329298576354,0.007332929857635409,two-way snippet-cluster robust normal interval,0.005490546566340388,0.0439243725307231,True
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,49,48,-0.001,0.016758373847124943,-0.03384580917982284,0.03184580917982284,two-way snippet-cluster robust normal interval,1.0,1.0,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,94,61,-0.033,0.020260734586880123,-0.07271031009061005,0.006710310090610051,two-way snippet-cluster robust normal interval,0.009932668383371986,0.0695286786836039,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,53,47,-0.006,0.013035159531052993,-0.031548443213597885,0.019548443213597888,two-way snippet-cluster robust normal interval,0.6172994135892524,1.0,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,95,57,-0.038,0.020942581884762893,-0.07904670623741623,0.0030467062374162357,two-way snippet-cluster robust normal interval,0.0025735692598787448,0.023162123338908703,True
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,51,57,0.006,0.014747453475091944,-0.02290447767486027,0.034904477674860275,two-way snippet-cluster robust normal interval,0.6306338345308322,1.0,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,85,67,-0.018,0.01919224989416292,-0.05561611857485198,0.019616118574851984,two-way snippet-cluster robust normal interval,0.16772199317919745,0.8386099658959872,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,48,55,0.007,0.014498262171722483,-0.021416071694995535,0.035416071694995534,two-way snippet-cluster robust normal interval,0.5546010666648736,1.0,False
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,92,50,-0.042,0.02084317192751623,-0.08285186630150812,-0.001148133698491892,two-way snippet-cluster robust normal interval,0.0005337707534569337,0.005337707534569337,True
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,96,47,-0.049,0.01894847471434043,-0.08613832800207513,-0.011861671997924872,two-way snippet-cluster robust normal interval,5.103511101755181e-05,0.0005613862211930699,True
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,32,50,0.018,0.012947527022562999,-0.007376686653082599,0.0433766866530826,two-way snippet-cluster robust normal interval,0.059808338334316175,0.35885003000589705,False
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,82,52,-0.03,0.015245865013176497,-0.05988134633898521,-0.00011865366101478786,two-way snippet-cluster robust normal interval,0.011951543889931084,0.07170926333958651,False
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,73,33,-0.04,0.011733439393460042,-0.06299711862596519,-0.01700288137403482,two-way snippet-cluster robust normal interval,0.0001282207294683596,0.0011539865652152362,True
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,73,55,-0.018,0.017839403129028666,-0.05296458763858733,0.016964587638587336,two-way snippet-cluster robust normal interval,0.1326248013249822,0.663124006624911,False
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,51,65,0.014,0.012891300012023566,-0.011266483737466955,0.03926648373746695,two-way snippet-cluster robust normal interval,0.22727494633160858,0.6862587886169697,False
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,99,58,-0.041,0.016508442567365344,-0.07335595287288402,-0.00864404712711598,two-way snippet-cluster robust normal interval,0.0013352491869990627,0.009346744308993439,True
