model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,256,125,0.256,0.48828125,0.125,0.744,0.0,0.10592623063520473,0.14694383822896162,0.4276765099686914,0.5492324866662899,0.013701907544434525,0.8272983034415545,0.549,0.037,1.125,0.5625
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,311,166,0.311,0.5337620578778135,0.166,0.6890000000000001,0.0,0.1442254718306115,0.19033080283773937,0.4782450021915833,0.5884552350600797,0.09847377425760198,0.08294871007189508,0.553,0.029,0.875,0.5625
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,308,156,0.308,0.5064935064935064,0.156,0.692,0.0,0.13483131538945653,0.17980149444860544,0.45092348124238063,0.5619035495672076,0.041277559730180664,0.47042949986687027,0.544,0.035,1.0625,0.5625
OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,322,187,0.322,0.5807453416149069,0.187,0.6779999999999999,0.0,0.1640478150490631,0.21234773576289442,0.5262081546764248,0.6333786584571823,0.1585838879122664,0.004335048267262679,0.561,0.039,0.875,0.5625
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,290,150,0.29,0.5172413793103449,0.15,0.71,0.0,0.1292100725130883,0.17346865842680032,0.4598804060672749,0.5741515513023014,0.08248356361586942,0.16122416770995265,0.557,0.027,1.0,0.5
OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,325,180,0.325,0.5538461538461539,0.18,0.675,0.0,0.15742689252874323,0.20502223290201207,0.4994865621656173,0.6069477059632208,0.13738170312264614,0.013178607055544767,0.546,0.036,0.8125,0.5625
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,298,148,0.298,0.4966442953020134,0.148,0.702,0.0,0.1273389886764658,0.17135504929736503,0.4402818220291707,0.5530921829606869,0.026996636701466025,0.6425329784384021,0.549,0.032,1.0,0.5
OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,346,206,0.346,0.5953757225433526,0.206,0.654,0.0,0.18208139113289099,0.23216874285661546,0.5428857137536908,0.6457711716322899,0.2110942900760261,7.588051587801844e-05,0.549,0.032,0.8125,0.5
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,305,154,0.305,0.5049180327868853,0.154,0.6950000000000001,0.0,0.13295625717450094,0.17769185969750323,0.4490959898125248,0.560617731950918,0.031266299045017126,0.5864873485728239,0.563,0.03,1.125,0.59375
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,306,163,0.306,0.5326797385620915,0.163,0.694,0.0,0.14140399765906392,0.18717523756020027,0.4767186598086509,0.5878304811491898,0.08735937680873507,0.12730219346070926,0.549,0.035,0.875,0.5625
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,297,148,0.297,0.4983164983164983,0.148,0.7030000000000001,0.0,0.1273389886764658,0.17135504929736503,0.44183820653373623,0.5548377835245488,0.02254196668590886,0.6988360225148055,0.545,0.035,1.0625,0.5625
OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,312,167,0.312,0.5352564102564102,0.167,0.688,0.0,0.14516656150470994,0.1913820596466698,0.47982105571452616,0.5898341443410484,0.07026809364276783,0.2158159710430124,0.557,0.025,0.9375,0.5625
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1000,497,275,0.497,0.5533199195171026,0.275,0.503,0.0,0.24822587402252644,0.30349616729597334,0.5093694380197562,0.5964524724203186,0.14346141460488704,0.001342173497951833,0.523,0.039,0.5625,0.625
OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1000,634,305,0.634,0.4810725552050473,0.305,0.366,0.0,0.2772552724809733,0.3342371633283932,0.44241151178159827,0.5199615831809435,-0.046484853558553356,0.2424919613173359,0.475,0.025,0.4375,0.6875
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,1000,532,287,0.532,0.5394736842105263,0.287,0.46799999999999997,0.0,0.2598197820391999,0.31581041707564655,0.4969868479421908,0.5813945451146952,0.10184230496639517,0.01879399098662198,0.507,0.032,0.5625,0.625
OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,1000,657,324,0.657,0.4931506849315068,0.324,0.34299999999999997,0.0,0.2957148222722109,0.35363219671470447,0.4550726022189735,0.5313083975202666,-0.03231555584551318,0.4082646307997286,0.474,0.019,0.4375,0.75
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,1000,495,275,0.495,0.5555555555555556,0.275,0.505,0.0,0.24822587402252644,0.30349616729597334,0.5115203337922415,0.598735137214569,0.13145317452109442,0.003389855319954892,0.524,0.031,0.5625,0.5625
OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,1000,678,341,0.678,0.5029498525073747,0.341,0.32199999999999995,0.0,0.31227731829126676,0.37093959090713985,0.4654040703013374,0.5404623960864918,-0.006541163892245905,0.8650029047060593,0.485,0.029,0.375,0.75
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,1000,513,295,0.513,0.5750487329434698,0.295,0.487,0.0,0.26756241055666713,0.32400656042241044,0.5318694502703545,0.6171124061304365,0.17574173169994098,6.282487621264638e-05,0.519,0.032,0.5625,0.5625
OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,1000,673,342,0.673,0.5081723625557206,0.342,0.32699999999999996,0.0,0.3132528988050859,0.37195635687634954,0.47046280464254947,0.5457891548919122,0.008147691414558022,0.832902898854147,0.489,0.022,0.375,0.6875
OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,1000,512,278,0.512,0.54296875,0.278,0.488,0.0,0.2511220562741525,0.30657702449343394,0.4996592655455357,0.5856382599782792,0.11785431505149863,0.007595751650334556,0.523,0.028,0.625,0.625
OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,1000,633,293,0.633,0.4628751974723539,0.293,0.367,0.0,0.26562577020883094,0.3219585078041889,0.42437254708948247,0.5018257251036711,-0.07957754598380178,0.04535489615042381,0.474,0.023,0.53125,0.8125
