experiment,model,language,difficulty_rank,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
grid,OpenGVLab/InternVL3-8B,cuda,far,friendly_light__fs20__wrap60__lnon,333,108,55,0.32432432432432434,0.5092592592592593,0.16516516516516516,0.6756756756756757,0.0,0.12914559325221484,0.20882188622391964,0.4162913692842406,0.6015910870167492,-0.035264786020076926,0.7171049268746088,0.5675675675675675,0.024024024024024024,1.125,0.625
grid,OpenGVLab/InternVL3-8B,cuda,far,friendly_light__fs20__wrap80__lnon,333,122,69,0.3663663663663664,0.5655737704918032,0.2072072072072072,0.6336336336336337,0.0,0.16713468688128458,0.25395795212251016,0.47694474085813976,0.6501993668941208,0.05006769129893074,0.58392101659501,0.5855855855855856,0.036036036036036036,0.875,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,far,friendly_light__fs24__wrap60__lnon,333,126,65,0.3783783783783784,0.5158730158730159,0.19519519519519518,0.6216216216216216,0.0,0.15620202514494008,0.24114056827952313,0.4294429012176768,0.6013638999098725,0.006795219360422964,0.9398035066605864,0.5735735735735735,0.012012012012012012,1.0625,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,far,friendly_light__fs24__wrap80__lnon,333,122,73,0.3663663663663664,0.5983606557377049,0.21921921921921922,0.6336336336336337,0.0,0.17812408316819128,0.266718601414935,0.5096537937857946,0.6810623678425964,0.09984879858451863,0.2738454810589555,0.6126126126126126,0.021021021021021023,0.875,0.625
grid,OpenGVLab/InternVL3-8B,cuda,far,mono_light__fs20__wrap60__lnon,333,123,69,0.36936936936936937,0.5609756097560976,0.2072072072072072,0.6306306306306306,0.0,0.16713468688128458,0.25395795212251016,0.47274498385659425,0.6455128802476364,0.058776055800676255,0.5184342440859097,0.5915915915915916,0.021021021021021023,1.0625,0.625
grid,OpenGVLab/InternVL3-8B,cuda,far,mono_light__fs20__wrap80__lnon,333,135,77,0.40540540540540543,0.5703703703703704,0.23123123123123124,0.5945945945945945,0.0,0.1891668737853518,0.27942585637710593,0.4860597370222354,0.6507869956567796,0.08077335231103039,0.35169979848941374,0.5885885885885885,0.024024024024024024,0.875,0.625
grid,OpenGVLab/InternVL3-8B,cuda,far,mono_light__fs24__wrap60__lnon,333,127,64,0.3813813813813814,0.5039370078740157,0.1921921921921922,0.6186186186186187,0.0,0.15347816460490504,0.23792691742472533,0.41815071422308026,0.5894921232155514,-0.02855098614764251,0.750001831918636,0.5645645645645646,0.042042042042042045,1.0625,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,far,mono_light__fs24__wrap80__lnon,333,129,82,0.38738738738738737,0.6356589147286822,0.24624624624624625,0.6126126126126126,0.0,0.20304105981016726,0.29523922732645486,0.5498054406768758,0.7136665229007155,0.18199235989106538,0.038999893247199026,0.6006006006006006,0.03003003003003003,0.8125,0.625
grid,OpenGVLab/InternVL3-8B,cuda,far,monokai_dark__fs20__wrap60__lnon,333,122,61,0.3663663663663664,0.5,0.1831831831831832,0.6336336336336337,0.0,0.14532996581765908,0.22826258202747265,0.41264128779993825,0.5873587122000617,-0.05141585014851454,0.5738213746654814,0.6066066066066066,0.03303303303303303,1.125,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,far,monokai_dark__fs20__wrap80__lnon,333,116,65,0.3483483483483483,0.5603448275862069,0.19519519519519518,0.6516516516516517,0.0,0.15620202514494008,0.24114056827952313,0.46952494938469,0.6472960584515604,0.10085427225930689,0.2813821922431172,0.5855855855855856,0.02702702702702703,0.9375,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,far,monokai_dark__fs24__wrap60__lnon,333,128,65,0.3843843843843844,0.5078125,0.19519519519519518,0.6156156156156156,0.0,0.15620202514494008,0.24114056827952313,0.422247229254785,0.5929225058034415,-0.0465844984863962,0.6015611116755064,0.5675675675675675,0.036036036036036036,1.125,0.75
grid,OpenGVLab/InternVL3-8B,cuda,far,monokai_dark__fs24__wrap80__lnon,333,123,64,0.36936936936936937,0.5203252032520326,0.1921921921921922,0.6306306306306306,0.0,0.15347816460490504,0.23792691742472533,0.43276571879576353,0.6066535692389802,0.018540823099194588,0.838708593688508,0.5795795795795796,0.02702702702702703,0.9375,0.6875
grid,OpenGVLab/InternVL3-8B,cuda,middle,friendly_light__fs20__wrap60__lnon,333,81,35,0.24324324324324326,0.43209876543209874,0.10510510510510511,0.7567567567567568,0.0,0.076548792740807,0.14266845883866996,0.3297207714134108,0.5406256352502503,-0.16073495118895556,0.15172383519919241,0.5495495495495496,0.03003003003003003,1.0625,0.5
grid,OpenGVLab/InternVL3-8B,cuda,middle,friendly_light__fs20__wrap80__lnon,333,96,48,0.2882882882882883,0.5,0.14414414414414414,0.7117117117117118,0.0,0.11047465926536384,0.18593024044694048,0.401924024529863,0.598075975470137,0.01056192255869491,0.9186514953902781,0.5645645645645646,0.021021021021021023,0.875,0.5625
grid,OpenGVLab/InternVL3-8B,cuda,middle,friendly_light__fs24__wrap60__lnon,333,100,50,0.3003003003003003,0.5,0.15015015015015015,0.6996996996996997,0.0,0.11578410161851721,0.1924958208834529,0.4038315303659956,0.5961684696340044,0.03189695186620123,0.752731694852729,0.5405405405405406,0.05405405405405406,1.0,0.5625
grid,OpenGVLab/InternVL3-8B,cuda,middle,friendly_light__fs24__wrap80__lnon,333,110,61,0.3303303303303303,0.5545454545454546,0.1831831831831832,0.6696696696696697,0.0,0.14532996581765908,0.22826258202747265,0.4613868803652954,0.6440228721476322,0.03888855306241218,0.6866834316554908,0.5705705705705706,0.04804804804804805,0.875,0.5625
grid,OpenGVLab/InternVL3-8B,cuda,middle,mono_light__fs20__wrap60__lnon,333,89,43,0.2672672672672673,0.48314606741573035,0.12912912912912913,0.7327327327327327,0.0,0.09729812223668668,0.16941922050145328,0.38219270234386304,0.5854941474955613,-0.039933558502706655,0.710224194649193,0.5615615615615616,0.036036036036036036,1.0,0.5
grid,OpenGVLab/InternVL3-8B,cuda,middle,mono_light__fs20__wrap80__lnon,333,98,53,0.29429429429429427,0.5408163265306123,0.15915915915915915,0.7057057057057057,0.0,0.12378650893750426,0.20230594774896443,0.44248041592362974,0.6360730542705189,0.06816643505329817,0.5048159485834229,0.5585585585585585,0.03903903903903904,0.8125,0.5625
grid,OpenGVLab/InternVL3-8B,cuda,middle,mono_light__fs24__wrap60__lnon,333,88,46,0.26426426426426425,0.5227272727272727,0.13813813813813813,0.7357357357357357,0.0,0.10518681792493659,0.179343058997702,0.41961959494387296,0.6239337202077226,0.040804356449478114,0.7058295611374293,0.5645645645645646,0.03003003003003003,0.9375,0.5
