model,language,condition,cue_present_pair,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,cuda,no_blank_lines,False,22,10,4,0.45454545454545453,0.4,0.18181818181818182,0.5454545454545454,0.0,0.07306884583422052,0.38516607437126543,0.16818032970623614,0.6873262302663417,-0.11396057645963792,0.7539236059777022,0.36363636363636365,0.13636363636363635,0.375,0.4375
OpenGVLab/InternVL3-8B,cuda,no_blank_lines,True,978,347,182,0.35480572597137017,0.5244956772334294,0.18609406952965235,0.6451942740286298,0.0,0.1629478917831671,0.21169656381205143,0.4719702177488087,0.5764847170161509,0.033253814400482994,0.5369804538876983,0.5501022494887525,0.04396728016359918,0.75,0.5
OpenGVLab/InternVL3-8B,cuda,no_indent,False,2,2,1,1.0,0.5,0.5,0.0,0.0,0.09453120573423074,0.9054687942657693,0.09453120573423074,0.9054687942657693,,,0.5,0.0,0.46875,0.71875
OpenGVLab/InternVL3-8B,cuda,no_indent,True,998,361,183,0.36172344689378755,0.5069252077562327,0.18336673346693386,0.6382765531062125,0.0,0.16058813002328862,0.20857353279714266,0.45555141531269083,0.5581531675386165,0.038621499126845905,0.4644515108653467,0.5531062124248497,0.028056112224448898,0.8125,0.5625
OpenGVLab/InternVL3-8B,java,no_blank_lines,False,125,85,52,0.68,0.611764705882353,0.416,0.31999999999999995,0.0,0.333359067506641,0.5036499186363579,0.5054771123296355,0.7083870030531059,0.047532836681866655,0.6657510027636714,0.568,0.04,0.375,0.75
OpenGVLab/InternVL3-8B,java,no_blank_lines,True,875,583,263,0.6662857142857143,0.451114922813036,0.30057142857142854,0.33371428571428574,0.0,0.2711169509073593,0.3317693302333613,0.41117381596186053,0.49169603220028846,-0.06993029645500258,0.0916156075013983,0.4514285714285714,0.03314285714285714,0.5,0.75
OpenGVLab/InternVL3-8B,java,no_indent,True,1000,701,320,0.701,0.456490727532097,0.32,0.29900000000000004,0.0,0.29182400898144156,0.3495536240733583,0.4199547053790456,0.49350100975147154,-0.11559738672146225,0.0021736220576171364,0.463,0.021,0.4375,0.8125
OpenGVLab/InternVL3-8B,python,no_blank_lines,True,1000,523,261,0.523,0.49904397705544934,0.261,0.477,0.0,0.23473118426217232,0.289098006293923,0.45635591666773134,0.541745979105167,0.04019417617604701,0.3589436755635661,0.5,0.029,0.5625,0.625
OpenGVLab/InternVL3-8B,python,no_indent,False,4,2,1,0.5,0.5,0.25,0.5,0.0,0.04558726080970055,0.6993581574175981,0.09453120573423074,0.9054687942657693,,,0.25,0.0,1.125,1.1875
OpenGVLab/InternVL3-8B,python,no_indent,True,996,516,254,0.5180722891566265,0.49224806201550386,0.25502008032128515,0.4819277108433735,0.0,0.22892761652513988,0.28299500311138476,0.4493288681710855,0.5352818244463354,0.014055726829209286,0.750085862995115,0.5140562248995983,0.02208835341365462,0.75,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_blank_lines,False,22,9,6,0.4090909090909091,0.6666666666666666,0.2727272727272727,0.5909090909090908,0.0,0.13150760287989469,0.4815173401240238,0.3542021355803963,0.879416181613089,0.4107919181288746,0.2720708274536111,0.5,0.0,0.90625,0.75
