model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,cuda,baseline,1000,306,163,0.306,0.5326797385620915,0.163,0.694,0.0,0.14140399765906392,0.18717523756020027,0.4767186598086509,0.5878304811491898,0.08735937680873507,0.12730219346070926,0.549,0.035,0.875,0.5625
OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_1,1000,323,190,0.323,0.5882352941176471,0.19,0.677,0.0,0.1668892700644027,0.2154833201966415,0.5338326103451363,0.6405638698494718,0.18451834607933876,0.000862243366949383,0.579,0.044,0.8125,0.5
OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_2,1000,411,226,0.411,0.5498783454987834,0.226,0.589,0.0,0.2011546846733466,0.25294237897673766,0.5015396278062546,0.597293309761158,0.12424858460758248,0.011701769638060154,0.579,0.039,0.625,0.5
OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_4,1000,638,397,0.638,0.622257053291536,0.397,0.362,0.0,0.36712458560070244,0.42766372664732194,0.584010771281565,0.659039904015464,0.25932496702867064,2.9017090183286678e-11,0.578,0.018,0.625,0.875
OpenGVLab/InternVL3-8B,cuda,no_blank_lines,1000,357,186,0.357,0.5210084033613446,0.186,0.643,0.0,0.1631011791493255,0.21130202517960314,0.4692404953259259,0.5723290073831673,0.029951080998125712,0.5727194938928943,0.546,0.046,0.75,0.5
OpenGVLab/InternVL3-8B,cuda,no_indent,1000,363,184,0.363,0.5068870523415978,0.184,0.637,0.0,0.16120869057645773,0.20920982078641312,0.45565403984154,0.5579758263575363,0.034918091991694857,0.5072109698749893,0.553,0.028,0.8125,0.5625
OpenGVLab/InternVL3-8B,java,baseline,89,45,23,0.5056179775280899,0.5111111111111111,0.25842696629213485,0.4943820224719101,0.0,0.1788154348613038,0.3580294128371103,0.3700446464458318,0.650429762471215,0.0926048782028669,0.5451565543276524,0.43820224719101125,0.011235955056179775,0.875,0.75
OpenGVLab/InternVL3-8B,java,gaussian_sigma_1,89,43,22,0.48314606741573035,0.5116279069767442,0.24719101123595505,0.5168539325842696,0.0,0.16928236444786654,0.3460203831434971,0.3675230846944931,0.6538255245328142,0.11271506828161927,0.4717463255481895,0.4606741573033708,0.011235955056179775,0.8125,0.6875
OpenGVLab/InternVL3-8B,java,gaussian_sigma_2,89,56,27,0.6292134831460674,0.48214285714285715,0.30337078651685395,0.3707865168539326,0.0,0.21764190852088772,0.40537133960572846,0.3566821941245828,0.6098961607582303,-0.05052815965771484,0.7115119263614952,0.43820224719101125,0.011235955056179775,0.5,0.75
OpenGVLab/InternVL3-8B,java,gaussian_sigma_4,89,59,28,0.6629213483146067,0.4745762711864407,0.3146067415730337,0.3370786516853933,0.0,0.22751037840947347,0.4170449698241932,0.35265876715068556,0.5996020482998292,-0.06444084835453345,0.6277519523825756,0.4606741573033708,0.033707865168539325,0.625,0.9375
OpenGVLab/InternVL3-8B,java,no_blank_lines,89,52,24,0.5842696629213483,0.46153846153846156,0.2696629213483146,0.4157303370786517,0.0,0.1884205257973925,0.3699664220080721,0.3334047468175682,0.5949638867304212,-0.024808511706049863,0.8614138190543792,0.42696629213483145,0.033707865168539325,0.625,0.75
OpenGVLab/InternVL3-8B,java,no_indent,89,56,27,0.6292134831460674,0.48214285714285715,0.30337078651685395,0.3707865168539326,0.0,0.21764190852088772,0.40537133960572846,0.3566821941245828,0.6098961607582303,-0.004419201606355328,0.9742132418698607,0.4606741573033708,0.0,0.75,1.0
OpenGVLab/InternVL3-8B,python,baseline,1000,457,211,0.457,0.4617067833698031,0.211,0.5429999999999999,0.0,0.18684137276354604,0.23737049364110482,0.41650878165057476,0.5075431903886469,-0.06502209419243907,0.16523584283499557,0.494,0.035,0.8125,0.6875
OpenGVLab/InternVL3-8B,python,gaussian_sigma_1,1000,498,242,0.498,0.4859437751004016,0.242,0.502,0.0,0.2164742872986182,0.26950032007992825,0.4423228837405843,0.5297798595582666,0.008066017145378171,0.8575049725507468,0.49,0.026,0.5625,0.625
OpenGVLab/InternVL3-8B,python,gaussian_sigma_2,1000,589,304,0.589,0.5161290322580645,0.304,0.41100000000000003,0.0,0.27628526933638214,0.33321481998995545,0.4757969131842455,0.5562521274442483,0.05056660174775916,0.22042674003125998,0.509,0.034,0.4375,0.5625
OpenGVLab/InternVL3-8B,python,gaussian_sigma_4,1000,602,364,0.602,0.6046511627906976,0.364,0.398,0.0,0.33475165091277503,0.3942892273952959,0.565049537905581,0.6429256644605071,0.2863551564852806,7.960731348714709e-13,0.564,0.016,0.5625,0.8125
OpenGVLab/InternVL3-8B,python,no_blank_lines,1000,523,261,0.523,0.49904397705544934,0.261,0.477,0.0,0.23473118426217232,0.289098006293923,0.45635591666773134,0.541745979105167,0.04019417617604701,0.3589436755635661,0.5,0.029,0.5625,0.625
OpenGVLab/InternVL3-8B,python,no_indent,1000,518,255,0.518,0.4922779922779923,0.255,0.482,0.0,0.2289585370509225,0.2829165746069995,0.4494407537477582,0.5352289196467644,0.014095956039117506,0.7489233215640385,0.513,0.022,0.75,0.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,1000,627,482,0.627,0.7687400318979266,0.482,0.373,0.0,0.4511584546689284,0.5129793086365515,0.7341604606576279,0.8000466610968516,0.6009518508100679,8.173083275202829e-63,0.68,0.025,0.5,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_1,1000,595,470,0.595,0.7899159663865546,0.47,0.405,0.0,0.43923991460215,0.5009896909069833,0.7553760985240211,0.8207363180735417,0.6545328695531515,4.711745859163345e-74,0.694,0.024,0.5625,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_2,1000,560,437,0.56,0.7803571428571429,0.437,0.43999999999999995,0.0,0.40655624686835734,0.4679259247008226,0.7442213764121072,0.8126727559504695,0.621751323627499,3.3044392510280485e-61,0.677,0.025,0.625,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_4,1000,489,356,0.489,0.7280163599182005,0.356,0.511,0.0,0.3269260364778622,0.38617606996597764,0.6869130271943761,0.7655651399906863,0.4955041334347609,1.166356031969682e-31,0.616,0.054,0.4375,0.375
Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_blank_lines,1000,548,421,0.548,0.7682481751824818,0.421,0.45199999999999996,0.0,0.39075893140651674,0.4518456964342009,0.7311264545579419,0.8016352568007679,0.615453873376746,1.9860906167335623e-58,0.682,0.027,0.625,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_indent,1000,594,466,0.594,0.7845117845117845,0.466,0.406,0.0,0.43527102980973204,0.49698918976728573,0.7496745430126046,0.8156927379162573,0.6307408371702806,3.2407724824797095e-67,0.697,0.026,0.5625,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,89,61,20,0.6853932584269663,0.32786885245901637,0.2247191011235955,0.3146067415730337,0.0,0.15044495557388762,0.32177359180337495,0.22335119798553627,0.45278193686463364,-0.3617888027802049,0.004170833994302092,0.39325842696629215,0.011235955056179775,0.375,0.5625
Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_1,89,57,16,0.6404494382022472,0.2807017543859649,0.1797752808988764,0.3595505617977528,0.0,0.11379892749560451,0.2722512194534561,0.18079399343823543,0.4083019867604394,-0.4021156396369501,0.0019308139219071112,0.29213483146067415,0.06741573033707865,0.375,0.5
Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_2,89,64,21,0.7191011235955056,0.328125,0.23595505617977527,0.2808988764044944,0.0,0.1598243870081069,0.3339362604762063,0.22570557904469185,0.45000894150908505,-0.28984091662312517,0.020171822008823396,0.33707865168539325,0.0449438202247191,0.375,0.5625
Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_4,89,42,19,0.47191011235955055,0.4523809523809524,0.21348314606741572,0.5280898876404494,0.0,0.1411479650217861,0.309528482248426,0.31223393233454466,0.6005088096526652,-0.12979323842911536,0.41264650651588364,0.39325842696629215,0.02247191011235955,0.4375,0.4375
