analysis_scope,model,endpoint,condition,language_vs_java,interaction_effect,cluster_robust_se,z,p,n_rows,n_pairs,covariance,holm_p_within_model,holm_reject_0_05
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_1,python,0.042235955056179844,0.024702829635201613,1.709761824045998,0.08730992510242402,4178,2089,two-way clustered by snippet_i and snippet_j,0.7857893259218163,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_1,cuda,0.03823595505617991,0.025453804076909888,1.5021705573221251,0.13305306655243201,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_2,python,0.04805617977528125,0.03855060892718029,1.2465738184851087,0.21255380663048484,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_2,cuda,0.01805617977528148,0.04083214624112085,0.44220501338961293,0.6583408585560739,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_4,python,0.09682022471910107,0.06835586545838056,1.416414291148891,0.1566542421221334,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_4,cuda,0.1778202247191013,0.06396346044863647,2.7800282141066046,0.00543541757731993,4178,2089,two-way clustered by snippet_i and snippet_j,0.0543541757731993,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,no_blank_lines,python,0.03876404494382021,0.047580749683393944,0.814700171850154,0.41524395497997235,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,no_blank_lines,cuda,0.011764044943820474,0.04672178533011859,0.2517892854628767,0.8012039395289955,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,no_indent,python,-0.0009438202247185286,0.049071902105657574,-0.01923341432101761,0.984654901754834,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,effective_accuracy,no_indent,cuda,-0.023943820224718554,0.04621174340216086,-0.5181328048229175,0.604365613414913,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_1,python,0.023720195864964877,0.048947140912913564,0.48460840454742177,0.6279541507790296,1672,1039,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_1,cuda,0.05503875968992197,0.049498624480530586,1.1119250336253386,0.2661703842164731,1672,1039,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_2,python,0.08339050285651517,0.05388139359637232,1.5476678922077771,0.12170227624582916,1864,1235,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_2,cuda,0.046166860904945664,0.058957266123490094,0.7830563379286611,0.4335940293608129,1864,1235,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_4,python,0.17947921934556446,0.09366838271635806,1.9161131444860589,0.05535069555048098,2107,1624,two-way clustered by snippet_i and snippet_j,0.5535069555048098,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_4,cuda,0.12611215465411438,0.08398331512169811,1.5016334431591374,0.13319180139712433,2107,1624,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,no_blank_lines,python,0.08690984325829602,0.06403731365569096,1.3571750327564278,0.17472560187956154,1740,1103,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,no_blank_lines,cuda,0.03790131437190305,0.06627331717809175,0.5718940289355585,0.5673937695236795,1740,1103,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,no_indent,python,0.05953946287644252,0.0635804679377921,0.9364426656107132,0.3490453193494052,1745,1101,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,OpenGVLab/InternVL3-8B,valid_accuracy,no_indent,cuda,0.003175567747759534,0.06429847139951296,0.049387919784724274,0.9606101550299986,1745,1101,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_1,python,0.0589438202247189,0.03657835220385404,1.611440009550467,0.1070838527300797,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_1,cuda,0.032943820224718944,0.03619627674152717,0.9101438929745843,0.362746629038492,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_2,python,-0.0012359550561790588,0.0377802724537165,-0.032714297063187965,0.9739024225864148,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_2,cuda,-0.056235955056179406,0.03672256100379318,-1.5313734532395664,0.12567712117439972,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_4,python,0.019235955056180053,0.07685829927002102,0.25027817735856583,0.802372231486356,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_4,cuda,-0.11476404494382021,0.07597222549511183,-1.5106052797045455,0.13088904800453047,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_blank_lines,python,0.016179775280898957,0.03979904713644094,0.40653675012446155,0.6843482600867798,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_blank_lines,cuda,-0.004820224719100847,0.03605326987901382,-0.13369729667451447,0.8936419429135022,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_indent,python,-0.0007640449438192664,0.03402513373304321,-0.0224553105305585,0.9820847600319511,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_indent,cuda,-0.004764044943819311,0.03280630374716776,-0.14521736372786592,0.8845392569788513,4178,2089,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_1,python,0.07788527645755507,0.045015576687375936,1.730185020142084,0.08359722384790264,2201,1265,two-way clustered by snippet_i and snippet_j,0.8359722384790264,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_1,cuda,0.06834303256167938,0.04316501659018373,1.5832967982044388,0.11335383235947945,2201,1265,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_2,python,-0.013492882445330315,0.0386702593783804,-0.34892143632410844,0.7271482915077654,2193,1293,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_2,cuda,0.011360963418232485,0.037865435916586546,0.3000351941876348,0.7641503104951415,2193,1293,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_4,python,-0.11130516077375309,0.11788421937068969,-0.944190506311548,0.34507230574087233,2082,1440,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_4,cuda,-0.16523577190166278,0.11378954167291791,-1.452117386821228,0.14646896825841627,2082,1440,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_blank_lines,python,0.007301434389664961,0.04024558517508237,0.18142199592579328,0.8560363550935521,2108,1261,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_blank_lines,cuda,0.03325934868474701,0.034775583431722816,0.9563994447439615,0.3388704651537615,2108,1261,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_indent,python,-0.01018247071660416,0.03652370216450254,-0.27879076088021887,0.7804054052110256,2190,1289,two-way clustered by snippet_i and snippet_j,1.0,False
Dorn-only primary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_indent,cuda,0.016054398176323117,0.033569789155709844,0.4782394700740158,0.6324797727877821,2190,1289,two-way clustered by snippet_i and snippet_j,1.0,False
